Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G-WS,6,8.6,11.2,12.6,0.084,2.5,0.0044,0.21,0.033,63.0,0.58
M4G,6,6.8,15.6,12.1,0.176,2.5,0.0063,0.34,0.035,49.6,0.47
M4G-WS,10,2.4,12.4,10.5,0.087,5.4,0.0098,0.63,0.082,71.9,0.16
M4G,10,2.3,16.5,11.1,0.152,3.4,0.0058,0.27,0.029,40.3,0.16
