Policy,Reference,Bots,Bound,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G,M4G-WS,6,CI low,+0.33,−0.12,+0.59,+18.17,−17.93,−19.23,−18.27,−18.93,−7.19,−59.11
M4G,M4G-WS,6,CI high,+1.39,+1.52,+2.59,+23.65,−13.95,−15.26,−13.92,−14.61,+0.66,−15.39
M4G,M4G-WS,10,CI low,−0.03,−1.45,−0.67,+71.38,−44.04,−44.11,−36.87,−38.04,−0.05,−13.59
M4G,M4G-WS,10,CI high,+0.12,−0.01,+1.00,+76.84,−40.89,−41.02,−31.17,−32.77,+14.08,+1.57
