decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec
0,0.0444444444444444,1,92,2,99,0,10,10,24,0.5,0.01,94,27,58,12,10,41,-1223.41,6.8755985
1,11.5555555555555,1,93,2,99,0,10,10,24,0.5,0.01,94,26,57,12,10,39,-1230.39,22.1474087
2,23.0666666666666,1,94,2,99,0,10,10,24,0.5,0.01,94,26,59,12,10,42,-1232.42,10.9674606
3,34.5777777777777,1,95,2,99,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0110038
4,46.0888888888887,1,96,2,99,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0105541
5,57.6444444444443,1,97,2,99,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0099698
6,69.1555555555561,1,98,2,99,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0119978
7,80.6666666666691,1,99,2,99,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0099944
8,92.177777777782,1,100,2,98,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0109651
9,103.688888888895,1,101,2,98,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0110027
10,115.200000000008,1,102,2,98,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0129697
11,126.755555555565,1,103,2,98,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0114143
12,136.666666666678,1,103,2,98,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0119679
13,138.266666666678,1,104,2,98,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0089767
14,146.666666666679,1,104,2,97,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0109693
15,149.777777777791,1,105,2,97,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0119702
16,156.666666666681,1,105,2,97,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0099971
17,161.288888888904,1,106,2,97,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0099657
18,166.666666666682,1,106,2,97,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0109996
19,172.800000000017,1,107,2,97,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0099787
20,180.844444444462,1,107,2,97,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0130229
21,184.355555555574,1,108,2,97,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0119704
22,190.844444444464,1,108,2,98,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0104825
23,195.866666666687,1,109,2,98,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0109966
24,207.3777777778,1,110,2,98,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0110379
25,218.888888888913,1,111,2,99,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0120025
26,230.400000000026,1,112,2,99,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0121392
27,241.955555555583,1,113,2,99,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0119703
28,253.466666666696,1,114,2,99,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0133567
29,264.977777777803,1,115,2,99,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0110026
30,276.488888888909,1,116,2,99,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0110351
31,288.000000000014,1,117,2,99,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0129867
32,299.555555555564,1,118,2,99,0,0,10,24,0.5,0.01,0,0,0,0,0,0,0,0.0130052
33,311.06666666667,1,119,2,98,0,6,10,24,0.5,0.01,76,21,49,12,6,28,-1099.28,9.0343958
34,322.577777777775,1,120,2,98,0,6,10,24,0.5,0.01,76,21,50,12,6,29,-1111.29,10.2337773
35,331.822222222215,1,120,2,98,0,6,10,24,0.5,0.01,76,21,50,12,6,29,-1111.29,10.0915411
36,334.088888888881,1,121,2,98,0,6,10,24,0.5,0.01,76,21,50,12,6,29,-1111.29,8.4095154
37,341.866666666655,1,121,2,98,0,6,10,24,0.5,0.01,76,21,50,12,6,29,-1111.29,8.3477832
