Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5 no price (λ→∞),6,,,,,,,,,,
HGS-M5 no price (λ→∞),45,,,,,,,,,,
