Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G,6,6.8,15.6,12.1,0.176,2.5,0.0063,0.34,0.035,49.6,0.47
HGS-M5-λ,6,4.6,12.0,11.1,0.113,3.4,0.0042,0.23,0.023,64.2,0.29
HGS-M5,6,4.8,8.8,11.6,0.139,2.6,0.0040,0.27,0.030,68.5,0.33
M4G,10,2.3,16.5,11.1,0.152,3.4,0.0058,0.27,0.029,40.3,0.16
HGS-M5-λ,10,0.7,14.6,13.7,0.137,3.1,0.0053,0.28,0.035,59.8,0.02
HGS-M5,10,0.5,12.6,12.9,0.178,3.1,0.0055,0.30,0.042,85.4,0.02
