Policy,Reference,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5,M4G,6,.695,.006,.114,< .001,< .001,< .001,.764,.047,.024,.774
HGS-M5,M4G,10,.904,.001,.014,< .001,< .001,< .001,.310,.035,.007,.831
