Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G,6,1419.9,946.1,599.1,5.338,112.3,0.1875,9.37,1.190,830.8,1.45
HGS-M5-λ,6,1422.2,931.2,584.0,5.231,111.7,0.1913,9.40,1.203,916.9,1.30
HGS-M5,6,1421.1,930.9,593.0,5.873,101.0,0.1703,9.40,1.165,890.7,1.39
M4G,10,1428.7,952.2,603.5,5.118,118.0,0.1956,10.35,1.317,787.8,0.86
HGS-M5-λ,10,1430.3,934.2,588.1,5.081,115.8,0.1970,10.18,1.312,955.2,0.74
HGS-M5,10,1428.6,937.9,593.9,5.681,104.6,0.1762,10.26,1.281,902.2,0.87
