Policy,Bots,Time per decision (s),Total time (s),Decisions
M4G,6,0.2184,210.3,962
HGS-M5,6,0.0034,3.2,939
M4G,10,0.2850,262.2,918
HGS-M5,10,0.0035,3.2,932
M1G,6,0.1882,168.7,895
M1G,10,0.2237,181.9,813
