Policy,Reference,Bots,Bound,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5,M4G,6,CI low,−0.39,−2.64,−2.34,+7.45,−12.12,−11.62,−1.72,−4.12,+1.19,−35.44
HGS-M5,M4G,6,CI high,+0.56,−0.58,+0.30,+12.63,−8.00,−6.72,+2.26,−0.03,+13.24,+27.23
HGS-M5,M4G,10,CI low,−0.14,−2.23,−2.78,+8.29,−13.32,−12.40,−2.78,−5.27,+5.16,−11.81
HGS-M5,M4G,10,CI high,+0.12,−0.77,−0.41,+13.75,−9.39,−7.43,+0.99,−0.24,+23.88,+14.36
HGS-M5,M1G,6,CI low,+12.89,+13.83,+1.59,+77.15,−44.43,−46.10,−38.06,−32.62,+160.10,−99.22
HGS-M5,M1G,6,CI high,+15.89,+16.90,+4.71,+83.10,−40.99,−42.86,−35.44,−30.01,+188.88,−80.55
M4G,M1G,6,CI low,+12.53,+14.72,+1.85,+58.98,−37.68,−41.44,−39.25,−32.27,+146.41,−100.40
M4G,M1G,6,CI high,+16.06,+19.78,+6.57,+68.40,−34.92,−36.32,−34.59,−27.44,+165.65,−78.50
HGS-M5,M1G,10,CI low,+0.13,+1.00,−9.17,+85.05,−51.98,−48.61,−40.83,−37.77,+128.12,−95.28
HGS-M5,M1G,10,CI high,+1.71,+3.35,−6.02,+91.51,−49.85,−45.16,−36.86,−32.87,+154.84,−6.50
M4G,M1G,10,CI low,+0.10,+2.49,−7.26,+66.60,−46.01,−42.88,−40.44,−35.44,+101.47,−97.40
M4G,M1G,10,CI high,+1.75,+4.99,−4.94,+72.58,−43.24,−39.20,−36.14,−31.54,+120.25,−5.62
