decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits
0,0.0444444444444444,1,92,2,99,0,10,10,24,0.5,0.01,94,12,57,12,10,12,-976.12,2.1536167,0,15,0,12,0
1,39.1999999999999,1,83,1,91,3,4,10,10.9090909090909,0.5,0.01,67,2,33,1,4,4,-514.494545454545,0.1731587,0,15,4,0,41
2,49.2888888888887,1,83,1,91,3,4,10,11.6666666666667,0.5,0.01,66,2,33,1,4,3,-492.363333333333,0.1740826,0,15,3,0,38
3,51.0666666666665,1,82,1,91,3,4,10,12.3076923076923,0.5,0.01,62,1,33,1,4,2,-458.250769230769,0.2372394,0,15,2,0,31
4,61.1555555555554,1,82,1,91,3,4,10,12.1428571428571,0.5,0.01,61,1,34,0,4,1,-433.438571428571,0.2663324,0,15,1,0,29
5,71.2000000000009,1,83,1,91,3,4,10,12.8571428571429,0.5,0.01,61,1,34,0,4,1,-445.581428571429,0.2802807,0,15,1,0,28
6,81.2444444444469,1,84,1,90,3,4,10,13.5714285714286,0.5,0.01,60,2,34,1,4,4,-449.54,0.3860993,0,15,4,0,27
7,89.3777777777815,1,83,1,90,3,4,10,14,0.5,0.01,64,1,35,1,4,2,-531.02,0.1947387,0,15,2,0,35
8,101.288888888895,1,83,1,90,3,4,10,14.6666666666667,0.5,0.01,59,2,34,1,4,3,-463.696666666667,0.2922169,0,15,3,0,23
9,111.333333333341,1,83,1,90,3,4,10,15,0.5,0.01,58,1,34,1,4,1,-474.51,0.2290818,0,15,1,0,21
10,121.377777777787,1,83,1,90,3,4,10,15.625,0.5,0.01,57,1,33,1,4,2,-457.645,0.3803124,0,15,2,0,20
11,129.422222222232,1,83,1,90,2,4,10,16.25,0.5,0.01,58,2,34,1,4,2,-544.395,0.2383576,0,15,2,0,24
12,131.422222222233,1,82,1,91,2,5,10,16.4705882352941,0.5,0.01,66,1,35,0,5,2,-542.255294117647,0.311303,0,15,2,0,18
13,139.466666666678,1,83,1,94,2,6,10,17.0588235294118,0.5,0.01,69,1,41,1,6,2,-631.255294117647,0.6686188,0,15,2,0,24
14,141.466666666679,1,82,1,94,2,6,10,16.6666666666667,0.5,0.01,71,1,40,0,6,2,-596.353333333333,0.3231843,0,15,2,0,16
15,149.511111111124,1,82,1,92,2,6,10,17.2222222222222,0.5,0.01,72,1,40,1,6,2,-622.075555555556,0.4214263,0,15,2,0,22
16,159.55555555557,1,82,1,92,2,6,10,16.8421052631579,0.5,0.01,74,1,39,1,6,1,-586.852105263158,0.3386798,0,15,1,0,20
17,169.600000000016,1,82,1,92,2,6,10,16.5,0.5,0.01,73,1,38,1,6,1,-566.76,0.3696245,0,15,1,0,19
18,189.644444444464,1,83,1,93,2,6,10,16.1904761904762,0.5,0.01,73,1,38,0,6,1,-552.629047619048,0.6047871,0,15,1,0,18
19,201.511111111132,1,84,1,92,2,6,10,16.6666666666667,0.5,0.01,67,1,40,0,6,2,-571.353333333333,0.7359513,0,15,2,0,14
20,209.688888888911,1,85,1,92,2,6,10,17.1428571428571,0.5,0.01,71,1,40,1,6,2,-571.448571428571,0.3124862,0,15,2,0,17
21,221.55555555558,1,85,1,93,2,6,10,16.8181818181818,0.5,0.01,68,1,39,1,6,2,-537.383636363636,0.5271686,0,15,2,0,12
22,229.733333333359,1,84,1,93,2,6,10,16.5217391304348,0.5,0.01,71,1,38,1,6,2,-542.193913043478,0.4945668,0,15,2,0,15
23,239.777777777805,1,84,1,93,2,6,10,16.25,0.5,0.01,69,1,39,1,6,2,-531.02,0.2608662,0,15,2,0,13
24,241.600000000028,1,83,1,93,1,6,10,16,0.5,0.01,66,1,37,1,6,2,-531.02,0.3317116,0,15,2,0,10
25,249.822222222251,1,83,1,94,2,7,10,15.7692307692308,0.5,0.01,75,1,42,1,7,2,-592.058461538462,0.1833271,0,15,2,0,13
26,251.644444444474,1,82,1,93,1,7,10,15.5555555555556,0.5,0.01,69,1,39,1,7,2,-550.131111111111,0.4263789,0,15,2,0,8
27,259.911111111139,1,82,1,93,2,7,10,15.3571428571429,0.5,0.01,74,0,40,0,7,2,-548.162857142857,0.1915257,0,15,2,0,13
28,271.7777777778,1,83,1,93,1,7,10,15.3571428571429,0.5,0.01,70,1,38,0,7,3,-527.815714285714,0.585167,0,15,3,0,6
29,280.044444444463,1,84,1,93,2,7,10,15.7142857142857,0.5,0.01,74,1,40,1,7,1,-535.152857142857,0.2404847,0,15,1,0,11
30,281.866666666684,1,83,1,93,1,7,10,15.5172413793103,0.5,0.01,69,1,37,1,7,1,-503.837586206897,0.3832777,0,15,1,0,3
31,300.177777777786,1,84,1,93,1,7,10,15.3333333333333,0.5,0.01,73,2,38,0,7,2,-534.353333333333,0.6437078,0,15,2,0,10
32,302.000000000008,1,84,1,93,1,7,10,16,0.5,0.01,65,1,35,0,7,2,-488.02,0.6419498,0,15,2,0,2
33,310.26666666667,1,84,1,93,1,8,10,16.3333333333333,0.5,0.01,75,1,42,0,8,3,-585.03,0.8434809,0,15,3,0,8
34,322.133333333331,1,85,1,93,1,8,9.14379436728383,15.2396572788064,0.02154243860405,0.00914379436728383,7,1,1,1,1,1,-8.69189186194236,0.1675285,0,7.88258135110675,0,1,0
35,330.399999999994,1,85,1,92,1,7,9.17511377390454,15.0945420151333,0.0219072164948454,0.00917511377390454,4,1,3,1,0,1,-33.4742238641974,0.0830121,0,7.93103055032426,1,0,5
36,342.266666666655,1,85,1,92,2,7,9.25,15.03125,0.0222984562607204,0.00925,6,1,0,0,0,2,-10.2998036020583,0.1440383,0,7.75806451612903,2,0,8
37,350.533333333317,1,85,1,92,1,7,9.21768867924523,15.2667968749999,0.0226689478186484,0.00921768867924523,3,1,2,1,0,1,-33.0122595640618,0.1165259,0,7.75456349206344,1,0,4
38,362.399999999978,1,85,1,92,2,7,9.18155864197527,15.0243686868686,0.0230670653566852,0.00918155864197527,5,1,0,0,0,2,-10.0470882123419,0.1010373,0,7.51218434343431,2,0,6
39,370.666666666641,1,86,1,92,1,7,9.25241919191911,15.4206986531985,0.0234441602728048,0.00925241919191911,2,1,1,1,0,1,-32.4945549486598,0.1115759,0,7.59526948590374,1,0,3
40,380.755555555525,1,85,1,93,1,7,9.25,15.2352941176471,0.0238500851788756,0.00925,1,1,0,0,0,2,-24.2829927536232,0.0815889,0,7.5072463768116,2,0,2
41,392.577777777742,1,86,1,92,2,7,9.30657894736839,15.6022058823529,0.0242656449553001,0.00930657894736839,4,1,0,0,0,1,-9.99337594777169,0.0979876,0,7.36770833333331,1,0,4
42,400.888888888849,1,86,1,89,1,7,9.3787350335249,15.9990185866013,0.0246493837654059,0.0093787350335249,12,1,9,1,1,1,-10.6334426792081,0.1138192,0,7.4515976978691,0,1,0
43,402.666666666626,1,85,1,88,2,6,9.24300847457625,15.5810714285714,0.0249471458773784,0.00924300847457625,3,1,0,0,0,1,-9.71342484457302,0.1345357,0,7.36942567567566,1,0,3
44,422.799999999949,1,87,1,89,1,6,9.92370963175039,17.0120736544292,0.0253378378378378,0.00992370963175039,10,2,4,1,1,3,-18.5603515069876,0.0826018,0,7.63362279365414,1,2,2
45,431.066666666612,1,87,1,91,2,6,10.0313470728793,17.2762088477366,0.0260723296888141,0.0100313470728793,12,1,8,1,0,3,-33.3676135209688,0.0821586,0,7.87270276605716,3,0,17
46,432.888888888833,1,86,1,91,2,6,9.93654829267094,16.9189876334667,0.0263598326359833,0.00993654829267094,9,1,3,1,0,2,-29.8627783872933,0.079046,0,7.82503178047837,2,0,10
47,441.155555555496,1,86,1,90,2,6,9.93954867139269,16.7402924991877,0.0266777824093372,0.00993954867139269,11,1,7,1,0,2,-32.0309347195194,0.0772305,0,7.85347055517447,2,0,14
48,451.24444444438,1,86,1,90,2,6,10.1016025641025,16.8360042735041,0.0269709543568465,0.0101016025641025,10,1,7,1,0,2,-32.1343574147956,0.0835433,0,7.91089357429712,2,0,12
49,453.022222222157,1,85,1,90,2,6,10.0037104844743,16.5061222993825,0.0272727272727273,0.0100037104844743,8,1,2,1,0,1,-28.8798027404513,0.0795263,0,7.8600582378012,1,0,8
50,461.333333333264,1,85,1,92,2,6,10.0272692670905,16.3860253876844,0.0275947281713344,0.0100272692670905,9,1,6,1,0,2,-30.9077869330268,0.0846063,0,7.90384753994189,2,0,10
51,473.15555555548,1,85,1,92,2,6,10.0147058823529,16.2142857142857,0.0279031596224867,0.0100147058823529,7,1,1,1,0,1,-27.9156579233663,0.1125883,0,7.73863636363637,1,0,7
52,481.466666666588,1,84,1,92,1,6,9.99800271739128,16.0433066860465,0.0282324058919804,0.00999800271739128,8,1,5,1,0,1,-37.5902062204885,0.1203158,0,7.75126053370785,1,0,8
53,483.244444444364,1,83,1,92,2,6,9.85988365299824,15.6861785388608,0.0285481239804241,0.00985988365299824,4,1,1,1,0,3,-26.4200853856931,0.1105502,0,7.66879839677641,3,0,6
54,491.555555555472,1,83,1,92,1,7,9.78685446009385,15.4414814814814,0.0289087947882736,0.00978685446009385,7,1,4,1,0,1,-35.9107610933153,0.1160661,0,7.6358974358974,1,0,7
55,493.333333333248,1,82,1,92,2,7,9.67947509430726,15.150482756307,0.0292326431181486,0.00967947509430726,3,1,0,0,0,1,-17.8303092295609,0.1082739,0,7.57524137815351,1,0,3
