#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/17;0/0,1/0;0/10,1/17;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;1;1;2;2;0/35.91,1/42.4;0/23.64,1/28.76;0/60,1/60;0/60,1/60;0/0,1/9;0/0,1/3;0/1,1/14;0/10,1/14;0/3,1/2;0/5,1/5;0/1,1/0;0/0,1/1;0/3,1/2;0/4,1/4
119.96;3;5;2;2;0/80.04,1/50.18;0/23.82,1/28.84;0/119.96,1/119.96;0/119.96,1/119.96;0/0,1/7;0/0,1/3;0/0,1/9;0/8,1/11;0/3,1/2;0/5,1/5;0/2,1/1;0/0,1/5;0/4,1/7;0/10,1/10
179.96;5;7;2;2;0/140.04,1/80;0/23.96,1/28.98;0/179.96,1/179.96;0/179.96,1/179.96;0/0,1/3;0/0,1/3;0/0,1/5;0/7,1/12;0/3,1/2;0/5,1/5;0/2,1/3;0/2,1/5;0/4,1/11;0/16,1/16
239.96;6;11;2;2;0/200.04,1/110.44;0/24.13,1/29.16;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/1;0/0,1/3;0/0,1/3;0/8,1/12;0/3,1/2;0/5,1/5;0/2,1/4;0/5,1/6;0/4,1/13;0/22,1/22
299.96;9;15;2;2;0/260.04,1/141.38;0/24.44,1/29.47;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/0;0/0,1/3;0/0,1/0;0/7,1/10;0/3,1/2;0/5,1/5;0/2,1/7;0/7,1/8;0/4,1/16;0/28,1/28
360;9;19;2;2;0/320.09,1/200.53;0/24.93,1/29.82;0/360,1/360;0/360,1/360;0/0,1/0;0/0,1/3;0/0,1/0;0/9,1/14;0/3,1/2;0/5,1/5;0/2,1/7;0/8,1/11;0/4,1/16;0/34,1/34
420;9;23;2;2;0/380.09,1/260.53;0/25.33,1/30.22;0/420,1/420;0/420,1/420;0/0,1/0;0/0,1/3;0/0,1/0;0/8,1/16;0/3,1/2;0/5,1/5;0/2,1/7;0/10,1/13;0/4,1/16;0/40,1/39
480;9;26;2;2;0/440.09,1/320.53;0/25.78,1/30.53;0/480,1/480;0/480,1/480;0/0,1/0;0/0,1/3;0/0,1/0;0/8,1/12;0/3,1/2;0/5,1/5;0/2,1/7;0/12,1/14;0/4,1/16;0/46,1/45
540;9;30;2;2;0/500.09,1/380.53;0/26.04,1/30.84;0/540,1/540;0/540,1/540;0/0,1/0;0/1,1/3;0/0,1/0;0/8,1/10;0/3,1/2;0/5,1/5;0/2,1/7;0/14,1/16;0/4,1/16;0/52,1/51
