time,bot_id,task_id,pod_id,station_id,eta_now,t_starve,queue_budget,release_budget,slack,chosen_delay,deadline,release_policy,eta_safety_buffer,probe_success,release_reason,station_pending_items,station_busy_remaining,station_queue_work,eta_at_release,remaining_t_starve_at_release,best_future_eta_at_release,best_future_delay_at_release,eta_improvement_at_release,neighbor_count_at_decision,missing_arrival_count,queue_arrival_time,release_time,actual_arrival_time,actual_eta,arrival_error,station_idle_at_arrival,queue_wait_at_station
11.17,Bot14,65335398,Pod495,OutputStation2,24.96,0,0,0,-34.96,0,11.17,QueueBudgetEtaImprovement,10,1,immediate_release,0,0,0,24.96,0,,,,0,0,29.38,11.17,36.31,25.14,0.18,1,6.93
11.37,Bot17,57675884,Pod164,OutputStation4,60.37,0,0,0,-70.37,0,11.37,QueueBudgetEtaImprovement,10,1,immediate_release,0,0,0,60.37,0,,,,0,0,67.32,11.37,75.66,64.28,3.91,1,8.33
13.37,Bot7,32547936,Pod371,OutputStation5,21.63,0,40,40,8.38,8.38,21.75,QueueBudgetEtaImprovement,10,1,eta_improvement_release,0,0,0,21.63,38.98,21.63,3,0,0,0,30.61,14.39,36.24,21.85,-7.14,1,5.63
13.37,Bot13,59455271,Pod43,OutputStation5,74.29,0,0,0,-84.29,0,13.37,QueueBudgetEtaImprovement,10,1,immediate_release,0,0,0,74.29,0,,,,0,0,94.34,13.37,113.83,100.46,26.16,0,19.49
14.67,Bot11,38016717,Pod366,OutputStation1,25.08,0,0,0,-35.08,0,14.67,QueueBudgetEtaImprovement,10,1,immediate_release,0,0,0,25.08,0,,,,0,0,35.36,14.67,40.82,26.15,1.07,1,5.46
15.42,Bot19,49320909,Pod119,OutputStation3,23.5,0,0,0,-33.5,0,15.42,QueueBudgetEtaImprovement,10,1,immediate_release,0,0,0,23.5,0,,,,0,0,32.27,15.42,39.18,23.76,0.26,1,6.91
18.71,Bot3,4544348,Pod162,OutputStation6,31.63,0,60,60,18.38,18.38,37.09,QueueBudgetEtaImprovement,10,1,eta_improvement_release,0,0,0,31.63,58.96,31.63,1,0,0,0,46.49,19.76,51.95,32.19,-16.76,1,5.46
18.76,Bot5,40899139,Pod936,OutputStation0,35.5,0,0,0,-45.5,0,18.76,QueueBudgetEtaImprovement,10,1,immediate_release,0,0,0,35.5,0,,,,0,0,52.23,18.76,60.74,41.98,6.48,1,8.51
20.62,Bot16,51147674,Pod24,OutputStation7,32.96,0,50,50,7.04,7.04,27.66,QueueBudgetEtaImprovement,10,1,eta_improvement_release,0,0,0,32.96,48.96,32.96,1,0,0,0,54.77,21.67,156.75,135.08,96.13,0,101.98
21.22,Bot9,19137160,Pod233,OutputStation8,31.21,0,50,50,8.79,8.79,30.02,QueueBudgetEtaImprovement,10,1,eta_improvement_release,0,0,0,31.21,48.96,31.21,1,0,0,0,48.24,22.27,53.65,31.38,-7.57,1,5.41
29.38,Bot1,60157251,Pod1035,OutputStation8,90,0,50,50,-50,0,29.38,QueueBudgetEtaImprovement,10,1,immediate_release,0,0,0,90,0,,,,0,0,77.79,29.38,102.08,72.7,-17.3,0,24.3
30.57,Bot12,6606141,Pod896,OutputStation7,13.58,0,50,50,26.42,26.42,56.99,QueueBudgetEtaImprovement,10,1,eta_improvement_release,0,0,0,13.58,46.91,13.58,1,0,1,0,42.2,33.66,47.86,14.2,-22.7,1,5.66
32.07,Bot8,24495972,Pod287,OutputStation6,90,0,40,40,-60,0,32.07,QueueBudgetEtaImprovement,10,1,immediate_release,0,0,0,90,0,,,,0,0,66.23,32.07,150.67,118.6,28.6,0,84.43
147.75,Bot7,48029459,Pod176,OutputStation0,25,13.95,40,40,5,5,152.75,QueueBudgetEtaImprovement,10,0,hard_deadline,1,3.95,10,,34.83,,,,0,0,178.74,152.93,199.68,46.75,21.93,0,20.94
160.17,Bot19,41055555,Pod54,OutputStation1,40,11.76,30,30,-20,0,160.17,QueueBudgetEtaImprovement,10,0,immediate_release,1,1.76,10,40,11.76,,,,0,0,190.77,160.17,197.92,37.75,-2.25,1,7.16
163.92,Bot9,45435770,Pod832,OutputStation2,21.67,13.43,10,13.43,-18.24,0,163.92,QueueBudgetEtaImprovement,10,0,immediate_release,1,3.43,10,21.67,13.43,,,,0,0,180.07,163.92,187.05,23.13,1.47,1,6.98
170.11,Bot3,20133494,Pod1158,OutputStation3,68.92,0,30,30,-48.92,0,170.11,QueueBudgetEtaImprovement,10,1,immediate_release,0,0,0,68.92,0,,,,0,0,238.59,170.11,281.4,111.29,42.37,0,42.81
197.72,Bot1,60119179,Pod476,OutputStation3,31.71,0,70,70,28.29,28.29,226.02,QueueBudgetEtaImprovement,10,1,eta_improvement_release,0,0,0,31.71,68.96,31.71,1,0,0,0,223.64,198.77,232.55,33.78,-25.17,1,8.92
205.36,Bot11,14685406,Pod763,OutputStation0,23.33,7.03,70,70,36.67,36.67,242.03,QueueBudgetEtaImprovement,10,0,hard_deadline,0,7.03,0,,32.63,,,,0,0,257.23,242.73,270.44,27.71,5.08,0,13.21
229.3,Bot5,24465425,Pod899,OutputStation1,31.67,8.66,80,80,38.33,38.33,267.64,QueueBudgetEtaImprovement,10,0,hard_deadline,0,8.66,0,,40.7,,,,0,0,287.86,268.6,366.51,97.91,67.2,0,78.65
287.5,Bot16,30856521,Pod632,OutputStation4,25.54,0.22,0,0.22,-35.33,0,287.5,QueueBudgetEtaImprovement,10,1,immediate_release,0,0.22,0,25.54,0.22,,,,0,0,307,287.5,313.99,26.49,0.94,1,6.99
293.53,Bot7,10503247,Pod936,OutputStation0,18.33,9.82,70,70,41.67,41.67,335.19,QueueBudgetEtaImprovement,10,0,hard_deadline,0,9.82,0,,27.46,,,,0,0,362.72,336.07,370.07,34,16.54,1,7.34
304.33,Bot1,49496426,Pod1030,OutputStation5,24.21,0,20,20,-14.21,0,304.33,QueueBudgetEtaImprovement,10,1,immediate_release,0,0,0,24.21,0,,,,0,0,323.37,304.33,328.93,24.61,0.4,1,5.56
312.47,Bot8,27420365,Pod454,OutputStation2,108.33,15.28,40,40,-78.33,0,312.47,QueueBudgetEtaImprovement,10,0,immediate_release,1,5.28,10,108.33,15.28,,,,0,0,365.02,312.47,372.18,59.71,-48.62,1,7.16
