idx;bot_id;task_id;trip_id;src_id;dest_id;path_nodes;path_len_m;expected_sec;actual_sec;gap_sec;abs_err_sec;rel_err_pct;stop_go_count;queue_stop_go_count;conflict_wait_sec
0;10;24953937;1;1469;128;21;20;16.6666666666667;15.8345382358573;-0.832128430809366;0.832128430809366;4.9927705848562;0;0;0.0888888888888886
1;39;51043549;1;2668;32;28;27;23.4583333333333;23.2455555555556;-0.212777777777777;0.212777777777777;0.907045589105978;0;0;0.133333333333333
2;6;1415071;1;2299;176;28;27;25.5833333333333;24.6789826803018;-0.904350653031585;0.904350653031585;3.5349211193417;0;0;0.177777777777777
3;27;38644103;1;2333;0;50;49;39.625;43.5088888888889;3.88388888888888;3.88388888888888;9.80161233788991;0;0;1.17222222222222
4;29;43164662;1;1099;112;35;34;26;26.0166666666667;0.0166666666666693;0.0166666666666693;0.0641025641025741;0;0;0.327683986364914
5;43;32436862;1;997;72;37;36;33.0833333333333;31.8012613556953;-1.28207197763801;1.28207197763801;3.87528053694109;0;0;0.511111111111113
6;40;56738760;1;1375;24;41;40;38.5;37.9894444444445;-0.510555555555555;0.510555555555555;1.32611832611833;0;0;1.74222222222222
7;30;52937641;1;1179;0;34;33;29.5833333333333;30.7082395419205;1.12490620858713;1.12490620858713;3.80249986001284;0;0;1.52620490252397
8;26;26663410;1;1477;128;29;28;21.375;30.6283333333333;9.25333333333333;9.25333333333333;43.2904483430799;1;0;8.05277777777778
9;34;60090566;1;2252;48;46;45;36.0833333333333;38.7693506530316;2.68601731969825;2.68601731969825;7.44392790678499;0;0;2.83814575050762
10;41;40886798;1;1660;104;43;42;39.8284271247462;40.8283333333333;0.999906208587156;0.999906208587156;2.51053400993055;0;0;0.222222222222221
11;24;10419141;1;2309;152;48;47;42.5392135623731;43.0338888888889;0.494675326515804;0.494675326515804;1.162868998014;0;0;0.843888888888895
12;32;6676729;1;2527;80;33;32;28.9166666666667;43.9256493469684;15.0089826803017;15.0089826803017;51.9042628713604;0;0;4.34101731969827
13;16;44262091;1;1462;104;24;23;22.2916666666667;27.0223738067216;4.73070714005492;4.73070714005492;21.2218638058538;1;0;5.17222222222223
14;13;8002986;1;755;176;40;39;31.4583333333333;37.8055555555556;6.34722222222224;6.34722222222224;20.1766004415011;1;0;2.44064934696846
15;23;23527303;1;2695;152;52;51;43.7058802290398;47.6688888888889;3.96300865984916;3.96300865984916;9.06744959506843;1;0;2.3954617641427
16;8;12735640;1;2134;16;46;45;36.0833333333333;43.3950000000001;7.31166666666676;7.31166666666676;20.2632794457277;0;0;1.0138888888889
17;21;28459613;1;2831;0;70;69;54.2083333333333;61.4240764717146;7.21574313838125;7.21574313838125;13.311132615;0;0;1.20823954192048
18;5;44896472;1;995;104;63;62;48.9166666666667;56.1055555555556;7.1888888888889;7.1888888888889;14.6961953435548;0;0;4.30888888888891
19;36;3944185;1;1181;160;68;67;50.75;51.6366666666667;0.886666666666677;0.886666666666677;1.74712643678163;0;0;0.291666666666686
20;4;64640820;1;2426;64;61;60;43.3333333333333;49.0138888888889;5.68055555555561;5.68055555555561;13.1089743589745;1;0;3.30564934696847
21;17;62814502;1;966;56;74;73;60.4975468957064;61.5527777777778;1.05523088207136;1.05523088207136;1.74425400072917;0;0;1.04277777777781
22;28;12252614;1;890;40;71;70;54.2475468957064;57.5138888888889;3.26634199318246;3.26634199318246;6.02117916863995;0;0;1.25333333333336
23;2;7182313;1;2089;120;82;81;66.4509740204526;73.2294946046417;6.7785205841891;6.7785205841891;10.2007843889583;1;0;2.75833333333332
24;14;4918010;1;1128;160;82;81;61.5833333333333;64.6666666666668;3.08333333333346;3.08333333333346;5.00676589986488;0;0;1.04166666666679
25;22;54809927;1;1468;88;90;89;70.5392135623731;68.822018380024;-1.71719518234907;1.71719518234907;2.4343837925421;1;0;5.07166666666671
26;37;35497667;1;710;88;92;91;72.5;80.8102118207844;8.31021182078436;8.31021182078436;11.4623611321164;0;0;3.43101731969826
27;9;47511902;1;1310;184;89;88;69.875;78.3172222222223;8.44222222222234;8.44222222222234;12.0818922679389;1;0;3.27907647171453
28;11;23258842;1;576;72;84;83;67.1617604580795;76.9984388700961;9.83667841201652;9.83667841201652;14.6462486166608;2;0;6.3848124171743
29;0;60450358;1;1197;160;90;89;66.9166666666667;84.2367515321351;17.3200848654684;17.3200848654684;25.8830658014472;0;0;3.44555555555557
30;30;27402032;2;1181;8;34;33;29.5833333333333;41.9566666666667;12.3733333333333;12.3733333333333;41.8253521126761;0;0;7.23111111111103
31;10;53218337;2;1100;136;44;43;36.25;41.4450000000001;5.19500000000008;5.19500000000008;14.3310344827588;1;0;2.62768398636527
32;34;51589610;2;1706;56;17;16;18.25;18.352486596227;0.102486596226953;0.102486596226953;0.561570390284674;0;0;0.413701306063217
33;27;56349232;2;514;8;57;56;44.9142135623731;46.4245178562162;1.51030429384311;1.51030429384311;3.36264218841487;0;0;0.266666666666708
34;36;44703391;2;964;168;48;47;38.9166666666667;40.176111111111;1.25944444444433;1.25944444444433;3.23625981441799;0;0;0.222222222222257
35;8;42249745;2;2334;24;45;44;36.9166666666667;37.875;0.9583333333333;0.9583333333333;2.5959367945823;0;0;1.01277777777804
36;26;28101800;2;563;136;25;24;23.5833333333333;23.0489826803018;-0.534350653031499;0.534350653031499;2.26579782204169;0;0;0.582316013635136
37;39;62579720;2;511;40;72;71;54.9142135623731;57.2172550583512;2.30304149597809;2.30304149597809;4.19388960812893;0;0;1.34842712474628
