Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5,45,17.5,35.9,42.4,0.129,9.4,0.0022,0.29,0.066,15.1,0.21
HGS-M5 3 packing stations,45,27.5,39.0,44.7,0.137,10.4,0.0023,0.27,0.066,15.2,0.32
HGS-M5 1 packing station,45,83.9,45.0,41.4,0.106,27.1,0.0094,0.46,0.128,8.8,0.98
HGS-M5 2 packing stations,45,24.7,30.3,31.8,0.151,14.1,0.0040,0.38,0.065,10.6,0.28
