Policy,Bots,Seed,Order batching time per decision (s),Order batching time total (s),Decisions
HGS-M5,45,0,0.0495,264.1,5332
HGS-M5,45,1,0.0816,474.8,5819
HGS-M5,45,2,0.0639,354.0,5536
HGS-M5,45,3,0.0830,431.7,5202
HGS-M5,45,4,0.0573,337.9,5900
HGS-M5,45,5,0.0581,305.6,5257
HGS-M5,45,6,0.0608,317.5,5223
HGS-M5,45,7,0.0520,271.7,5229
HGS-M5,45,8,0.0801,478.0,5965
HGS-M5,45,9,0.0687,357.5,5204
HGS-M5 3 packing stations,45,0,0.0508,270.9,5332
HGS-M5 3 packing stations,45,1,0.0647,376.3,5819
HGS-M5 3 packing stations,45,2,0.0459,254.3,5536
HGS-M5 3 packing stations,45,3,0.0625,325.0,5202
HGS-M5 3 packing stations,45,4,0.0629,371.1,5900
HGS-M5 3 packing stations,45,5,0.0750,394.1,5257
HGS-M5 3 packing stations,45,6,0.0418,218.1,5223
HGS-M5 3 packing stations,45,7,0.0512,267.7,5229
HGS-M5 3 packing stations,45,8,0.0935,560.6,5998
HGS-M5 3 packing stations,45,9,0.0429,223.4,5204
HGS-M5 1 packing station,45,0,0.1045,816.1,7809
HGS-M5 1 packing station,45,1,0.1043,752.1,7211
HGS-M5 1 packing station,45,2,0.0919,675.6,7349
HGS-M5 1 packing station,45,3,0.0984,738.3,7502
HGS-M5 1 packing station,45,4,0.1008,781.9,7758
HGS-M5 1 packing station,45,5,0.1086,857.7,7900
HGS-M5 1 packing station,45,6,0.1093,856.7,7838
HGS-M5 1 packing station,45,7,0.1093,841.3,7697
HGS-M5 1 packing station,45,8,0.0981,715.4,7295
HGS-M5 1 packing station,45,9,0.0929,689.3,7423
HGS-M5 2 packing stations,45,0,0.0628,332.4,5294
HGS-M5 2 packing stations,45,1,0.0651,329.3,5059
HGS-M5 2 packing stations,45,2,0.0491,244.4,4972
HGS-M5 2 packing stations,45,3,0.0552,273.4,4951
HGS-M5 2 packing stations,45,4,0.0574,291.6,5082
HGS-M5 2 packing stations,45,5,0.0461,231.1,5015
HGS-M5 2 packing stations,45,6,0.0495,248.5,5022
HGS-M5 2 packing stations,45,7,0.0529,260.2,4922
HGS-M5 2 packing stations,45,8,0.0496,248.9,5016
HGS-M5 2 packing stations,45,9,0.0466,236.1,5064
