idx;bot_id;task_id;trip_id;src_id;dest_id;path_nodes;path_len_m;expected_sec;actual_sec;gap_sec;abs_err_sec;rel_err_pct;stop_go_count;queue_stop_go_count;conflict_wait_sec
0;4;39547486;1;148;20;5;4;3.41911977096024;3.263608957795;-0.155510813165236;0.155510813165236;4.54827041994969;0;0;0.222222222222221
1;12;52387077;1;179;20;16;15;19.7009740204526;9.79968031377604;-9.90129370667658;9.90129370667658;50.2578892617062;0;0;0.0888888888888886
2;5;20383058;1;287;28;23;22;22.2524531042936;27.399680313776;5.1472272094824;5.1472272094824;23.1310551935924;1;0;4.26666666666665
3;10;40414969;1;226;20;18;17;18.9191197709602;26.2858311800172;7.36671140905693;7.36671140905693;38.9379183505377;1;0;7.33333333333331
4;13;1721653;1;272;24;27;26;24.9191197709602;37.2978715691905;12.3787517982303;12.3787517982303;49.6757185326265;0;0;6.31111111111109
5;3;34220326;1;114;28;22;21;21.5857864376269;30.7774580915538;9.19167165392685;9.19167165392685;42.5820559305847;0;0;11.1111111111111
6;1;66288034;1;147;24;25;24;21.4607864376269;43.8885692026648;22.4277827650379;22.4277827650379;104.505875542919;2;0;5.28888888888887
7;11;28190407;1;118;16;18;17;14.6691197709602;59.2191645133511;44.5500447423908;44.5500447423908;303.699509159264;0;0;42.0000000000002
8;14;59078165;1;275;20;17;16;17.6225468957064;18.0613796349165;0.43883273921006;0.43883273921006;2.49017773541563;0;0;0.177777777777806
9;7;49229794;1;109;28;17;16;18.2524531042936;65.9173160136394;47.6648629093459;47.6648629093459;261.142229140332;4;0;12.4444444444454
10;5;53618895;2;285;28;21;20;20.2892135623731;22.2916666666699;2.0024531042968;2.0024531042968;9.86954520509561;0;0;0.577777777777868
11;13;38535158;2;228;24;16;15;12.7107864376269;30.68081350332;17.9700270656931;17.9700270656931;141.376201652619;2;0;12.1777777777797
12;12;56165728;2;284;20;24;23;25.6642135623731;21.888569202667;-3.77564435970611;3.77564435970611;14.7117087789578;0;0;0.133333333333354
13;4;35729512;2;228;20;20;19;20.8774531042936;31.7555555555601;10.8781024512665;10.8781024512665;52.1045474125833;1;0;11.0222222222239
14;10;64935954;2;178;20;19;18;23.2009740204526;12.5996803137772;-10.6012937066754;10.6012937066754;45.6933131226728;0;0;0.133333333333354
15;3;26561495;2;233;28;20;19;23.8725468957064;24.3280463015837;0.455499405877269;0.455499405877269;1.90804696234231;0;0;0.26666666666668
16;0;46888886;1;154;16;21;20;20.9191197709602;20.0663469804373;-0.852772790522891;0.852772790522891;4.07652329476455;0;0;0.177777777777692
17;11;59404709;2;178;20;19;18;23.2009740204526;17.3947129682393;-5.80626105221334;5.80626105221334;25.0259366141046;0;0;0.177777777777692
18;2;57297510;1;189;24;22;21;18.8308802290398;17.9774580915511;-0.853422137488703;0.853422137488703;4.53203529048319;0;0;0.133333333333269
19;1;16135397;2;221;24;9;8;8.66911977096024;7.79968031377467;-0.869439457185567;0.869439457185567;10.029154979471;0;0;0.0888888888888459
20;9;11000853;1;190;24;6;5;6.04411977096024;9.26634698043966;3.22222720947943;3.22222720947943;53.3117696469391;0;0;3.99999999999807
21;14;36319496;2;223;20;15;14;16.9142135623731;21.1774580915447;4.26324452917164;4.26324452917164;25.2051005117704;1;0;2.22222222222115
22;5;63687823;3;178;24;15;14;17.5392135623731;15.9249999999944;-1.61421356237866;1.61421356237866;9.20345462832855;0;0;4.17777777777576
23;7;58440016;2;195;24;11;10;10.6274531042936;38.8141468366301;28.1866937323365;28.1866937323365;265.225293922481;1;0;7.46666666666306
24;13;19660823;3;261;28;20;19;24.4975468957064;54.6472222221966;30.1496753264902;30.1496753264902;123.072222107979;2;0;3.46666666666499
25;6;32010697;1;203;24;19;18;15.3357864376269;79.0888888888502;63.7531024512233;63.7531024512233;415.714594817275;10;0;29.8666666666522
26;12;44319244;3;146;16;18;17;14.0441197709602;13.8441247582228;-0.199995012737391;0.199995012737391;1.42404804287508;0;0;0.222222222222399
27;3;23414560;3;240;24;17;16;15.4975468957064;63.0777777778212;47.5802308821148;47.5802308821148;307.01782160954;0;0;44.4888888889243
28;8;20409871;1;145;16;17;16;14.0024531042936;13.1330136471117;-0.869439457181832;0.869439457181832;6.20919385129193;0;0;0.0888888888889596
29;0;14515408;2;266;20;25;24;27.8308802290398;22.8613796349312;-4.96950059410861;4.96950059410861;17.856066905578;0;0;0.177777777777919
30;10;857158;3;243;20;32;31;32.4975468957064;36.2858311800416;3.78828428433513;3.78828428433513;11.657139218824;0;0;6.17777777778269
31;1;20888703;3;184;28;27;26;27.0441197709602;23.3996803137856;-3.64443945717469;3.64443945717469;13.4759034053978;0;0;0.177777777777919
32;9;53780604;2;240;24;17;16;15.4975468957064;42.0062049025544;26.5086580068479;26.5086580068479;171.050671343296;6;0;19.0666666666818
33;7;19182316;3;179;24;12;11;13.4142135623731;12.5552358693371;-0.858977693035957;0.858977693035957;6.40348902335499;0;0;0.133333333333439
34;11;48704899;3;149;24;16;15;18.2107864376269;17.355235869341;-0.855550568285945;0.855550568285945;4.69804294952478;0;0;0.177777777777919
35;2;63819464;2;147;16;19;18;15.3357864376269;14.4663469804451;-0.869439457181794;0.869439457181794;5.66935031808081;0;0;0.0888888888889596
36;4;38327532;3;140;16;12;11;10.6691197709602;9.79968031377837;-0.869439457181871;0.869439457181871;8.14912078828055;0;0;0.0888888888889596
37;8;61498985;2;188;16;27;26;25.5441197709602;22.1027777777855;-3.44134199317475;3.44134199317475;13.4721494576103;0;0;2.08888888889055
38;14;19171695;3;161;16;26;25;23.6225468957064;42.59192461446;18.9693777187536;18.9693777187536;80.3020004680419;1;0;12.4888888888988
39;5;23115188;4;240;24;17;16;15.4975468957064;14.5996803137806;-0.897866581925831;0.897866581925831;5.79360454895338;0;0;0.133333333333439
40;0;52453505;3;92;16;7;6;8.99264068711929;40.3774580915847;31.3848174044654;31.3848174044654;349.005575741726;1;0;31.0666666666914
41;9;12614887;3;149;24;16;15;18.2107864376269;17.3996803137854;-0.811106123841466;0.811106123841466;4.45398734766099;0;0;0.177777777777919
42;12;2319502;4;286;20;28;27;24.9558802290398;74.4219025360562;49.4660223070165;49.4660223070165;198.213895294527;0;0;38.9333333333643
43;10;59827780;4;103;16;26;25;23.6274531042936;67.2555555556071;43.6281024513135;43.6281024513135;184.650043568959;2;0;38.4000000000306
44;13;52664332;4;181;24;12;11;12.1642135623731;11.2663469804472;-0.897866581925872;0.897866581925872;7.38121356816024;0;0;0.133333333333439
45;7;21331933;4;228;24;16;15;13.9607864376269;13.0885692026677;-0.872217234959191;0.872217234959191;6.24762250218515;0;0;0.0888888888889596
46;8;21938602;3;272;20;31;30;31.8308802290398;26.0663469804565;-5.76453324858326;5.76453324858326;18.1098769719984;0;0;0.266666666666879
47;3;57769674;4;177;24;16;15;18.2107864376269;30.3333333333551;12.1225468957282;12.1225468957282;66.5679482720237;3;0;6.62222222222749
