kind,visit_id,leg_index,source_scope,bot_id,station_queue_wp_id,from_id,to_id,pod_id,station_id,loaded,orientation_bucket,from_x,from_y,to_x,to_y,abs_dx,abs_dy,euclid,manhattan,same_tier,from_storage,to_storage,from_queue,to_queue,from_degree,to_degree,path_found,path_hops,path_distance,path_turns,path_segments,eta_sec,actual_sec,wait_sec,turn_count,stop_go_count,queue_stop_go_count
bot_to_pod,39547486,1,actual_sim,4,16,124,148,46,0,0,0,9.5,3.5,5.5,5.5,4,2,4.4721359549995796,6,1,0,1,0,0,2,4,1,6,6,1,2,8.2450937914128559,8.3111111111110905,0.13333333333333314,2,0,0
bot_to_pod,1721653,1,actual_sim,13,24,54,272,63,1,0,0,13.5,15.5,17.5,13.5,4,2,4.4721359549995796,6,1,0,1,0,0,2,4,1,6,6,1,2,8.2450937914128559,8.3111111111110905,0.13333333333333314,2,0,0
bot_to_pod,52387077,1,actual_sim,12,16,212,179,82,0,0,0,13.5,9.5,8.5,7.5,5,2,5.3851648071345037,7,1,0,1,0,0,3,4,1,7,7,1,2,9.5367604580795238,9.5999999999999748,0.13333333333333325,2,0,0
bot_to_pod,20383058,1,actual_sim,5,24,49,287,17,1,0,0,8.5,15.5,18.5,14.5,10,1,10.04987562112089,11,1,0,1,0,0,2,4,1,11,11,1,2,11.416666666666668,11.511111111111079,0.13333333333333314,2,0,0
pod_to_station_queue,39547486,2,actual_sim,4,20,148,20,46,0,1,3.1415926535897931,5.5,5.5,1.5,5.5,4,0,4,4,1,1,0,0,1,4,1,1,4,4,0,1,4.166666666666667,4.263608957795002,0.22222222222222143,0,0,0
bot_to_pod,28190407,1,actual_sim,11,16,60,118,49,0,0,0,4.5,1.5,17.5,2.5,13,1,13.038404810405298,14,1,0,1,0,0,3,4,1,14,14,1,2,12.791666666666668,14.888888888888845,0.17777777777777748,2,0,0
bot_to_pod,34220326,1,actual_sim,3,24,48,114,30,1,0,0,7.5,15.5,13.5,2.5,6,13,14.317821063276353,19,1,0,1,0,0,2,4,1,19,19,1,2,16.916666666666668,16.977777777777728,0.13333333333333314,2,0,0
bot_to_pod,40414969,1,actual_sim,10,16,61,226,18,0,0,0,4.5,2.5,13.5,10.5,9,8,12.041594578792296,17,1,0,1,0,0,2,4,1,17,17,1,2,14.958333333333334,17.155555555555505,0.17777777777777748,2,0,0
bot_to_pod,66288034,1,actual_sim,1,24,70,147,19,1,0,0,4.5,11.5,18.5,4.5,14,7,15.652475842498529,21,1,0,1,0,0,3,4,1,21,21,1,2,18.25,21.022222222222158,2.1777777777777705,1,0,0
pod_to_station_queue,52387077,2,actual_sim,12,20,179,20,82,0,1,4.7123889803846897,8.5,7.5,1.5,5.5,7,2,7.2801098892805181,9,1,1,0,0,1,4,1,1,15,15,4,5,20.286760458079524,10.799680313776042,0.088888888888888573,1,0,0
bot_to_pod,49229794,1,actual_sim,7,24,316,109,48,1,0,0,20.5,14.5,8.5,2.5,12,12,16.970562748477139,24,1,0,1,0,0,2,4,1,24,24,2,3,22.208333333333332,28.133333333333244,2.2222222222222143,4,0,0
pod_to_station_queue,20383058,2,actual_sim,5,28,287,28,17,1,1,0,18.5,14.5,1.5,11.5,17,3,17.262676501632068,20,1,1,0,0,1,4,1,1,22,22,3,4,23,28.399680313775974,4.2666666666666515,4,1,0
pod_to_station_queue,40414969,2,actual_sim,10,20,226,20,18,0,1,0,13.5,10.5,1.5,5.5,12,5,13,17,1,1,0,0,1,4,1,1,17,17,3,4,19.5,27.285831180017166,7.3333333333333073,1,1,0
pod_to_station_queue,1721653,2,actual_sim,13,24,272,24,63,1,1,0,17.5,13.5,1.5,9.5,16,4,16.492422502470642,20,1,1,0,0,1,4,1,1,26,26,3,4,25.666666666666664,38.297871569190519,6.3111111111110887,6,0,0
pod_to_station_queue,34220326,2,actual_sim,3,28,114,28,30,1,1,0,13.5,2.5,1.5,11.5,12,9,15,21,1,1,0,0,1,4,1,1,21,21,3,4,22.328427124746192,31.777458091553758,11.111111111111072,4,0,0
