Tag;Instance;Setting;Config;Seed;Timestamp
gate8h;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/1-6-12-45-1203.xinst;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_8h.xsett;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_psNearest.xconf;0;20260629-033600
gate8h;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/1-6-12-45-1203.xinst;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_8h.xsett;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_psTurnover.xconf;0;20260629-040100
gate8h;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/1-6-12-45-1203.xinst;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_8h.xsett;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_psRandom.xconf;0;20260629-042201
gate8h;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/1-6-12-45-1203.xinst;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_8h.xsett;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_psStationBased.xconf;0;20260629-044716
gate8h;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/1-6-12-45-1203.xinst;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_8h.xsett;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_psNearest.xconf;1;20260629-051057
gate8h;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/1-6-12-45-1203.xinst;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_8h.xsett;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_psTurnover.xconf;1;20260629-053527
gate8h;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/1-6-12-45-1203.xinst;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_8h.xsett;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_psRandom.xconf;1;20260629-055615
gate8h;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/1-6-12-45-1203.xinst;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_8h.xsett;C:/Users/Aesop/Desktop/EE-RAWSim-O_PP/Material/Instances/CoreBenchmark/large/gate_psStationBased.xconf;1;20260629-062158
