decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits
36,309.822222222226,1,84,1,90,2,6,8.91074999999988,13.9230468749998,0.218340611353712,0.00891074999999988,62,1,34,1,6,1,-102.84189908242,0.2110918,0,7.95602678571418,1,0,8
37,319.066666666666,1,84,1,90,2,6,8.92156862745098,13.7878787878788,0.175257731958763,0.00892156862745098,44,1,23,1,5,2,-56.1224795560211,0.2110649,0,7.98245614035088,2,0,6
38,319.91111111111,1,83,1,90,2,6,8.75,13.7878787878788,0.155223880597015,0.00875,28,1,13,1,2,1,-49.9007671867933,0.1167449,0,7.8448275862069,1,0,7
39,329.15555555555,1,83,1,90,1,6,8.83644013510363,13.774450798838,0.146005509641873,0.00883644013510363,34,3,18,1,4,3,-36.5571757775174,0.2010409,0,7.93781910441513,1,2,3
40,339.244444444434,1,83,1,89,3,6,8.61772493661809,13.788359898589,0.141057934508816,0.00861772493661809,37,2,21,1,3,4,-64.5033788131109,0.0935457,0,7.91135404017399,4,0,20
41,340.044444444434,1,82,1,89,1,6,8.35666046659469,13.4635085295137,0.133640552995392,0.00835666046659469,20,1,11,1,2,1,-43.8577397827103,0.1053982,0,7.8175210816531,1,0,6
42,359.377777777758,1,82,1,89,3,6,9.2040213041431,14.6766826201201,0.129955947136564,0.0092040213041431,28,2,15,1,2,2,-56.9046938982716,0.0845202,0,8.35441933760681,2,0,15
43,360.177777777757,1,81,1,89,1,6,8.92718636156645,14.330483369883,0.12655601659751,0.00892718636156645,11,2,5,1,1,2,-36.6252483386673,0.1037079,0,8.25088436447808,1,1,4
44,370.266666666641,1,81,1,88,2,5,9.03634865520271,14.5971785968659,0.127789046653144,0.00903634865520271,9,1,4,0,0,2,-42.4976530465498,0.1115089,0,8.37191125408487,2,0,14
45,379.511111111081,1,81,1,85,3,5,9.03125,14.8205128205128,0.127490039840637,0.00903125,24,2,13,0,2,3,-40.3601636443357,0.1448109,0,8.3768115942029,3,0,11
46,380.355555555525,1,81,1,85,2,5,8.76008049242424,14.8247516025641,0.125475285171103,0.00876008049242424,8,1,4,1,0,3,-36.8857473265943,0.0825806,0,8.25950446428571,3,0,12
47,390.444444444409,1,80,1,85,2,5,8.7020232172471,14.5758888888889,0.125468164794007,0.0087020232172471,7,1,3,1,0,2,-33.503897509208,0.0784883,0,8.09771604938272,2,0,9
48,399.644444444405,1,80,1,85,3,5,8.77041116330784,14.5460477830472,0.125693160813309,0.00877041116330785,16,1,9,1,1,2,-31.4964200654499,0.0841345,0,8.16969806993059,2,0,8
49,400.533333333293,1,79,1,85,2,5,8.66769323671493,14.2397817460317,0.123877917414722,0.00866769323671493,6,1,2,1,0,2,-30.0574838111282,0.0715683,0,8.08203828828824,2,0,7
50,410.622222222177,1,79,1,85,2,5,8.82146158509694,14.3605188594601,0.124333925399645,0.00882146158509694,5,1,1,1,0,1,-27.5780296926913,0.0934937,0,8.12503040732612,1,0,5
51,419.777777777728,1,79,1,86,3,5,8.88986040471219,14.3450020166947,0.125,0.0088898604047122,16,1,8,1,1,2,-29.4730071656595,0.0965019,0,8.19714400953982,2,0,6
