Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5 (dynamic),6,1422.2,931.2,584.0,5.231,111.7,0.1913,9.40,1.203,916.9,1.30
HGS-M5 fixed λ=3,6,882.8,586.7,364.6,5.562,65.7,0.1801,9.90,1.285,712.7,38.69
HGS-M5 fixed λ=4,6,1136.2,747.3,475.7,5.426,89.0,0.1850,9.27,1.173,775.6,21.13
HGS-M5 fixed λ=5,6,1215.9,798.6,503.4,5.476,92.5,0.1830,8.98,1.149,787.2,15.61
HGS-M5 fixed λ=9,6,1422.2,932.2,589.8,5.768,102.3,0.1735,9.06,1.145,866.7,1.31
HGS-M5 fixed λ=14,6,1424.5,933.7,587.7,5.748,102.3,0.1741,9.13,1.156,879.8,1.14
HGS-M5 fixed λ=18,6,1422.5,931.1,588.7,5.741,102.6,0.1744,9.26,1.166,886.2,1.29
HGS-M5 fixed λ=22,6,1424.3,933.4,588.7,5.856,100.6,0.1709,9.17,1.159,913.8,1.16
HGS-M5 (dynamic),10,1430.3,934.2,588.1,5.081,115.8,0.1970,10.18,1.312,955.2,0.74
HGS-M5 fixed λ=3,10,936.3,616.5,387.6,5.482,71.4,0.1828,10.22,1.305,749.6,34.99
HGS-M5 fixed λ=4,10,993.2,653.9,413.3,5.516,75.7,0.1817,9.69,1.228,735.8,31.05
HGS-M5 fixed λ=5,10,1197.0,783.3,496.2,5.554,89.4,0.1801,9.75,1.241,803.4,16.90
HGS-M5 fixed λ=9,10,1411.0,925.5,585.6,5.655,103.6,0.1770,9.82,1.238,856.9,2.08
HGS-M5 fixed λ=14,10,1428.6,934.0,591.0,5.561,106.3,0.1799,9.99,1.259,915.4,0.84
HGS-M5 fixed λ=18,10,1428.4,933.8,591.4,5.639,105.0,0.1776,9.98,1.260,877.7,0.88
HGS-M5 fixed λ=22,10,1428.4,933.7,591.9,5.539,107.0,0.1807,10.14,1.275,902.5,0.88
