#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;0;0;2;2;0/60,1/60;0/32.71,1/29.02;0/60,1/60;0/60,1/60;0/0,1/0;0/0,1/0;0/0,1/0;0/20,1/14;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/3,1/4
119.96;0;2;2;2;0/119.96,1/107.02;0/32.76,1/29.07;0/119.96,1/119.96;0/119.96,1/119.96;0/0,1/0;0/0,1/0;0/0,1/2;0/14,1/12;0/3,1/2;0/5,1/5;0/0,1/0;0/1,1/1;0/0,1/2;0/9,1/10
179.96;1;5;2;2;0/179.96,1/137.73;0/32.8,1/29.11;0/179.96,1/179.96;0/179.96,1/179.96;0/0,1/0;0/0,1/0;0/0,1/1;0/10,1/9;0/3,1/2;0/5,1/5;0/0,1/1;0/3,1/2;0/0,1/5;0/15,1/16
239.96;1;7;2;2;0/239.96,1/180.22;0/32.84,1/29.29;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/18;0/3,1/2;0/5,1/5;0/0,1/1;0/3,1/4;0/0,1/6;0/21,1/22
299.96;1;9;2;2;0/299.96,1/240.22;0/33.16,1/29.56;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/0;0/0,1/0;0/3,1/0;0/9,1/14;0/3,1/2;0/5,1/5;0/0,1/1;0/4,1/5;0/0,1/6;0/27,1/28
360;1;12;2;2;0/330,1/300.27;0/33.51,1/29.96;0/360,1/360;0/360,1/360;0/0,1/0;0/0,1/3;0/1,1/0;0/11,1/17;0/3,1/2;0/5,1/5;0/0,1/1;0/5,1/7;0/3,1/6;0/33,1/34
420;2;14;2;2;0/380,1/360.27;0/33.96,1/30.18;0/420,1/420;0/420,1/420;0/0,1/0;0/0,1/0;0/0,1/1;0/15,1/12;0/3,1/2;0/5,1/5;0/1,1/1;0/6,1/8;0/4,1/6;0/39,1/39
480;4;16;2;2;0/436.62,1/410.27;0/34.27,1/30.53;0/480,1/480;0/480,1/480;0/0,1/0;0/0,1/0;0/1,1/0;0/11,1/10;0/3,1/2;0/5,1/5;0/2,1/2;0/7,1/9;0/5,1/7;0/45,1/45
540;4;18;2;2;0/480,1/470.27;0/34.53,1/30.84;0/540,1/540;0/540,1/540;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/16;0/3,1/2;0/5,1/5;0/2,1/2;0/7,1/11;0/6,1/7;0/51,1/51
600;5;21;2;2;0/540,1/529.64;0/34.71,1/30.89;0/600,1/600;0/600,1/600;0/0,1/0;0/0,1/2;0/0,1/1;0/17,1/14;0/3,1/2;0/5,1/5;0/2,1/3;0/9,1/12;0/6,1/8;0/57,1/57
