Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
"HGS-M5 (dynamic), 60 robots",60,,,,,,,,,,
"HGS-M5 fixed λ=13, 60 robots",60,,,,,,,,,,
