time,bot_id,station_id,chosen_delay,queue_wait_at_station,eta_underestimate,station_idle_at_arrival,neighbor_count_at_decision,release_reason,missed_conversion_opportunity,starvation_proxy
14.09,Bot5,OutputStation6,0.000000,5.570000,3.100000,1.000000,0,immediate_release,0,0
20.68,Bot11,OutputStation1,0.000000,5.380000,4.980000,1.000000,0,immediate_release,0,0
26.68,Bot8,OutputStation0,0.000000,7.020000,5.980000,1.000000,0,immediate_release,0,0
28.65,Bot12,OutputStation11,0.000000,15.280000,15.860000,0.000000,0,immediate_release,1,0
29.38,Bot9,OutputStation11,0.000000,7.090000,1.640000,1.000000,0,immediate_release,0,0
30.74,Bot17,OutputStation10,0.000000,7.280000,1.730000,1.000000,0,immediate_release,0,0
31.92,Bot16,OutputStation9,0.000000,6.990000,0.000000,1.000000,0,immediate_release,0,0
33.35,Bot1,OutputStation2,0.000000,7.280000,1.300000,1.000000,0,immediate_release,0,0
41.05,Bot7,OutputStation4,0.000000,5.740000,1.730000,1.000000,0,immediate_release,0,0
41.05,Bot19,OutputStation5,0.000000,5.490000,23.900000,1.000000,0,immediate_release,0,0
49.38,Bot14,OutputStation3,0.000000,5.460000,2.020000,1.000000,0,immediate_release,0,0
51.05,Bot13,OutputStation8,0.000000,7.050000,3.290000,1.000000,0,immediate_release,0,0
55.87,Bot3,OutputStation7,0.000000,6.260000,0.000000,1.000000,0,immediate_release,0,0
103.78,Bot9,OutputStation11,1.670000,38.670000,33.140000,0.000000,0,hard_deadline,0,0
154.42,Bot17,OutputStation10,0.000000,5.430000,0.560000,1.000000,0,immediate_release,0,0
182.4,Bot1,OutputStation2,0.000000,5.550000,2.270000,1.000000,0,immediate_release,0,0
192.28,Bot16,OutputStation9,0.000000,7.200000,0.380000,1.000000,0,immediate_release,0,0
196.87,Bot12,OutputStation11,0.000000,6.810000,0.000000,1.000000,0,immediate_release,0,0
210.41,Bot11,OutputStation1,0.000000,5.460000,4.490000,1.000000,0,immediate_release,0,0
251.7,Bot8,OutputStation0,0.000000,5.430000,5.940000,1.000000,0,immediate_release,0,0
252.5,Bot7,OutputStation4,0.000000,6.920000,4.340000,1.000000,0,immediate_release,0,0
254.89,Bot3,OutputStation7,0.000000,5.680000,4.050000,1.000000,0,immediate_release,0,0
264.71,Bot5,OutputStation6,0.000000,6.910000,0.920000,1.000000,0,immediate_release,0,0
267.9,Bot19,OutputStation5,0.000000,5.550000,0.280000,1.000000,0,immediate_release,0,0
269.85,Bot14,OutputStation3,0.000000,5.420000,1.810000,1.000000,0,immediate_release,0,0
282.83,Bot13,OutputStation8,0.000000,6.950000,1.660000,1.000000,0,immediate_release,0,0
283.73,Bot9,OutputStation11,0.000000,6.840000,8.290000,1.000000,0,immediate_release,0,0
284.8,Bot17,OutputStation10,0.000000,7.240000,4.960000,1.000000,0,immediate_release,0,0
286.24,Bot12,OutputStation11,0.000000,5.660000,0.150000,1.000000,1,immediate_release,0,0
331.74,Bot16,OutputStation9,0.000000,5.540000,4.020000,1.000000,0,immediate_release,0,0
339,Bot1,OutputStation2,0.000000,8.370000,2.380000,1.000000,0,immediate_release,0,0
368.16,Bot3,OutputStation7,0.000000,5.430000,4.610000,1.000000,0,immediate_release,0,0
394.34,Bot12,OutputStation11,0.000000,6.900000,0.000000,1.000000,0,immediate_release,0,0
398.72,Bot14,OutputStation3,0.000000,7.180000,2.650000,1.000000,0,immediate_release,0,0
400.86,Bot7,OutputStation4,0.000000,5.550000,4.510000,1.000000,0,immediate_release,0,0
422.42,Bot19,OutputStation5,0.000000,5.530000,2.760000,1.000000,0,immediate_release,0,0
436.1,Bot13,OutputStation8,0.000000,6.970000,1.900000,1.000000,0,immediate_release,0,0
438.39,Bot16,OutputStation9,0.000000,6.920000,0.060000,1.000000,0,immediate_release,0,0
446.55,Bot17,OutputStation10,0.000000,6.940000,3.750000,1.000000,0,immediate_release,0,0
464.65,Bot11,OutputStation1,0.000000,7.010000,2.160000,1.000000,0,immediate_release,0,0
474.32,Bot9,OutputStation11,0.000000,7.140000,0.000000,1.000000,0,immediate_release,0,0
475.73,Bot5,OutputStation6,0.000000,5.500000,1.720000,1.000000,0,immediate_release,0,0
482.77,Bot1,OutputStation2,0.000000,5.730000,0.370000,1.000000,0,immediate_release,0,0
487.81,Bot8,OutputStation0,0.000000,5.400000,3.140000,1.000000,0,immediate_release,0,0
514.94,Bot14,OutputStation3,0.000000,5.440000,3.380000,1.000000,0,immediate_release,0,0
520.51,Bot3,OutputStation7,0.000000,7.170000,2.600000,1.000000,0,immediate_release,0,0
543.7,Bot7,OutputStation4,0.000000,0.000000,0.000000,0.000000,0,immediate_release,0,0
572.74,Bot13,OutputStation8,0.000000,0.000000,0.000000,0.000000,0,immediate_release,0,0
585.93,Bot12,OutputStation11,0.000000,0.000000,0.000000,0.000000,0,immediate_release,0,0
594.01,Bot9,OutputStation11,7.580000,0.000000,0.000000,0.000000,0,eta_improvement_release,0,0
