#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/6,1/6;0/0,1/0;0/6,1/6;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;1;1;2;2;0/35.78,1/53.47;0/32.53,1/29.96;0/60,1/60;0/60,1/60;0/0,1/9;0/0,1/0;0/1,1/15;0/8,1/10;0/3,1/2;0/5,1/5;0/1,1/0;0/1,1/0;0/3,1/1;0/3,1/4
119.96;3;1;2;2;0/80.04,1/57.91;0/32.71,1/30;0/119.96,1/119.96;0/119.96,1/119.96;0/0,1/7;0/0,1/0;0/0,1/9;0/7,1/8;0/3,1/2;0/5,1/5;0/2,1/1;0/1,1/0;0/4,1/7;0/9,1/9
179.96;4;3;2;2;0/140.04,1/90.31;0/32.89,1/30.09;0/179.96,1/179.96;0/179.96,1/179.96;0/0,1/3;0/0,1/0;0/0,1/7;0/8,1/7;0/3,1/2;0/5,1/5;0/2,1/2;0/2,1/1;0/4,1/9;0/15,1/15
239.96;6;3;2;2;0/200.04,1/110.49;0/33.07,1/30.22;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/2;0/0,1/0;0/0,1/3;0/6,1/7;0/3,1/2;0/5,1/5;0/2,1/4;0/2,1/1;0/4,1/13;0/21,1/21
299.96;8;4;2;2;0/260.04,1/152.31;0/33.47,1/30.53;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/1;0/0,1/0;0/0,1/2;0/3,1/6;0/3,1/2;0/5,1/5;0/2,1/6;0/2,1/2;0/4,1/15;0/27,1/27
360;9;4;2;2;0/320.09,1/200.53;0/60,1/31.02;0/360,1/360;0/360,1/360;0/0,1/0;0/0,1/0;0/0,1/1;0/0,1/10;0/3,1/2;0/5,1/5;0/2,1/7;0/2,1/2;0/4,1/16;0/30,1/33
420;10;4;2;2;0/380.09,1/250.53;0/120,1/31.42;0/420,1/420;0/420,1/420;0/0,1/1;0/0,1/0;0/0,1/1;0/0,1/7;0/3,1/2;0/5,1/5;0/2,1/8;0/2,1/2;0/4,1/17;0/30,1/39
480;10;4;2;2;0/440.09,1/310.53;0/180,1/31.87;0/480,1/480;0/480,1/480;0/0,1/1;0/0,1/0;0/0,1/1;0/0,1/1;0/3,1/2;0/5,1/5;0/2,1/8;0/2,1/2;0/4,1/17;0/30,1/45
540;11;4;2;2;0/500.09,1/367.24;0/240,1/80;0/540,1/540;0/540,1/540;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/3,1/2;0/5,1/5;0/2,1/9;0/2,1/2;0/4,1/18;0/30,1/46
600;11;4;2;2;0/560.09,1/420.58;0/300,1/140;0/600,1/600;0/600,1/600;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/9;0/2,1/2;0/4,1/18;0/30,1/46
659.96;11;4;2;2;0/620.04,1/480.53;0/359.96,1/199.96;0/659.96,1/659.96;0/659.96,1/659.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/9;0/2,1/2;0/4,1/18;0/30,1/46
719.96;11;4;2;2;0/680.04,1/540.53;0/419.96,1/259.96;0/719.96,1/719.96;0/719.96,1/719.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/9;0/2,1/2;0/4,1/18;0/30,1/46
779.96;11;4;2;2;0/740.04,1/600.53;0/479.96,1/319.96;0/779.96,1/779.96;0/779.96,1/779.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/9;0/2,1/2;0/4,1/18;0/30,1/46
839.96;11;4;2;2;0/800.04,1/660.53;0/539.96,1/379.96;0/839.96,1/839.96;0/839.96,1/839.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/9;0/2,1/2;0/4,1/18;0/30,1/46
899.96;11;4;2;2;0/860.04,1/720.53;0/599.96,1/439.96;0/899.96,1/899.96;0/899.96,1/899.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/9;0/2,1/2;0/4,1/18;0/30,1/46
959.96;11;4;2;2;0/920.04,1/780.53;0/659.96,1/499.96;0/959.96,1/959.96;0/959.96,1/959.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/9;0/2,1/2;0/4,1/18;0/30,1/46
1019.96;11;4;2;2;0/980.04,1/840.53;0/719.96,1/559.96;0/1019.96,1/1019.96;0/1019.96,1/1019.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/9;0/2,1/2;0/4,1/18;0/30,1/46
1079.96;11;4;2;2;0/1040.04,1/900.53;0/779.96,1/619.96;0/1079.96,1/1079.96;0/1079.96,1/1079.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/9;0/2,1/2;0/4,1/18;0/30,1/46
1139.96;11;4;2;2;0/1100.04,1/960.53;0/839.96,1/679.96;0/1139.96,1/1139.96;0/1139.96,1/1139.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/9;0/2,1/2;0/4,1/18;0/30,1/46
1199.96;11;4;2;2;0/1160.04,1/1020.53;0/899.96,1/739.96;0/1199.96,1/1199.96;0/1199.96,1/1199.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/9;0/2,1/2;0/4,1/18;0/30,1/46
1259.96;15;4;2;2;0/1189.96,1/1060.27;0/959.96,1/799.96;0/1259.96,1/1259.96;0/1259.96,1/1259.96;0/0,1/0;0/0,1/0;0/1,1/7;0/0,1/0;0/8,1/7;0/0,1/0;0/4,1/11;0/2,1/2;0/8,1/21;0/30,1/46
1319.96;18;4;2;2;0/1230.27,1/1070.84;0/1019.96,1/859.96;0/1319.96,1/1319.96;0/1319.96,1/1319.96;0/0,1/0;0/0,1/0;0/0,1/3;0/0,1/0;0/8,1/7;0/0,1/0;0/5,1/13;0/2,1/2;0/9,1/25;0/30,1/46
1379.96;21;4;2;2;0/1290.27,1/1100.98;0/1079.96,1/919.96;0/1379.96,1/1379.96;0/1379.96,1/1379.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/7;0/0,1/0;0/5,1/16;0/2,1/2;0/9,1/28;0/30,1/46
1439.96;21;4;2;2;0/1350.27,1/1160.98;0/1139.96,1/979.96;0/1439.96,1/1439.96;0/1439.96,1/1439.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/5,1/16;0/2,1/2;0/9,1/28;0/30,1/46
1499.96;21;4;2;2;0/1410.27,1/1220.98;0/1199.96,1/1039.96;0/1499.96,1/1499.96;0/1499.96,1/1499.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/5,1/16;0/2,1/2;0/9,1/28;0/30,1/46
1559.96;21;4;2;2;0/1470.27,1/1280.98;0/1259.96,1/1099.96;0/1559.96,1/1559.96;0/1559.96,1/1559.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/5,1/16;0/2,1/2;0/9,1/28;0/30,1/46
1619.96;21;4;2;2;0/1530.27,1/1340.98;0/1319.96,1/1159.96;0/1619.96,1/1619.96;0/1619.96,1/1619.96;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/5,1/16;0/2,1/2;0/9,1/28;0/30,1/46
