Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
m5_6b,6,1425.0,928.0,601.0,5.272,114.0,0.1897,9.56,1.180,903.7,1.15
m5_10b,10,1430.0,923.0,591.0,4.884,121.0,0.2047,10.64,1.339,867.1,0.77
