Policy,Bots,Seed,Order batching time per decision (s),Order batching time total (s),Decisions
HGS-M5 (dynamic),45,0,0.0495,264.1,5332
HGS-M5 (dynamic),45,1,0.0816,474.8,5819
HGS-M5 (dynamic),45,2,0.0639,354.0,5536
HGS-M5 (dynamic),45,3,0.0830,431.7,5202
HGS-M5 (dynamic),45,4,0.0573,337.9,5900
HGS-M5 (dynamic),45,5,0.0581,305.6,5257
HGS-M5 (dynamic),45,6,0.0608,317.5,5223
HGS-M5 (dynamic),45,7,0.0520,271.7,5229
HGS-M5 (dynamic),45,8,0.0801,478.0,5965
HGS-M5 (dynamic),45,9,0.0687,357.5,5204
HGS-M5 fixed λ=4,45,0,0.0623,531.0,8528
HGS-M5 fixed λ=4,45,1,0.0656,566.0,8626
HGS-M5 fixed λ=4,45,2,0.0641,548.8,8568
HGS-M5 fixed λ=4,45,3,0.0621,514.4,8280
HGS-M5 fixed λ=4,45,4,0.0623,504.7,8101
HGS-M5 fixed λ=4,45,5,0.0595,505.4,8494
HGS-M5 fixed λ=4,45,6,0.0697,568.4,8157
HGS-M5 fixed λ=4,45,7,0.0668,576.0,8621
HGS-M5 fixed λ=4,45,8,0.0695,589.4,8484
HGS-M5 fixed λ=4,45,9,0.0700,635.3,9071
HGS-M5 fixed λ=6,45,0,0.0592,485.7,8209
HGS-M5 fixed λ=6,45,1,0.0618,515.8,8349
HGS-M5 fixed λ=6,45,2,0.0621,506.0,8146
HGS-M5 fixed λ=6,45,3,0.0661,533.1,8059
HGS-M5 fixed λ=6,45,4,0.0627,495.8,7907
HGS-M5 fixed λ=6,45,5,0.0631,503.0,7975
HGS-M5 fixed λ=6,45,6,0.0628,505.3,8044
HGS-M5 fixed λ=6,45,7,0.0607,488.0,8042
HGS-M5 fixed λ=6,45,8,0.0716,577.4,8069
HGS-M5 fixed λ=6,45,9,0.0692,569.1,8223
HGS-M5 fixed λ=8,45,0,0.0652,493.4,7568
HGS-M5 fixed λ=8,45,1,0.0674,519.7,7712
HGS-M5 fixed λ=8,45,2,0.0657,495.5,7540
HGS-M5 fixed λ=8,45,3,0.0673,511.7,7602
HGS-M5 fixed λ=8,45,4,0.0620,456.3,7359
HGS-M5 fixed λ=8,45,5,0.0585,438.4,7499
HGS-M5 fixed λ=8,45,6,0.0582,440.5,7574
HGS-M5 fixed λ=8,45,7,0.0589,444.6,7547
HGS-M5 fixed λ=8,45,8,0.0625,465.4,7450
HGS-M5 fixed λ=8,45,9,0.0613,457.6,7471
HGS-M5 fixed λ=13,45,0,0.0524,355.2,6780
HGS-M5 fixed λ=13,45,1,0.0538,376.7,7000
HGS-M5 fixed λ=13,45,2,0.0532,361.3,6795
HGS-M5 fixed λ=13,45,3,0.0523,341.0,6519
HGS-M5 fixed λ=13,45,4,0.0532,347.1,6519
HGS-M5 fixed λ=13,45,5,0.0530,335.5,6328
HGS-M5 fixed λ=13,45,6,0.0555,383.9,6916
HGS-M5 fixed λ=13,45,7,0.0532,324.3,6093
HGS-M5 fixed λ=13,45,8,0.0529,364.6,6896
HGS-M5 fixed λ=13,45,9,0.0533,367.3,6890
HGS-M5 fixed λ=20,45,0,0.0511,273.5,5350
HGS-M5 fixed λ=20,45,1,0.0514,293.9,5717
HGS-M5 fixed λ=20,45,2,0.0542,297.7,5493
HGS-M5 fixed λ=20,45,3,0.0541,319.5,5902
HGS-M5 fixed λ=20,45,4,0.0545,305.4,5601
HGS-M5 fixed λ=20,45,5,0.0527,296.5,5621
HGS-M5 fixed λ=20,45,6,0.0515,275.1,5337
HGS-M5 fixed λ=20,45,7,0.0528,295.7,5597
HGS-M5 fixed λ=20,45,8,0.0550,312.3,5674
HGS-M5 fixed λ=20,45,9,0.0557,347.1,6230
HGS-M5 fixed λ=45,45,0,0.0532,273.3,5133
HGS-M5 fixed λ=45,45,1,0.0532,271.8,5111
HGS-M5 fixed λ=45,45,2,0.0544,281.8,5181
HGS-M5 fixed λ=45,45,3,0.0539,281.0,5209
HGS-M5 fixed λ=45,45,4,0.0449,230.3,5124
HGS-M5 fixed λ=45,45,5,0.0433,224.4,5183
HGS-M5 fixed λ=45,45,6,0.0511,262.6,5138
HGS-M5 fixed λ=45,45,7,0.0505,258.6,5123
HGS-M5 fixed λ=45,45,8,0.0575,297.6,5172
HGS-M5 fixed λ=45,45,9,0.0567,288.4,5084
