Policy,Reference,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5 fixed λ=4,HGS-M5 (dynamic),45,−11.05***,−11.32***,−11.65***,+4.71***,−15.63***,−4.50***,−2.60*,−1.60,+1.14,+280.47***
HGS-M5 fixed λ=6,HGS-M5 (dynamic),45,−4.29***,−4.46***,−4.39***,+6.11***,−9.89***,−5.74***,−3.48***,−3.66***,−2.87*,+109.06***
HGS-M5 fixed λ=8,HGS-M5 (dynamic),45,−1.14***,−1.20***,−1.36***,+7.47***,−8.17***,−6.90***,−4.38***,−3.70***,−3.61**,+29.04***
HGS-M5 fixed λ=13,HGS-M5 (dynamic),45,+0.63**,+0.45,+0.43,+6.70***,−5.83***,−6.24***,−2.57**,−1.35,−1.77,−15.62**
HGS-M5 fixed λ=20,HGS-M5 (dynamic),45,+0.65***,+0.54**,+0.53,+6.40***,−5.49***,−5.98***,−1.42*,+0.48,+0.59,−16.43***
HGS-M5 fixed λ=45,HGS-M5 (dynamic),45,+0.29*,+0.26,+0.58,+9.66***,−8.29***,−8.81***,−0.64,+1.54,−1.92,−7.35*
