#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;3;6;0/0,1/0,2/0;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0;0/45,1/50,2/39,3/32,4/41,5/44;0/0,1/0,2/0;0/45,1/50,2/39,3/32,4/41,5/44;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/0,1/0,2/0;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0;0/0,1/0,2/0,3/0,4/0,5/0
59.92;0;2;3;6;0/30.79,1/44.92,2/58.91;0/45.44,1/39.96,2/39.82,3/49.67,4/36.87,5/48.29;0/59.92,1/59.92,2/59.92;0/59.92,1/59.92,2/59.92,3/59.92,4/59.92,5/59.92;0/0,1/0,2/0;0/24,1/35,2/24,3/22,4/25,5/34;0/25,1/19,2/19;0/43,1/48,2/44,3/30,4/38,5/42;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/0,1/0,2/0;0/0,1/0,2/1,3/1,4/0,5/0;0/3,1/2,2/1;0/2,1/2,2/3,3/2,4/3,5/2
119.96;0;12;3;6;0/31.11,1/45.72,2/59.58;0/46.1,1/42.49,2/40.38,3/50.57,4/37.56,5/50.39;0/119.96,1/119.96,2/119.96;0/119.96,1/119.96,2/119.96,3/119.96,4/119.96,5/119.96;0/0,1/0,2/0;0/25,1/33,2/22,3/20,4/22,5/31;0/19,1/21,2/24;0/47,1/47,2/38,3/33,4/39,5/37;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/0,1/0,2/0;0/1,1/2,2/2,3/3,4/2,5/2;0/9,1/8,2/7;0/8,1/8,2/9,3/8,4/9,5/7
179.95;3;19;3;6;0/36.11,1/51.85,2/65.28;0/46.63,1/43,2/40.85,3/51.34,4/38.14,5/67.79;0/179.95,1/179.95,2/179.95;0/179.95,1/179.95,2/179.95,3/179.95,4/179.95,5/179.95;0/0,1/0,2/0;0/26,1/32,2/22,3/19,4/21,5/30;0/22,1/24,2/28;0/46,1/46,2/38,3/27,4/37,5/43;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/1,1/1,2/1;0/2,1/3,2/4,3/3,4/3,5/4;0/15,1/13,2/12;0/14,1/14,2/15,3/14,4/15,5/12
239.97;3;27;3;6;0/37.03,1/52.25,2/65.69;0/47.61,1/44.07,2/41.31,3/52,4/39.05,5/68.06;0/239.97,1/239.97,2/239.97;0/239.97,1/239.97,2/239.97,3/239.97,4/239.97,5/239.97;0/0,1/0,2/0;0/21,1/32,2/22,3/24,4/21,5/19;0/25,1/25,2/22;0/46,1/52,2/38,3/32,4/36,5/37;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/1,1/1,2/1;0/2,1/4,2/5,3/5,4/4,5/7;0/21,1/19,2/18;0/20,1/20,2/20,3/19,4/21,5/18
299.91;6;31;3;6;0/41.79,1/58.31,2/71.86;0/48.45,1/44.53,2/41.78,3/52.77,4/40.1,5/69.19;0/299.91,1/299.91,2/299.91;0/299.91,1/299.91,2/299.91,3/299.91,4/299.91,5/299.91;0/0,1/0,2/0;0/21,1/32,2/23,3/20,4/23,5/17;0/20,1/19,2/24;0/40,1/46,2/39,3/35,4/35,5/31;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/2,1/2,2/2;0/3,1/4,2/5,3/7,4/4,5/8;0/26,1/25,2/24;0/26,1/26,2/26,3/25,4/27,5/24
359.69;8;37;3;6;0/46.53,1/63.66,2/73.26;0/49.19,1/45.06,2/42.36,3/58.85,4/40.82,5/70.15;0/359.69,1/359.69,2/359.69;0/359.69,1/359.69,2/359.69,3/359.69,4/359.69,5/359.69;0/6,1/0,2/7;0/17,1/30,2/23,3/16,4/19,5/16;0/20,1/22,2/25;0/38,1/40,2/33,3/29,4/37,5/34;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/3,1/3,2/2;0/4,1/5,2/5,3/9,4/5,5/9;0/32,1/30,2/30;0/32,1/32,2/32,3/31,4/33,5/30
419.81;9;44;3;6;0/52.1,1/64.68,2/79.12;0/50.72,1/45.83,2/43.23,3/59.77,4/43.13,5/71.34;0/419.81,1/419.81,2/419.81;0/419.81,1/419.81,2/419.81,3/419.81,4/419.81,5/419.81;0/6,1/0,2/0;0/17,1/27,2/18,3/17,4/22,5/16;0/24,1/24,2/20;0/36,1/42,2/31,3/27,4/39,5/32;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/3,1/3,2/3;0/4,1/7,2/7,3/9,4/7,5/10;0/37,1/36,2/35;0/38,1/38,2/38,3/37,4/38,5/36
479.94;12;54;3;6;0/53.04,1/69.8,2/84.33;0/51.18,1/46.73,2/44.43,3/61.78,4/45.15,5/71.67;0/479.94,1/479.94,2/479.94;0/479.94,1/479.94,2/479.94,3/479.94,4/479.94,5/479.94;0/6,1/0,2/0;0/17,1/25,2/16,3/16,4/17,5/16;0/28,1/25,2/21;0/40,1/42,2/33,3/28,4/33,5/31;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/4,1/4,2/4;0/6,1/9,2/9,3/11,4/9,5/10;0/43,1/42,2/41;0/44,1/44,2/44,3/43,4/44,5/42
539.76;14;59;3;6;0/58.35,1/75.84,2/84.91;0/51.94,1/47.99,2/44.76,3/62.52,4/45.67,5/72.69;0/539.76,1/539.76,2/539.76;0/539.76,1/539.76,2/539.76,3/539.76,4/539.76,5/539.76;0/0,1/0,2/7;0/18,1/22,2/15,3/13,4/16,5/15;0/22,1/20,2/22;0/38,1/45,2/27,3/30,4/35,5/34;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/5,1/5,2/4;0/7,1/10,2/10,3/12,4/9,5/11;0/49,1/47,2/47;0/50,1/50,2/50,3/49,4/50,5/48
599.88;16;64;3;6;0/59.11,1/80.57,2/90.39;0/53.11,1/48.99,2/45.28,3/63.57,4/46.67,5/73.87;0/599.88,1/599.88,2/599.88;0/599.88,1/599.88,2/599.88,3/599.88,4/599.88,5/599.88;0/0,1/0,2/0;0/21,1/20,2/19,3/11,4/18,5/17;0/25,1/21,2/17;0/44,1/39,2/31,3/28,4/40,5/37;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/5,1/6,2/5;0/7,1/10,2/11,3/13,4/10,5/13;0/55,1/53,2/52;0/56,1/56,2/56,3/55,4/56,5/54
