idx;src_id;dest_id;path_nodes;path_len_m;expected_sec;actual_sec;abs_err_sec;rel_err_pct
0;708;76;26;25;26.9583333333333;25.9339826803018;1.02435065303158;3.79975512716507
1;423;28;18;17;21.625;21.3784271247462;0.246572875253815;1.14022138845695
2;622;44;23;22;25.5833333333333;24.6179653606035;0.965367972729847;3.77342530057269
3;322;12;26;25;30.5833333333333;30.4228715691906;0.160461764142703;0.524670618450254
4;886;44;29;28;24.875;30.7194444444444;5.84444444444444;23.4952540480178
5;461;92;30;29;29.1666666666667;29.3145382358573;0.147871569190638;0.506988237225045
6;667;60;28;27;30.4117604580795;30.3478715691906;0.0638888888889007;0.21007954793333
7;596;60;17;16;18.8333333333333;33.3867604580795;14.5534271247462;77.2748342906877
8;731;28;15;14;17.0416666666667;35.2;18.1583333333333;106.552567237164
9;293;76;23;22;24.9583333333333;50.4534271247462;25.4950937914129;102.150626209334
10;925;92;39;38;35.625;47.981204902524;12.356204902524;34.6840839369094
11;692;12;25;24;23.7083333333333;59.9645382358573;36.256204902524;152.925996073915
12;806;60;37;36;37.9166666666667;61.8534271247462;23.9367604580796;63.1299176916384
13;723;92;39;38;32.1666666666667;57.5194444444445;25.3527777777779;78.8169257340244
14;418;44;29;28;28.9583333333333;69.9138888888889;40.9555555555556;141.429256594724
15;269;76;36;35;31.0416666666667;86.0828715691907;55.0412049025241;177.313948679272
16;584;28;36;35;37.875;97.2300937914129;59.3550937914129;156.713118921222
17;815;60;46;45;43.0416666666667;89.5817604580796;46.540093791413;108.12800106427
18;791;92;39;38;31.5416666666667;102.428427124746;70.8867604580796;224.740059576474
19;698;44;52;51;46.4117604580795;117.319444444444;70.907683986365;152.779561228691
20;386;92;54;53;45;110.600555555556;65.6005555555556;145.779012345679
21;810;76;27;26;29.7450937914129;115.567871569191;85.8227777777779;288.527507694577
22;506;44;52;51;49.1666666666667;127.342222222222;78.1755555555557;159.001129943503
23;490;12;17;16;17.5;154.47676045808;136.97676045808;782.724345474741
24;578;28;38;37;35.1200937914129;155.951111111111;120.831017319698;344.050952817337
25;579;92;37;36;33.6666666666667;78.0462986939369;44.3796320272702;131.820689189912
26;928;28;44;43;39.125;181.424076471715;142.299076471715;363.703709831859
27;891;76;48;47;43.7450937914129;184.210093791413;140.465;321.098865783146
28;322;92;58;57;48.4583333333333;76.583888888889;28.1255555555557;58.0406993407856
29;771;60;27;26;28.25;187.939444444445;159.689444444445;565.272369714848
30;500;92;26;25;26.9583333333333;47.5048124171744;20.5464790838411;76.2156874825636
31;499;44;49;48;44.4166666666667;135.376111111111;90.9594444444445;204.786741713571
32;711;60;35;34;32.9583333333333;141.134444444445;108.176111111111;328.220817530552
33;480;60;37;36;32.9583333333333;138.565649346969;105.607316013635;320.426748966782
34;690;60;51;50;47.875;115.297683986365;67.422683986365;140.83067151199
35;525;92;51;50;44.25;101.680555555556;57.4305555555556;129.786566227244
36;564;12;54;53;45.1666666666667;269.760743138382;224.594076471715;497.256257870956
37;811;76;42;41;41.875;174.511572875254;132.636572875254;316.744054627472
38;731;28;15;14;17.6666666666667;176.83536797273;159.168701306063;900.954913053188
39;681;12;36;35;33.625;280.87676045808;247.25176045808;735.321220693174
40;613;92;44;43;43.2034271247462;89.5144444444444;46.3110173196982;107.192925195446
41;524;60;46;45;39.6666666666667;55.018795097476;15.3521284308094;38.702844783553
42;901;60;62;61;55.2034271247462;56.7935209161591;1.59009379141289;2.8804258616402
43;901;44;14;13;14.875;248.793051959095;233.918051959095;1572.55833249812
44;869;28;52;51;44.2916666666667;259.200281374239;214.908614707572;485.212300374575
45;694;76;47;46;39.625;269.62212843081;229.99712843081;580.434393516239
46;833;28;20;19;22.3333333333333;183.899350653032;161.566017319698;723.429928297157
