#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;0;1;2;2;0/60,1/60;0/26.58,1/29.02;0/60,1/60;0/60,1/60;0/0,1/0;0/0,1/0;0/0,1/0;0/19,1/12;0/3,1/2;0/5,1/5;0/0,1/0;0/1,1/0;0/0,1/0;0/4,1/4
119.96;0;3;2;2;0/119.96,1/107.91;0/26.62,1/29.11;0/119.96,1/119.96;0/119.96,1/119.96;0/0,1/0;0/1,1/0;0/0,1/2;0/15,1/12;0/3,1/2;0/5,1/5;0/0,1/0;0/2,1/1;0/0,1/2;0/10,1/10
179.96;1;5;2;2;0/179.96,1/130.13;0/26.62,1/29.2;0/179.96,1/179.96;0/179.96,1/179.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/12;0/3,1/2;0/5,1/5;0/0,1/1;0/3,1/2;0/0,1/6;0/16,1/16
239.96;1;6;2;2;0/239.96,1/180.22;0/26.71,1/29.33;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/0;0/0,1/2;0/0,1/0;0/10,1/17;0/3,1/2;0/5,1/5;0/0,1/1;0/3,1/3;0/0,1/6;0/22,1/22
299.96;1;9;2;2;0/299.96,1/240.22;0/27.02,1/29.6;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/0;0/0,1/0;0/3,1/0;0/11,1/15;0/3,1/2;0/5,1/5;0/0,1/1;0/5,1/4;0/0,1/6;0/28,1/28
360;1;11;2;2;0/330,1/300.27;0/27.33,1/30;0/360,1/360;0/360,1/360;0/0,1/0;0/0,1/0;0/0,1/1;0/7,1/18;0/3,1/2;0/5,1/5;0/0,1/1;0/6,1/5;0/3,1/6;0/34,1/34
420;2;14;2;2;0/390,1/350.27;0/27.73,1/30.22;0/420,1/420;0/420,1/420;0/0,1/0;0/0,1/0;0/1,1/0;0/8,1/13;0/3,1/2;0/5,1/5;0/0,1/2;0/7,1/7;0/3,1/7;0/40,1/39
480;4;16;2;2;0/439.38,1/410.27;0/28.13,1/30.62;0/480,1/480;0/480,1/480;0/0,1/0;0/0,1/0;0/2,1/0;0/11,1/13;0/3,1/2;0/5,1/5;0/2,1/2;0/8,1/8;0/5,1/7;0/46,1/45
540;4;18;2;2;0/470,1/470.27;0/28.36,1/30.84;0/540,1/540;0/540,1/540;0/0,1/0;0/4,1/0;0/2,1/1;0/12,1/9;0/3,1/2;0/5,1/5;0/2,1/2;0/9,1/9;0/7,1/7;0/52,1/51
600;6;22;2;2;0/510.09,1/520.31;0/28.53,1/30.98;0/600,1/600;0/600,1/600;0/0,1/0;0/0,1/0;0/0,1/0;0/17,1/11;0/3,1/2;0/5,1/5;0/3,1/3;0/11,1/11;0/9,1/8;0/58,1/57
659.96;6;25;2;2;0/570.04,1/580.27;0/28.62,1/31.16;0/659.96,1/659.96;0/659.96,1/659.96;0/0,1/0;0/0,1/0;0/0,1/0;0/15,1/14;0/3,1/2;0/5,1/5;0/3,1/3;0/12,1/13;0/9,1/8;0/64,1/63
719.96;6;27;2;2;0/630.04,1/640.27;0/28.67,1/31.24;0/719.96,1/719.96;0/719.96,1/719.96;0/0,1/0;0/0,1/0;0/0,1/0;0/12,1/14;0/3,1/2;0/5,1/5;0/3,1/3;0/13,1/14;0/9,1/8;0/70,1/69
779.96;7;30;2;2;0/690.04,1/690.31;0/28.8,1/31.29;0/779.96,1/779.96;0/779.96,1/779.96;0/0,1/0;0/0,1/0;0/1,1/0;0/14,1/13;0/3,1/2;0/5,1/5;0/3,1/4;0/13,1/17;0/9,1/9;0/76,1/75
839.96;8;32;2;2;0/740.09,1/750.31;0/28.89,1/31.38;0/839.96,1/839.96;0/839.96,1/839.96;0/0,1/0;0/0,1/0;0/0,1/0;0/14,1/13;0/3,1/2;0/5,1/5;0/4,1/4;0/14,1/18;0/10,1/9;0/82,1/81
899.96;8;34;2;2;0/800.09,1/810.31;0/29.02,1/31.56;0/899.96,1/899.96;0/899.96,1/899.96;0/0,1/0;0/2,1/0;0/0,1/0;0/16,1/15;0/3,1/2;0/5,1/5;0/4,1/4;0/15,1/19;0/10,1/9;0/88,1/87
959.96;8;35;2;2;0/860.09,1/870.31;0/29.07,1/31.64;0/959.96,1/959.96;0/959.96,1/959.96;0/0,1/0;0/0,1/0;0/0,1/1;0/12,1/13;0/3,1/2;0/5,1/5;0/4,1/4;0/16,1/19;0/10,1/9;0/94,1/93
