decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax
0,0.0444444444444444,1,92,2,99,0,10,10,24,0.5,0.01,93,26,57,12,10,39,-1217.39,9.1637859,15
1,89.0222222222259,1,87,1,91,3,4,10,21.6666666666667,0,0.01,4,2,1,1,0,4,-41.7066666666667,0.1075189,14
2,99.0666666666719,1,87,1,91,3,4,10,21.5384615384615,0.0149253731343284,0.01,22,1,19,1,0,2,-40.479242250287,0.1650553,14
3,116.577777777786,1,88,1,91,3,4,10,20.7142857142857,0.0294117647058824,0.01,25,2,16,1,1,2,-44.6376470588235,0.1565106,14
4,139.111111111123,1,89,1,90,2,3,10,20.6666666666667,0.0571428571428571,0.01,21,2,15,1,1,3,-55.0871428571429,0.2300316,14
5,169.155555555572,1,90,1,91,3,3,10,20.625,0.0540540540540541,0.01,26,2,19,1,1,3,-58.6955405405405,0.2916163,15
6,186.622222222241,1,91,1,91,3,3,10,20.5882352941176,0.0641025641025641,0.01,31,3,19,1,2,4,-66.3326093514329,0.1559521,14
7,189.200000000019,1,90,1,89,4,1,10,21.1111111111111,0.0759493670886076,0.01,23,1,18,1,0,3,-75.1073558368495,0.5466852,14
8,219.244444444468,1,92,1,90,3,1,10,20.5263157894737,0.0886075949367089,0.01,26,2,21,1,1,4,-74.2078880746169,0.5560901,14
9,226.666666666692,1,91,1,90,5,1,10,20.5,0.10126582278481,0.01,36,2,26,1,1,3,-106.859113924051,0.2240708,14
10,229.288888888914,1,90,1,89,4,1,10,20.4761904761905,0.123456790123457,0.01,31,2,26,1,1,4,-113.516778365667,0.643683,14
11,246.711111111139,1,91,1,88,4,0,10,20.4545454545455,0.132530120481928,0.01,23,2,17,1,0,2,-111.679364731654,0.0050004,14
12,249.333333333362,1,90,1,88,5,0,10,20.4347826086957,0.156626506024096,0.01,29,2,25,1,0,4,-159.579025667889,0.0250008,14
13,256.755555555585,1,90,1,89,4,1,10,20.4166666666667,0.154761904761905,0.01,26,2,18,1,1,3,-124.304801587302,0.4741617,14
14,266.844444444469,1,90,1,88,5,0,12.0973849400871,24.6786652777777,0.174418604651163,0.0120973849400871,24,2,17,1,0,2,-164.188521752197,0.0079997,14
15,307.066666666672,1,92,1,89,4,2,12.9910353336827,26.481725872507,0.197674418604651,0.0129910353336827,37,2,31,1,2,2,-246.412409058444,0.2341528,14
16,309.644444444448,1,91,1,88,3,1,12.6531010855672,25.7748355446739,0.211111111111111,0.0126531010855672,27,2,25,1,1,2,-203.479099740376,0.2516889,14
17,329.777777777772,1,92,1,89,4,2,13.3157894736842,27.1071428571429,0.233333333333333,0.0133157894736842,41,3,34,1,2,5,-342.912756892231,0.5186048,14
18,359.955555555535,1,93,1,86,6,0,14.3509710648146,29.6916642720303,0.22680412371134,0.0143509710648146,39,2,34,1,0,2,-401.080439356707,0.0189807,14
19,367.377777777754,1,91,1,87,4,0,14.268447557896,29.4881249529851,0.247422680412371,0.014268447557896,22,1,18,1,0,3,-241.968991771055,0.0119974,14
