decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax
20,377.466666666638,1,91,1,87,4,0,14.5012043405925,29.4701894663655,0.257731958762887,0.0145012043405925,21,1,18,1,0,2,-247.870836354831,0.0079998,14
21,407.644444444401,1,92,1,89,3,1,15.1487832151813,30.2975664303626,0.26530612244898,0.0151487832151813,31,2,26,1,1,2,-349.13156026371,0.21103,14
22,420.266666666617,1,93,1,89,4,2,15.2332500935277,30.4665001870553,0.26530612244898,0.0152332500935277,44,2,37,1,2,2,-477.691590555016,0.5205881,14
23,427.777777777725,1,91,1,89,3,2,14.9705882352941,29.9411764705882,0.259615384615385,0.0149705882352941,40,2,34,1,2,2,-409.118176470588,0.2385938,14
24,437.866666666609,1,91,1,88,4,1,14.8033228064374,29.6066456128747,0.259615384615385,0.0148033228064374,39,2,34,1,1,4,-411.119049946805,0.4736541,14
25,440.399999999941,1,92,1,87,5,0,14.5029513888888,29.0059027777776,0.261682242990654,0.0145029513888888,36,1,30,1,0,2,-396.488191066326,0.0200195,14
26,457.999999999932,1,90,1,89,4,1,15.2898401826482,30.166441441441,0.271028037383178,0.0152898401826482,44,2,38,1,1,3,-496.349159636926,0.4465735,14
27,460.533333333264,1,91,1,89,5,1,15.0224310185185,29.6495349049706,0.284403669724771,0.0150224310185185,43,2,35,1,1,2,-484.597098816669,0.5725968,13
28,488.177777777695,1,91,1,89,4,1,15.6771216630591,30.9522658475783,0.276785714285714,0.0156771216630591,40,1,37,1,1,2,-505.306891544462,0.2255446,13
29,490.711111111027,1,92,1,89,5,1,15.5376602564102,31.0753205128204,0.280701754385965,0.0155376602564102,44,2,39,1,1,2,-546.832638523389,0.2789967,13
30,538.311111111038,1,95,1,90,3,3,16.2674097704476,32.5348195408953,0.295652173913043,0.0162674097704476,55,3,45,1,3,5,-684.747694660488,0.4601063,14
31,548.355555555491,1,95,1,88,4,1,16.308728664659,33.0152311991878,0.291666666666667,0.016308728664659,43,2,36,1,1,3,-570.737313487756,0.206027,13
32,550.844444444381,1,96,1,88,4,1,16.0342769153958,32.4503223287773,0.305785123966942,0.0160342769153958,37,1,30,1,1,2,-495.788177798709,0.1729593,13
33,558.399999999943,1,94,1,89,4,2,16.0726103678596,32.1452207357192,0.308943089430894,0.0160726103678596,50,2,43,1,2,3,-686.787550401598,0.198807,13
34,578.444444444403,1,95,1,90,3,3,16.6742967434767,33.3485934869534,0.32,0.0166742967434767,48,1,41,1,3,3,-665.716332775554,0.5005732,14
35,580.88888888885,1,95,1,89,2,2,16.6942459945905,33.0175087448568,0.322834645669291,0.0166942459945905,35,2,29,1,2,2,-497.749742531354,0.1315506,13
36,590.933333333302,1,96,1,91,3,3,16.8025390889975,33.2398055891037,0.3359375,0.0168025390889975,50,3,39,1,3,4,-686.337866070729,1.0537726,13
37,598.488888888864,1,94,1,88,4,0,16.5101012115839,33.7380329106281,0.348837209302326,0.0165101012115839,32,1,28,1,0,2,-546.585814608144,0.0130095,13
38,610.977777777763,1,95,1,88,5,0,16.8830325292398,34.1252785165486,0.356589147286822,0.0168830325292398,43,1,37,1,0,2,-741.968279203062,0.0190043,13
39,618.533333333324,1,94,1,89,4,0,17.0111786697792,34.0223573395584,0.358778625954198,0.0170111786697792,30,1,26,1,0,2,-533.224095778052,0.0119819,13
40,621.022222222215,1,94,1,90,5,1,16.8882208142421,33.4317840608467,0.366412213740458,0.0168882208142421,50,2,43,1,1,2,-829.760608410966,0.1961592,13
41,631.066666666668,1,94,1,90,6,1,16.9178872053873,33.4974166666668,0.368421052631579,0.0169178872053873,55,2,48,1,1,4,-944.779085601634,0.4010612,13
42,651.111111111128,1,95,1,89,7,0,17.0865481374527,33.838065919269,0.367647058823529,0.0170865481374527,54,1,47,1,0,1,-956.139525447272,0.029001,13
43,658.577777777801,1,95,1,89,3,0,17.0928226632309,34.1856453264617,0.372262773722628,0.0170928226632309,22,1,19,1,0,2,-414.004883430728,0.0090015,13
44,671.155555555588,1,95,1,90,6,1,17.219585281074,34.7768094892278,0.376811594202899,0.017219585281074,55,2,50,1,1,4,-1027.28839182143,0.3406458,13
45,688.622222222269,1,95,1,89,2,0,17.1602828850676,34.6505712102327,0.375886524822695,0.0171602828850677,19,2,15,1,0,3,-361.023601640645,0.008972,13
46,691.200000000049,1,95,1,89,7,0,16.8636341510904,34.0454500786164,0.375886524822695,0.0168636341510904,54,1,50,1,0,2,-1013.96396174326,0.02503,13
47,728.666666666745,1,97,1,90,2,2,17.2439191458048,34.4878382916097,0.380281690140845,0.0172439191458048,32,3,26,1,2,3,-554.31759275017,0.3765809,13
48,748.711111111206,1,97,1,90,3,2,17.2967387526416,34.9079636644221,0.391608391608392,0.0172967387526416,39,2,34,1,2,3,-716.292908639987,0.1630777,13
49,751.244444444541,1,97,1,88,4,1,17.0935117925818,34.492264867174,0.395833333333333,0.0170935117925818,39,2,36,1,1,5,-777.97506698746,0.2010245,13
50,768.755555555666,1,97,1,88,4,1,17.3395915526034,34.9833864657788,0.4,0.0173395915526034,38,1,33,1,1,2,-711.770958941987,0.1515212,13
51,781.288888889009,1,97,1,88,4,1,17.6357115062262,35.2714230124523,0.406896551724138,0.0176357115062262,39,1,38,1,1,2,-827.644348239225,0.3511124,13
52,791.333333333462,1,97,1,90,4,2,17.6529281747916,35.6102171801831,0.413793103448276,0.0176529281747916,48,2,43,1,2,4,-966.882058045819,0.3666988,13
53,808.800000000142,1,98,1,90,3,1,17.6971413333853,35.6942342147941,0.414965986394558,0.0176971413333853,33,1,28,1,1,2,-661.346658501145,0.4736346,12
54,838.844444444611,1,99,1,90,4,1,18.2091640946503,36.4183281893007,0.418918918918919,0.0182091640946503,39,2,34,1,1,4,-831.610316740636,0.2934588,13
55,841.377777777946,1,99,1,90,4,1,17.9787557870371,35.9575115740743,0.413333333333333,0.0179787557870371,40,1,36,1,1,2,-838.975102264666,0.1680692,13
56,851.422222222398,1,98,1,91,4,2,17.9430894308943,35.5967741935484,0.417218543046358,0.0179430894308943,46,1,42,1,2,2,-944.371288071655,0.2300881,13
57,858.888888889071,1,98,1,91,4,2,17.8462365591398,35.125925925926,0.423841059602649,0.0178462365591398,44,2,38,1,2,3,-894.407543472829,0.2495877,12
58,861.466666666851,1,97,1,90,4,1,17.5871152998236,34.6246332465278,0.42483660130719,0.0175871152998236,39,1,34,1,1,2,-796.593413655164,0.1280829,12
59,878.933333333531,1,98,1,90,4,1,17.6607887382134,35.0456276523922,0.431372549019608,0.0176607887382134,35,1,29,1,1,3,-716.080508757942,0.2070635,12
60,881.511111111311,1,97,1,90,3,1,17.6101342773439,34.6784182692311,0.431372549019608,0.0176101342773439,30,1,26,1,1,2,-629.606041776356,0.1320727,12
61,898.977777777992,1,97,1,92,4,3,17.74838501292,34.6900252525255,0.437908496732026,0.01774838501292,49,1,43,1,3,2,-975.562385873101,0.2160256,12
62,901.555555555772,1,96,1,91,3,2,17.6688988010447,34.2829379721763,0.438709677419355,0.0176688988010447,37,1,32,1,2,2,-760.289739153437,0.1980838,12
63,929.02222222246,1,97,1,91,4,3,18.0163113749882,34.7078939724038,0.445161290322581,0.0180163113749882,50,1,44,1,3,2,-1019.12456167954,0.199121,12
64,951.600000000256,1,98,1,90,3,2,18.1131266951927,34.6511988951512,0.451612903225806,0.0181131266951927,38,2,32,1,2,2,-792.514845470306,0.1185971,12
65,969.066666666936,1,99,1,89,4,1,18.2506045870188,34.9368716380074,0.451612903225806,0.0182506045870188,38,1,32,1,1,2,-816.301895723584,0.2456266,12
66,971.644444444716,1,98,1,89,3,1,18.1703265889346,34.549212528256,0.452229299363057,0.0181703265889346,33,1,28,1,1,2,-708.557296501109,0.2021036,12
67,989.111111111397,1,98,1,91,4,3,18.3483131921751,34.6579249185529,0.45859872611465,0.0183483131921751,51,2,41,1,3,4,-1030.50229301061,0.3381786,12
68,991.688888889177,1,98,1,90,3,2,18.1423201545447,34.2964408400982,0.450617283950617,0.0181423201545447,39,1,34,1,2,2,-815.135058551641,0.2591233,12
69,1019.15555555587,1,99,1,92,4,3,18.6710112188028,35.0712237758593,0.45679012345679,0.0186710112188028,50,2,44,1,3,3,-1098.71657964201,0.6242664,12
70,1031.73333333365,1,99,1,90,3,1,18.7515889862972,35.2529872942387,0.466257668711656,0.0187515889862972,37,2,29,1,1,2,-802.036513019595,0.5205968,12
71,1049.20000000033,1,100,1,89,6,0,18.761129618838,35.3005465196557,0.460606060606061,0.018761129618838,44,1,37,1,0,2,-1011.03051277434,0.0159783,12
72,1051.77777777811,1,99,1,89,4,0,18.6476086944873,34.8734500260542,0.461077844311377,0.0186476086944873,37,1,28,1,0,2,-797.229455167186,0.0210005,12
73,1071.82222222257,1,100,1,90,4,1,18.857959770115,35.0564636752138,0.467065868263473,0.018857959770115,44,1,34,1,1,2,-947.023603849696,0.2746711,12
74,1079.2444444448,1,99,1,90,5,1,18.7966030356841,35.1833851693574,0.470238095238095,0.0187966030356841,48,1,40,1,1,2,-1090.68303842472,0.2815474,12
75,1091.86666666703,1,99,1,90,3,2,18.7325538548753,34.8567774261604,0.476190476190476,0.0187325538548753,43,1,33,1,2,2,-924.428767599172,0.4007863,12
76,1099.28888888926,1,99,1,89,4,1,18.7790364583334,34.7412174479168,0.482142857142857,0.0187790364583334,37,2,32,1,1,2,-877.490213741634,0.2420987,12
77,1111.91111111149,1,99,1,89,3,1,18.7566495370371,34.7345361796984,0.488095238095238,0.0187566495370371,33,1,26,1,1,2,-759.333743977519,0.2575644,12
78,1119.33333333372,1,99,1,89,5,1,18.7548090607524,34.5362947338246,0.485207100591716,0.0187548090607524,43,1,37,1,1,2,-1016.78840311377,0.2896396,12
79,1131.95555555596,1,99,1,88,3,0,18.7367153234649,34.3130208333334,0.49112426035503,0.0187367153234649,22,1,17,1,0,2,-515.961685773635,0.0089704,12
80,1139.37777777818,1,98,1,87,5,0,18.7830670539822,34.2120149911819,0.497041420118343,0.0187830670539822,36,1,30,1,0,2,-872.930196446886,0.0189728,12
81,1162.00000000042,1,99,1,88,2,2,19.2681644320188,34.9093802650693,0.502958579881657,0.0192681644320188,34,1,27,1,2,1,-800.510017699484,0.1165315,13
82,1169.42222222265,1,99,1,89,4,3,19.4596778176026,35.4852948438636,0.50887573964497,0.0194596778176026,53,2,43,1,3,3,-1271.91292231749,0.2676246,12
83,1172.04444444488,1,98,1,89,2,3,19.2761307206889,35.1901456180018,0.488636363636364,0.0192761307206889,41,2,33,1,3,3,-923.387867144334,0.2090051,12
84,1192.08888888934,1,98,1,88,3,2,19.4794635753743,35.600398948098,0.494318181818182,0.0194794635753744,38,1,33,1,2,3,-938.546845917805,0.1045189,12
85,1199.46666666712,1,98,1,89,4,2,19.5319725885655,35.5126774337554,0.494318181818182,0.0195319725885655,46,1,39,1,2,1,-1102.61295631439,0.162553,12
86,1212.1333333338,1,98,1,89,3,3,19.7127317450733,36.0653387608728,0.497175141242938,0.0197127317450733,47,1,41,1,3,2,-1165.88038038937,0.1354886,12
87,1219.51111111158,1,97,1,89,4,3,19.7196393699513,35.894175032945,0.502824858757062,0.0197196393699513,52,2,44,1,3,5,-1268.29308613559,0.2755955,12
88,1232.17777777826,1,97,1,88,3,2,19.7547762110434,35.9975922067902,0.502793296089385,0.0197547762110434,36,1,32,1,2,2,-922.511583678252,0.1304828,12
89,1239.55555555604,1,98,1,89,4,3,19.7139398381968,35.7450557505766,0.508379888268156,0.0197139398381968,52,2,43,1,3,2,-1273.54772276195,0.258054,12
90,1259.6000000005,1,99,1,90,4,2,19.9579445738154,36.228008085078,0.516666666666667,0.0199579445738154,47,2,39,1,2,2,-1213.4825832001,0.1695474,12
91,1262.22222222273,1,98,1,90,3,2,19.797726253744,35.9765132998144,0.524861878453039,0.019797726253744,35,1,31,1,2,1,-935.571488683481,0.1310239,12
92,1279.64444444496,1,99,1,91,4,3,19.9177418073712,36.0214479495011,0.530386740331492,0.0199177418073712,54,2,45,1,3,4,-1387.9032502723,0.393106,12
93,1282.26666666719,1,97,1,87,2,0,19.7267197593669,35.715745248538,0.52972972972973,0.0197267197593669,9,1,9,1,0,1,-290.418367761164,0.0019977,12
94,1299.68888888942,1,98,1,88,7,1,20.0167119200036,36.0717829391731,0.535135135135135,0.0200167119200036,60,2,48,1,1,4,-1566.71481881947,0.23403,12
95,1302.31111111165,1,97,1,87,2,0,19.8546837742505,35.8203057782871,0.531914893617021,0.0198546837742505,8,1,8,1,0,1,-262.99533725108,0.0019998,12
96,1312.3555555561,1,96,1,87,2,0,20.0426018869249,35.9948768581509,0.537234042553192,0.0200426018869249,7,1,7,1,0,1,-236.688968791196,0.003,12
97,1332.40000000056,1,97,1,87,2,0,20.1368278754272,36.0022074136426,0.542553191489362,0.0201368278754272,6,1,6,1,0,1,-208.451235933039,0.0019999,12
98,1342.44444444501,1,97,1,86,2,1,20.1786866893814,35.9180623070989,0.547872340425532,0.0201786866893814,16,1,16,1,1,1,-505.124785127649,0.2300312,12
99,1352.48888888946,1,97,1,85,2,1,20.1892575781089,35.7809614503118,0.553191489361702,0.0201892575781089,15,1,15,1,1,1,-477.461891825256,0.2350874,12
100,1359.73333333391,1,98,1,86,7,1,20.2328629543897,35.7050522724524,0.558510638297872,0.0202328629543897,59,2,46,1,1,5,-1599.76160616281,0.4110545,13
101,1362.53333333392,1,96,1,86,1,1,20.0460329755122,35.4211456460506,0.545918367346939,0.0200460329755122,13,1,13,1,1,1,-406.853843787633,0.1810367,12
102,1392.57777777838,1,96,1,87,2,2,20.5040526335763,36.0792464610044,0.551020408163265,0.0205040526335763,33,2,29,1,2,3,-933.042789984481,0.3205519,12
103,1402.62222222284,1,96,1,89,3,1,20.3781867075409,35.9044241990007,0.545454545454545,0.0203781867075409,33,1,29,1,1,3,-935.394210310298,0.1761204,13
104,1409.7777777784,1,97,1,89,6,1,20.3735215053764,35.7497641509435,0.547738693467337,0.0203735215053764,53,1,41,1,1,2,-1402.71223164701,0.251541,13
105,1412.66666666729,1,95,1,89,3,1,20.3055307775468,35.8220212773703,0.54726368159204,0.0203055307775468,34,1,29,1,1,2,-946.794542503513,0.1596384,13
106,1422.71111111174,1,96,1,89,3,1,20.2712699468086,35.6168107476637,0.54950495049505,0.0202712699468086,34,1,28,1,1,1,-926.934310508517,0.1890964,13
107,1429.82222222286,1,97,1,89,5,1,20.3057450070221,35.8671570684783,0.54950495049505,0.0203057450070221,48,2,37,1,1,4,-1274.36330398084,0.3095435,13
108,1432.75555555619,1,95,1,88,2,0,20.1755281454012,35.6807951460335,0.553921568627451,0.0201755281454012,20,1,15,1,0,1,-544.915110825469,0.0149995,13
109,1439.86666666731,1,97,1,91,5,2,20.2101935442387,35.5996069770077,0.558823529411765,0.0202101935442387,56,2,40,1,2,3,-1413.81495836234,0.45866,13
110,1442.80000000065,1,96,1,88,2,0,20.0996827493576,35.4485313943216,0.558823529411765,0.0200996827493576,19,1,14,1,0,1,-515.270630140479,0.0160005,13
111,1462.84444444511,1,96,1,89,2,1,20.3896130500159,35.8195904932711,0.563725490196078,0.0203896130500159,29,1,23,1,1,1,-794.298798886862,0.1454826,13
112,1472.88888888956,1,96,1,89,2,1,20.4345977615584,35.7605460827272,0.568627450980392,0.0204345977615584,28,1,22,1,1,1,-768.96974729854,0.1390938,13
113,1479.91111111179,1,96,1,89,6,1,20.5265634204425,35.7852477329838,0.570731707317073,0.0205265634204425,55,2,38,1,1,2,-1419.46263358486,0.3515845,13
114,1482.93333333401,1,94,1,88,1,0,20.4118830068554,35.6312694593352,0.559241706161137,0.0204118830068554,10,1,7,1,0,1,-278.35910240839,0.0070307,13
115,1499.95555555625,1,96,1,91,6,3,20.7810871913581,36.141021202362,0.563981042654028,0.0207810871913581,62,2,48,1,3,4,-1644.98867529684,0.4855692,13
116,1512.97777777848,1,95,1,90,1,2,20.8940509640814,36.3844680581417,0.558139534883721,0.0208940509640814,29,1,22,1,2,2,-764.310403616387,0.2170816,13
117,1520.00000000071,1,94,1,88,6,1,20.8995105096581,36.2615438757316,0.552995391705069,0.0208995105096581,51,2,38,1,1,3,-1363.37384685993,0.1785538,13
118,1543.02222222295,1,95,1,88,2,1,21.328333201596,37.0534602231117,0.56221198156682,0.021328333201596,28,1,22,1,1,1,-791.631207737952,0.1420336,13
119,1553.0666666674,1,95,1,88,2,1,21.3484005048097,36.9560546553849,0.564220183486238,0.0213484005048097,27,1,21,1,1,2,-760.549350431977,0.2260278,13
120,1560.04444444518,1,95,1,87,7,0,21.3386667076699,36.8092000707305,0.568807339449541,0.0213386667076699,50,1,38,1,0,2,-1427.61416264536,0.0219992,13
121,1563.11111111185,1,93,1,87,3,0,21.2473159833512,36.5243117730334,0.570776255707763,0.0212473159833512,26,1,20,1,0,1,-757.076449998974,0.0140045,13
122,1573.15555555631,1,93,1,87,3,0,21.2899765380413,36.4721729217265,0.575342465753425,0.0212899765380413,25,1,19,1,0,1,-729.471919972894,0.0099676,13
123,1583.20000000076,1,93,1,88,3,0,21.3278946009639,36.4134785870115,0.579908675799087,0.0213278946009639,24,1,18,1,0,1,-701.212383268756,0.0100035,13
124,1593.24444444521,1,93,1,88,2,0,21.4384237573896,36.4798984903968,0.584474885844749,0.0214384237573896,16,1,12,1,0,1,-480.430494409748,0.0029987,13
125,1600.08888888966,1,92,1,90,6,2,21.4126306632891,36.3158216049383,0.586363636363636,0.0214126306632891,58,3,42,1,2,5,-1620.28348140519,0.153555,13
126,1613.28888888967,1,93,1,89,2,1,21.2587721971003,36.5650881790125,0.594594594594595,0.0212587721971003,26,1,21,1,1,2,-784.703229465659,0.2460329,13
127,1623.33333333412,1,92,1,89,3,1,21.2566169242774,36.4399147273326,0.596412556053812,0.0212566169242774,35,1,26,1,1,2,-1003.11186192565,0.5336454,13
128,1633.37777777858,1,91,1,88,3,0,21.3426835386481,36.4674199046192,0.592920353982301,0.0213426835386481,28,1,21,1,0,2,-831.970109107726,0.0090001,13
129,1640.13333333414,1,93,1,89,5,1,21.415688091092,36.473593780141,0.597345132743363,0.021415688091092,44,1,36,1,1,3,-1355.58981203265,0.302635,13
130,1653.42222222304,1,92,1,90,3,2,21.606246547156,36.6803720451719,0.596491228070175,0.021606246547156,46,2,36,1,2,3,-1350.81009735807,0.371071,13
131,1660.1777777786,1,93,1,89,5,1,21.5550670353613,36.6436139601141,0.6,0.0215550670353613,43,1,35,1,1,2,-1325.95920520698,0.3085477,13
132,1663.46666666749,1,91,1,89,4,1,21.5045045045045,36.4427480916031,0.604347826086956,0.0215045045045045,44,1,35,1,1,3,-1334.66763960675,0.4220858,13
133,1673.51111111194,1,91,1,89,4,1,21.4917810233627,36.3080846076506,0.608695652173913,0.0214917810233627,43,1,34,1,1,2,-1305.60382008314,0.5437024,13
134,1703.55555555641,1,93,1,91,3,1,21.6116334428737,36.3985405353662,0.61304347826087,0.0216116334428737,36,1,28,1,1,2,-1103.23885315261,0.2160438,13
135,1720.22222222309,1,95,1,91,4,1,21.683123851166,36.4082303471072,0.614718614718615,0.021683123851166,40,1,31,1,1,2,-1229.39100255175,0.1940964,13
136,1723.60000000087,1,93,1,91,3,1,21.6502821308588,36.2441760116599,0.613733905579399,0.0216502821308588,35,1,28,1,1,2,-1089.30872566495,0.1095122,13
137,1730.26666666754,1,94,1,92,4,3,21.6005020190896,36.0537791053922,0.618025751072961,0.0216005020190896,55,2,40,1,3,2,-1588.83470030887,0.3452045,13
138,1743.64444444533,1,93,1,91,3,2,21.5895998605046,36.0877253142742,0.611814345991561,0.0215895998605046,46,1,34,1,2,2,-1339.72432175254,0.128517,13
139,1763.68888888979,1,94,1,91,4,2,21.785203049517,36.3086717491949,0.616033755274262,0.021785203049517,51,2,39,1,2,3,-1534.50499666741,0.1520865,13
140,1770.31111111202,1,92,1,89,4,0,21.6785704189283,36.4451328781983,0.621848739495798,0.0216785704189283,31,2,24,1,0,2,-992.045868484739,0.0110041,12
141,1793.73333333426,1,94,1,88,5,1,21.8168811497574,36.7276992017498,0.627615062761506,0.0218168811497574,49,2,39,1,1,2,-1585.89002227513,0.2580078,12
142,1810.35555555649,1,93,1,88,3,0,21.9509339198839,37.0030028935186,0.633333333333333,0.0219509339198839,23,2,20,1,0,2,-818.16566188759,0.0149958,12
143,1813.77777777872,1,93,1,89,5,1,21.851797644984,36.8845946064269,0.633333333333333,0.021851797644984,48,1,39,1,1,2,-1566.9245159404,0.1859978,12
144,1820.40000000095,1,92,1,90,3,2,21.8345907426778,36.7497689260564,0.634854771784232,0.0218345907426778,37,2,33,1,2,2,-1262.20993116556,0.3475847,12
145,1833.82222222318,1,93,1,88,5,0,21.8269170679764,36.7852238698064,0.636363636363636,0.0218269170679764,40,1,33,1,0,3,-1349.46294045209,0.0119799,13
146,1840.44444444541,1,91,1,88,4,1,21.8738430708601,36.7602084940844,0.640495867768595,0.0218738430708601,35,1,31,1,1,3,-1227.38612962691,0.1330418,12
147,1853.86666666764,1,92,1,89,5,1,21.9695347717899,37.0735899273955,0.644628099173554,0.0219695347717899,48,1,37,1,1,2,-1558.06189839277,0.2741635,12
148,1870.48888888988,1,92,1,89,4,2,22.0902626144758,37.1725798478076,0.646090534979424,0.0220902626144758,41,2,34,1,2,4,-1383.61765616807,0.4875816,13
149,1883.91111111211,1,93,1,88,3,1,22.0906295637609,37.2211977581178,0.651639344262295,0.0220906295637609,31,1,23,1,1,1,-993.793150644211,0.3760869,13
150,1900.53333333434,1,91,1,89,4,3,22.246207577348,37.3796821197616,0.653061224489796,0.022246207577348,47,2,38,1,3,3,-1555.92011224778,0.6866504,13
151,1910.5777777788,1,93,1,87,6,1,22.208097327582,37.3636232065399,0.650602409638554,0.022208097327582,46,2,37,1,1,2,-1564.68354446417,0.6421243,13
152,1913.95555555658,1,94,1,86,3,0,22.0684464610693,37.4268923089757,0.653386454183267,0.0220684464610693,17,1,12,1,0,3,-559.265596855396,0.0069993,13
153,1920.62222222325,1,92,1,86,7,0,22.0730273858515,37.3315630955341,0.657370517928287,0.0220730273858515,43,1,35,1,0,2,-1503.25809410547,0.0385212,13
154,1924.00000000103,1,93,1,86,3,0,22.0664973253063,37.2188254886832,0.661354581673307,0.0220664973253063,17,1,12,1,0,1,-563.571103408323,0.006011,13
155,1950.66666666772,1,93,1,86,7,0,22.3231273543065,37.5501612449923,0.662698412698413,0.0223231273543065,44,1,36,1,0,2,-1566.99360948994,0.0210004,12
156,1954.0444444455,1,93,1,86,3,0,22.2703431372549,37.3614309210527,0.661417322834646,0.0222703431372549,17,1,12,1,0,1,-567.160369972494,0.004978,12
157,1964.08888888995,1,94,1,87,3,0,22.241432156033,37.2144224310095,0.665354330708661,0.022241432156033,16,1,11,1,0,1,-529.062365404827,0.005967,13
158,1974.1333333344,1,94,1,88,3,0,22.2419510496229,37.1180611672279,0.669291338582677,0.0222419510496229,15,1,10,1,0,1,-491.376258435464,0.0050292,13
159,1984.17777777886,1,94,1,88,2,1,22.3811048904202,37.2537100756672,0.673228346456693,0.0223811048904202,21,1,18,1,1,1,-767.37339258752,0.2785426,13
160,1990.71111111219,1,92,1,88,4,1,22.4014108006817,37.1920858806189,0.671875,0.0224014108006817,35,1,29,1,1,2,-1240.04664311012,0.2760301,13
161,1994.22222222331,1,93,1,89,3,2,22.3718126780628,37.0488617598491,0.673151750972763,0.0223718126780628,41,2,34,1,2,3,-1424.18867619552,0.2915912,13
162,2010.75555555665,1,91,1,88,4,2,22.5297814031431,37.3595109343259,0.675675675675676,0.0225297814031431,41,2,33,1,2,3,-1428.95005809902,0.4264052,13
163,2024.26666666778,1,92,1,86,4,1,22.5716056251169,37.4773829247225,0.674329501915709,0.0225716056251169,40,2,33,1,1,3,-1441.78225172294,0.2350292,13
164,2054.35555555666,1,92,1,88,4,1,23.0196906222595,38.2702356595064,0.679389312977099,0.0230196906222595,43,1,37,1,1,3,-1635.22492885794,0.4536659,13
165,2060.88888888996,1,94,1,89,3,2,23.0371553304391,38.204474988989,0.683206106870229,0.0230371553304391,34,1,29,1,2,2,-1259.52169387328,0.3880378,13
166,2064.4444444455,1,95,1,90,5,2,23.0072938404043,38.0614490693108,0.674157303370786,0.0230072938404043,55,2,45,1,2,3,-1982.21719296272,0.3216681,13
167,2074.53333333435,1,95,1,89,5,1,23.0020952646316,38.101630192948,0.66789667896679,0.0230020952646316,48,2,39,1,1,5,-1741.94207710414,0.2140098,13
168,2081.02222222321,1,94,1,89,3,1,22.8951698665575,37.9724768518515,0.664233576642336,0.0228951698665575,24,1,21,1,1,2,-888.143352394454,0.2346711,13
