decision,time,solved,pendingOrders,stationsWithCap,podsInModel,Ra,R,Pb,Pa,xps,yos,yaos,yrp,sumUs,dops,objective,solveSec
0,0.0444444444444444,1,86,2,99,10,10,0,99,10,56,12,10,0,10,-2000,4.4807719
1,53.9555555555554,1,78,1,95,0,6,6,89,6,24,1,0,0,0,-960,0.0059754
2,59.1999999999998,1,78,1,91,0,2,2,89,2,13,1,0,0,0,-520,0.0069575
3,69.2444444444451,1,78,1,93,2,4,2,91,4,23,1,2,0,2,-848,0.16708
4,74.0444444444458,1,77,1,93,0,5,5,88,5,20,1,0,0,0,-800,0.0049141
5,79.2888888888911,1,76,1,93,1,5,4,89,5,26,1,1,0,1,-1027,0.0585159
6,99.3333333333386,1,77,1,94,1,6,5,89,6,31,1,1,0,1,-1203,0.0669413
7,114.088888888897,1,76,1,92,0,4,4,88,4,9,1,0,0,0,-360,0.0058745
8,139.377777777789,1,78,1,95,1,7,6,89,7,34,1,1,0,1,-1323,0.0825245
9,154.133333333347,1,78,1,90,0,3,3,87,3,8,1,0,0,0,-320,0.0060009
10,174.177777777795,1,79,1,91,1,3,2,89,3,15,1,1,0,1,-554,0.0763537
11,194.222222222242,1,79,1,92,1,4,3,89,4,23,1,1,0,1,-905,0.0646169
12,199.422222222243,1,79,1,94,0,6,6,88,6,27,1,0,0,0,-1080,0.0089722
13,214.26666666669,1,79,1,93,0,4,4,89,4,23,1,0,0,0,-920,0.0049984
14,229.466666666692,1,79,1,94,0,5,5,89,5,24,1,0,0,0,-960,0.0060035
15,234.311111111138,1,79,1,94,2,5,3,91,5,30,1,2,0,2,-1158,0.1449272
16,244.355555555584,1,79,1,94,0,5,5,89,5,30,1,0,0,0,-1200,0.005007
17,249.51111111114,1,78,1,94,0,5,5,89,5,23,1,0,0,0,-920,0.0050034
18,254.40000000003,1,78,1,94,0,5,5,89,5,28,1,0,0,0,-1120,0.0050032
19,274.533333333354,1,78,1,93,0,4,4,89,4,26,1,0,0,0,-1040,0.0049989
20,279.688888888907,1,78,1,94,1,5,4,90,5,27,1,1,0,1,-1047,0.0599961
21,284.622222222238,1,77,1,92,0,3,3,89,3,18,1,0,0,0,-720,0.0060005
22,299.822222222231,1,78,1,94,2,6,4,90,5,31,1,1,0,2,-1190,0.1440318
23,304.755555555562,1,77,1,91,1,4,3,88,4,23,1,1,0,1,-898,0.0555187
24,324.888888888885,1,78,1,91,1,4,3,88,4,22,1,1,0,1,-843,0.0487828
25,329.999999999994,1,77,1,93,1,6,5,88,6,29,1,1,0,1,-1142,0.0639271
26,355.066666666649,1,77,1,90,0,4,4,86,4,21,1,0,0,0,-840,0.0060022
27,370.222222222197,1,78,1,93,1,6,5,88,6,32,1,1,0,1,-1231,0.0615468
28,375.199999999972,1,77,1,90,0,3,3,87,3,17,1,0,0,0,-680,0.0048399
29,390.35555555552,1,76,1,94,2,7,5,89,7,36,1,2,0,2,-1396,0.1119493
30,395.333333333296,1,76,1,91,1,4,3,88,4,20,1,1,0,1,-754,0.0592088
31,400.444444444404,1,75,1,93,0,5,5,88,5,25,1,0,0,0,-1000,0.0063473
32,405.42222222218,1,75,1,92,0,4,4,88,4,19,1,0,0,0,-760,0.0069782
33,410.533333333288,1,74,1,93,1,5,4,89,5,26,1,1,0,1,-1018,0.0581432
34,420.844444444395,1,70,1,92,0,4,4,88,4,23,1,0,0,0,-920,0.0049663
35,425.555555555503,1,73,1,92,1,4,3,89,4,21,1,1,0,1,-811,0.0555921
36,430.933333333279,1,73,1,93,1,5,4,89,5,26,1,1,0,1,-1014,0.0615529
37,445.688888888827,1,73,1,92,1,4,3,89,4,19,1,1,0,1,-713,0.0504827
38,455.777777777711,1,73,1,92,0,4,4,88,4,19,1,0,0,0,-760,0.0049584
39,461.111111111042,1,73,1,92,1,4,3,89,4,20,1,1,0,1,-763,0.048995
40,475.911111111035,1,73,1,93,2,5,3,90,5,24,1,2,0,2,-908,0.0578453
41,491.288888888805,1,73,1,94,2,6,4,90,6,29,1,2,0,2,-1107,0.0702152
42,496.044444444358,1,72,1,92,0,4,4,88,4,17,1,0,0,0,-680,0.0056078
43,506.133333333242,1,71,1,92,0,4,4,88,4,16,1,0,0,0,-640,0.0050448
44,516.177777777687,1,71,1,91,0,4,4,87,4,15,1,0,0,0,-600,0.0059907
45,521.422222222136,1,71,1,92,0,5,5,87,5,17,1,0,0,0,-680,0.0069682
46,526.22222222214,1,70,1,90,0,3,3,87,3,13,1,0,0,0,-520,0.0074857
47,531.466666666588,1,70,1,94,2,7,5,89,7,29,1,2,0,2,-1123,0.0592061
48,546.2666666666,1,69,1,88,0,2,2,86,2,9,1,0,0,0,-360,0.0049989
49,551.511111111049,1,68,1,94,1,8,7,87,8,32,1,1,0,1,-1255,0.054282
50,566.31111111106,1,68,1,88,0,1,1,87,1,4,1,0,0,0,-160,0.0043663
51,571.555555555509,1,67,1,95,1,9,8,87,9,33,1,1,0,1,-1305,0.0665751
52,586.355555555521,1,67,1,87,0,1,1,86,1,3,1,0,0,0,-120,0.0060002
53,596.399999999973,1,68,1,88,0,1,1,87,1,2,1,0,0,0,-80,0.0049962
54,601.599999999977,1,68,1,95,1,8,7,88,8,30,1,1,0,1,-1157,0.0531746
55,606.444444444426,1,67,1,88,0,1,1,87,1,1,1,0,0,0,-40,0.0058473
56,616.488888888878,1,67,1,89,1,2,1,88,2,8,1,1,0,1,-304,0.0380169
57,621.644444444438,1,66,1,94,0,7,7,87,7,21,1,0,0,0,-840,0.0048512
58,636.533333333339,1,66,1,91,1,3,2,89,3,10,1,1,0,1,-383,0.0489312
59,646.577777777791,1,66,1,91,0,3,3,88,3,9,1,0,0,0,-360,0.0055946
60,662.488888888915,1,66,1,94,0,6,6,88,6,17,1,0,0,0,-680,0.0072185
61,666.622222222251,1,65,1,90,1,4,3,87,4,11,1,1,0,1,-420,0.0464042
62,676.666666666704,1,65,1,90,0,4,4,86,4,10,1,0,0,0,-400,0.0056337
63,686.711111111156,1,64,1,89,1,5,4,85,5,13,1,1,0,1,-492,0.0510691
64,706.755555555617,1,65,1,88,1,4,3,85,4,9,1,1,0,1,-331,0.0458407
65,712.533333333399,1,63,1,89,1,5,4,85,5,13,1,1,0,1,-504,0.0445459
66,716.800000000069,1,64,1,89,1,5,4,85,5,13,1,1,0,1,-491,0.0514692
67,736.844444444529,1,65,1,89,0,4,4,85,4,10,1,0,0,0,-400,0.0056168
68,742.577777777867,1,65,1,90,1,5,4,86,5,16,1,1,0,1,-611,0.0519794
69,746.888888888982,1,64,1,89,1,5,4,85,5,15,1,1,0,1,-584,0.0490045
70,756.933333333434,1,64,1,90,0,4,4,86,4,13,1,0,0,0,-520,0.0055524
71,762.622222222328,1,64,1,90,0,4,4,86,4,12,1,0,0,0,-480,0.0049668
72,772.66666666678,1,64,1,92,2,6,4,88,6,20,1,2,0,2,-732,0.0914032
73,776.977777777895,1,63,1,90,0,4,4,86,4,12,1,0,0,0,-480,0.0059707
