#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;0;2;2;2;0/60,1/60;0/34,1/39.24;0/60,1/60;0/60,1/60;0/0,1/0;0/0,1/0;0/0,1/0;0/14,1/15;0/3,1/2;0/5,1/5;0/0,1/0;0/1,1/1;0/0,1/0;0/3,1/3
119.96;0;4;2;2;0/119.96,1/105.56;0/34.13,1/39.38;0/119.96,1/119.96;0/119.96,1/119.96;0/0,1/0;0/0,1/0;0/0,1/2;0/12,1/20;0/3,1/2;0/5,1/5;0/0,1/0;0/3,1/1;0/0,1/2;0/9,1/9
179.96;1;7;2;2;0/179.96,1/137.56;0/34.22,1/39.42;0/179.96,1/179.96;0/179.96,1/179.96;0/0,1/0;0/2,1/0;0/0,1/1;0/9,1/17;0/3,1/2;0/5,1/5;0/0,1/1;0/5,1/2;0/0,1/5;0/15,1/15
239.96;1;9;2;2;0/239.96,1/180.22;0/34.36,1/39.51;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/0;0/2,1/0;0/0,1/0;0/10,1/13;0/3,1/2;0/5,1/5;0/0,1/1;0/6,1/3;0/0,1/6;0/21,1/21
299.96;1;13;2;2;0/299.96,1/240.22;0/34.71,1/39.87;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/0;0/0,1/1;0/3,1/0;0/10,1/11;0/3,1/2;0/5,1/5;0/0,1/1;0/8,1/5;0/0,1/6;0/27,1/27
360;1;15;2;2;0/330,1/300.27;0/35.11,1/40.13;0/360,1/360;0/360,1/360;0/0,1/0;0/0,1/0;0/0,1/1;0/9,1/7;0/3,1/2;0/5,1/5;0/0,1/1;0/9,1/6;0/3,1/6;0/33,1/32
420;2;20;2;2;0/390,1/350.27;0/35.51,1/40.8;0/420,1/420;0/420,1/420;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/10;0/3,1/2;0/5,1/5;0/0,1/2;0/10,1/10;0/3,1/7;0/39,1/38
480;2;25;2;2;0/450,1/410.27;0/35.96,1/41.2;0/480,1/480;0/480,1/480;0/0,1/0;0/2,1/0;0/0,1/0;0/9,1/11;0/3,1/2;0/5,1/5;0/0,1/2;0/13,1/12;0/3,1/7;0/45,1/44
540;2;27;2;2;0/510,1/470.27;0/36.27,1/41.51;0/540,1/540;0/540,1/540;0/0,1/0;0/1,1/1;0/1,1/1;0/7,1/14;0/3,1/2;0/5,1/5;0/0,1/2;0/14,1/13;0/3,1/7;0/51,1/50
