decision,time,botID,podNull,podID,inUsedPodsValues,inBotToPodKey,currentTaskType,destWaypointNull,isRa,podJustRegisteredCount
3,42.5777777777776,7,True,-1,False,False,RestTask,True,True,-1
4,46.3999999999998,1,False,31,True,False,ExtractTask,True,False,3
4,46.3999999999998,10,False,91,True,False,ExtractTask,True,False,2
4,46.3999999999998,11,True,-1,False,False,RestTask,True,True,-1
4,46.3999999999998,3,False,6,True,False,ExtractTask,True,False,3
4,46.3999999999998,5,True,-1,False,False,RestTask,True,True,-1
4,46.3999999999998,4,True,-1,False,False,RestTask,True,True,-1
4,46.3999999999998,12,False,27,True,False,ExtractTask,True,False,3
4,46.3999999999998,13,True,-1,False,False,RestTask,True,True,-1
4,46.3999999999998,14,True,-1,False,False,RestTask,True,True,-1
4,46.3999999999998,7,True,-1,False,False,RestTask,True,True,-1
5,52.6666666666665,1,False,31,True,False,ExtractTask,True,False,3
5,52.6666666666665,10,False,91,True,False,ExtractTask,True,False,2
5,52.6666666666665,11,True,-1,False,False,RestTask,True,True,-1
5,52.6666666666665,3,False,6,True,False,ExtractTask,True,False,3
5,52.6666666666665,5,True,-1,False,False,RestTask,True,True,-1
5,52.6666666666665,4,True,-1,False,False,RestTask,True,True,-1
5,52.6666666666665,12,False,27,True,False,ExtractTask,True,False,3
5,52.6666666666665,13,True,-1,False,False,RestTask,True,True,-1
5,52.6666666666665,14,True,-1,False,False,RestTask,True,True,-1
5,52.6666666666665,7,True,-1,False,False,RestTask,True,True,-1
6,82.7555555555583,1,False,31,True,False,ExtractTask,True,False,3
6,82.7555555555583,10,False,91,True,False,ExtractTask,True,False,2
6,82.7555555555583,11,True,-1,False,False,RestTask,True,True,-1
6,82.7555555555583,3,False,6,True,False,ParkPodTask,False,False,3
6,82.7555555555583,5,True,-1,False,False,RestTask,True,True,-1
6,82.7555555555583,4,True,-1,False,False,RestTask,True,True,-1
6,82.7555555555583,12,False,27,True,False,ExtractTask,False,False,3
6,82.7555555555583,13,True,-1,False,False,RestTask,True,True,-1
6,82.7555555555583,14,True,-1,False,False,RestTask,True,True,-1
6,82.7555555555583,7,True,-1,False,False,RestTask,True,True,-1
7,86.4888888888922,1,False,31,True,False,ExtractTask,True,False,3
7,86.4888888888922,10,False,91,True,False,ExtractTask,True,False,2
7,86.4888888888922,11,True,-1,False,False,RestTask,True,True,-1
7,86.4888888888922,3,False,6,True,False,ParkPodTask,False,False,3
7,86.4888888888922,5,True,-1,False,False,RestTask,True,True,-1
7,86.4888888888922,4,True,-1,False,False,RestTask,True,True,-1
7,86.4888888888922,12,False,27,True,False,ExtractTask,True,False,3
7,86.4888888888922,13,True,-1,False,False,RestTask,True,True,-1
7,86.4888888888922,14,True,-1,False,False,RestTask,True,True,-1
7,86.4888888888922,7,True,-1,False,False,RestTask,True,True,-1
8,96.5333333333382,1,False,31,True,False,ExtractTask,True,False,3
8,96.5333333333382,10,False,91,True,False,ExtractTask,True,False,2
8,96.5333333333382,11,True,-1,False,False,RestTask,True,True,-1
8,96.5333333333382,3,True,-1,False,False,RestTask,False,True,-1
8,96.5333333333382,5,True,-1,False,False,RestTask,True,True,-1
8,96.5333333333382,4,True,-1,False,False,RestTask,True,True,-1
8,96.5333333333382,12,False,27,True,False,ExtractTask,True,False,3
8,96.5333333333382,13,True,-1,False,False,RestTask,True,True,-1
8,96.5333333333382,14,True,-1,False,False,RestTask,True,True,-1
8,96.5333333333382,7,True,-1,False,False,RestTask,True,True,-1
9,102.800000000006,1,False,31,True,False,ExtractTask,True,False,3
9,102.800000000006,10,False,91,True,False,ExtractTask,True,False,2
9,102.800000000006,11,True,-1,False,False,RestTask,True,True,-1
9,102.800000000006,3,True,-1,False,False,RestTask,False,True,-1
9,102.800000000006,5,True,-1,False,False,RestTask,True,True,-1
9,102.800000000006,4,True,-1,False,False,RestTask,True,True,-1
9,102.800000000006,12,False,27,True,False,ExtractTask,True,False,3
9,102.800000000006,13,True,-1,False,False,RestTask,True,True,-1
9,102.800000000006,14,True,-1,False,False,RestTask,True,True,-1
9,102.800000000006,7,True,-1,False,False,RestTask,True,True,-1
10,106.577777777784,1,False,31,True,False,ExtractTask,True,False,3
10,106.577777777784,10,False,91,True,False,ExtractTask,True,False,2
10,106.577777777784,11,True,-1,False,False,RestTask,True,True,-1
10,106.577777777784,3,True,-1,True,True,RestTask,True,False,-1
10,106.577777777784,5,True,-1,False,False,RestTask,True,True,-1
10,106.577777777784,4,True,-1,False,False,RestTask,True,True,-1
10,106.577777777784,12,False,27,True,False,ExtractTask,True,False,3
10,106.577777777784,13,True,-1,False,False,RestTask,True,True,-1
10,106.577777777784,14,True,-1,False,False,RestTask,True,True,-1
10,106.577777777784,7,True,-1,False,False,RestTask,True,True,-1
11,116.62222222223,1,False,31,True,False,ExtractTask,True,False,3
11,116.62222222223,10,False,91,True,False,ExtractTask,True,False,2
11,116.62222222223,11,True,-1,False,False,RestTask,True,True,-1
11,116.62222222223,3,False,46,True,False,ExtractTask,True,False,2
11,116.62222222223,5,True,-1,False,False,RestTask,True,True,-1
11,116.62222222223,4,True,-1,False,False,RestTask,True,True,-1
11,116.62222222223,12,False,27,True,False,ExtractTask,True,False,3
11,116.62222222223,13,True,-1,False,False,RestTask,True,True,-1
11,116.62222222223,14,True,-1,False,False,RestTask,True,True,-1
11,116.62222222223,7,True,-1,False,False,RestTask,True,True,-1
