#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/6,1/6;0/0,1/0;0/6,1/6;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;1;0;2;2;0/35.38,1/49.51;0/22.71,1/26.49;0/60,1/60;0/60,1/60;0/0,1/9;0/0,1/0;0/1,1/14;0/9,1/7;0/3,1/2;0/5,1/5;0/1,1/0;0/0,1/0;0/3,1/2;0/4,1/4
119.96;3;1;2;2;0/80.04,1/54.04;0/22.84,1/26.67;0/119.96,1/119.96;0/119.96,1/119.96;0/1,1/7;0/0,1/0;0/1,1/9;0/6,1/9;0/3,1/2;0/5,1/5;0/2,1/1;0/0,1/1;0/4,1/7;0/10,1/10
179.96;4;2;2;2;0/140.04,1/90.31;0/23.02,1/26.84;0/179.96,1/179.96;0/179.96,1/179.96;0/0,1/3;0/0,1/0;0/1,1/7;0/8,1/12;0/3,1/2;0/5,1/5;0/2,1/2;0/1,1/1;0/4,1/9;0/16,1/16
239.96;7;2;2;2;0/190.09,1/110.49;0/23.16,1/26.98;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/3;0/0,1/0;0/0,1/4;0/7,1/11;0/3,1/2;0/5,1/5;0/3,1/4;0/1,1/1;0/5,1/13;0/22,1/22
299.96;9;3;2;2;0/250.09,1/150.49;0/23.51,1/27.24;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/1;0/0,1/0;0/0,1/2;0/8,1/9;0/3,1/2;0/5,1/5;0/3,1/6;0/2,1/1;0/5,1/15;0/28,1/28
360;11;4;2;2;0/310.13,1/194.98;0/23.96,1/27.69;0/360,1/360;0/360,1/360;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/13;0/3,1/2;0/5,1/5;0/3,1/8;0/2,1/2;0/5,1/17;0/34,1/34
420;11;4;2;2;0/370.13,1/250.53;0/24.36,1/28.09;0/420,1/420;0/420,1/420;0/1,1/0;0/0,1/0;0/1,1/0;0/13,1/10;0/3,1/2;0/5,1/5;0/3,1/8;0/2,1/2;0/5,1/17;0/40,1/40
480;12;6;2;2;0/420.13,1/310.53;0/24.67,1/28.44;0/480,1/480;0/480,1/480;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/6;0/3,1/2;0/5,1/5;0/4,1/8;0/4,1/2;0/6,1/17;0/46,1/46
540;12;7;2;2;0/480.13,1/370.53;0/24.98,1/28.71;0/540,1/540;0/540,1/540;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/12;0/3,1/2;0/5,1/5;0/4,1/8;0/4,1/3;0/6,1/17;0/52,1/52
600;12;9;2;2;0/540.13,1/430.53;0/25.16,1/28.76;0/600,1/600;0/600,1/600;0/0,1/0;0/0,1/0;0/0,1/0;0/12,1/8;0/3,1/2;0/5,1/5;0/4,1/8;0/5,1/4;0/6,1/17;0/58,1/58
659.96;12;9;2;2;0/600.09,1/490.49;0/25.29,1/28.84;0/659.96,1/659.96;0/659.96,1/659.96;0/0,1/0;0/0,1/0;0/0,1/0;0/13,1/7;0/3,1/2;0/5,1/5;0/4,1/8;0/5,1/4;0/6,1/17;0/64,1/64
719.96;12;11;2;2;0/660.09,1/550.49;0/25.38,1/29.02;0/719.96,1/719.96;0/719.96,1/719.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/9;0/3,1/2;0/5,1/5;0/4,1/8;0/6,1/5;0/6,1/17;0/70,1/70
779.96;12;12;2;2;0/720.09,1/610.49;0/25.56,1/29.16;0/779.96,1/779.96;0/779.96,1/779.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/9;0/3,1/2;0/5,1/5;0/4,1/8;0/7,1/5;0/6,1/17;0/76,1/76
839.96;12;13;2;2;0/780.09,1/670.49;0/25.69,1/29.29;0/839.96,1/839.96;0/839.96,1/839.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/6;0/3,1/2;0/5,1/5;0/4,1/8;0/7,1/6;0/6,1/17;0/82,1/82
899.96;12;14;2;2;0/840.09,1/730.49;0/25.82,1/29.51;0/899.96,1/899.96;0/899.96,1/899.96;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/8;0/3,1/2;0/5,1/5;0/4,1/8;0/8,1/6;0/6,1/17;0/88,1/88
959.96;12;16;2;2;0/900.09,1/790.49;0/25.91,1/29.73;0/959.96,1/959.96;0/959.96,1/959.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/11;0/3,1/2;0/5,1/5;0/4,1/8;0/8,1/8;0/6,1/17;0/94,1/94
1019.96;12;17;2;2;0/960.09,1/850.49;0/26.04,1/29.87;0/1019.96,1/1019.96;0/1019.96,1/1019.96;0/0,1/0;0/0,1/1;0/0,1/0;0/7,1/9;0/3,1/2;0/5,1/5;0/4,1/8;0/9,1/8;0/6,1/17;0/100,1/100
1079.96;12;18;2;2;0/1020.09,1/910.49;0/26.22,1/29.96;0/1079.96,1/1079.96;0/1079.96,1/1079.96;0/0,1/0;0/0,1/0;0/0,1/0;0/14,1/7;0/3,1/2;0/5,1/5;0/4,1/8;0/9,1/9;0/6,1/17;0/106,1/106
1139.96;12;19;2;2;0/1080.09,1/970.49;0/26.27,1/30.13;0/1139.96,1/1139.96;0/1139.96,1/1139.96;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/10;0/3,1/2;0/5,1/5;0/4,1/8;0/10,1/9;0/6,1/17;0/112,1/111
1199.96;12;21;2;2;0/1140.09,1/1030.49;0/26.4,1/30.27;0/1199.96,1/1199.96;0/1199.96,1/1199.96;0/0,1/0;0/0,1/0;0/0,1/1;0/8,1/8;0/3,1/2;0/5,1/5;0/4,1/8;0/11,1/10;0/6,1/17;0/118,1/117
1259.96;15;23;2;2;0/1175.56,1/1060.62;0/26.58,1/30.44;0/1259.96,1/1259.96;0/1259.96,1/1259.96;0/0,1/6;0/0,1/0;0/2,1/8;0/6,1/9;0/3,1/2;0/5,1/5;0/5,1/10;0/12,1/11;0/9,1/20;0/124,1/123
1319.96;19;24;2;2;0/1210.31,1/1100.58;0/26.8,1/30.58;0/1319.96,1/1319.96;0/1319.96,1/1319.96;0/0,1/3;0/0,1/0;0/0,1/5;0/10,1/12;0/3,1/2;0/5,1/5;0/7,1/12;0/12,1/12;0/11,1/23;0/130,1/129
1379.96;20;26;2;2;0/1270.31,1/1130.84;0/26.93,1/30.76;0/1379.96,1/1379.96;0/1379.96,1/1379.96;0/0,1/1;0/0,1/0;0/0,1/3;0/12,1/14;0/3,1/2;0/5,1/5;0/7,1/13;0/13,1/13;0/11,1/25;0/136,1/135
1439.96;22;26;2;2;0/1330.31,1/1173.96;0/27.11,1/30.84;0/1439.96,1/1439.96;0/1439.96,1/1439.96;0/0,1/0;0/0,1/0;0/0,1/1;0/17,1/11;0/3,1/2;0/5,1/5;0/7,1/15;0/13,1/13;0/11,1/27;0/142,1/141
1499.96;23;27;2;2;0/1390.31,1/1220.98;0/27.2,1/30.93;0/1499.96,1/1499.96;0/1499.96,1/1499.96;0/0,1/0;0/0,1/0;0/0,1/0;0/15,1/10;0/3,1/2;0/5,1/5;0/7,1/16;0/14,1/13;0/11,1/28;0/148,1/147
1559.96;23;28;2;2;0/1450.31,1/1280.98;0/27.29,1/31.11;0/1559.96,1/1559.96;0/1559.96,1/1559.96;0/0,1/0;0/0,1/0;0/0,1/0;0/13,1/10;0/3,1/2;0/5,1/5;0/7,1/16;0/14,1/14;0/11,1/28;0/154,1/153
1619.96;23;29;2;2;0/1510.31,1/1340.98;0/27.38,1/31.2;0/1619.96,1/1619.96;0/1619.96,1/1619.96;0/0,1/0;0/0,1/0;0/0,1/0;0/14,1/7;0/3,1/2;0/5,1/5;0/7,1/16;0/15,1/14;0/11,1/28;0/160,1/159
1679.96;23;31;2;2;0/1570.31,1/1400.98;0/27.42,1/31.38;0/1679.96,1/1679.96;0/1679.96,1/1679.96;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/10;0/3,1/2;0/5,1/5;0/7,1/16;0/16,1/15;0/11,1/28;0/166,1/165
1739.96;23;32;2;2;0/1630.31,1/1460.98;0/27.56,1/31.56;0/1739.96,1/1739.96;0/1739.96,1/1739.96;0/0,1/0;0/0,1/0;0/0,1/0;0/13,1/13;0/3,1/2;0/5,1/5;0/7,1/16;0/16,1/16;0/11,1/28;0/172,1/171
1799.96;23;33;2;2;0/1690.31,1/1520.98;0/27.64,1/31.64;0/1799.96,1/1799.96;0/1799.96,1/1799.96;0/0,1/0;0/0,1/0;0/0,1/0;0/12,1/11;0/3,1/2;0/5,1/5;0/7,1/16;0/17,1/16;0/11,1/28;0/178,1/177
1859.96;23;33;2;2;0/1750.31,1/1580.98;0/27.73,1/31.73;0/1859.96,1/1859.96;0/1859.96,1/1859.96;0/0,1/0;0/0,1/0;0/0,1/0;0/12,1/7;0/3,1/2;0/5,1/5;0/7,1/16;0/17,1/16;0/11,1/28;0/184,1/183
1919.96;23;35;2;2;0/1810.31,1/1640.98;0/27.87,1/31.96;0/1919.96,1/1919.96;0/1919.96,1/1919.96;0/0,1/0;0/1,1/0;0/0,1/0;0/16,1/12;0/3,1/2;0/5,1/5;0/7,1/16;0/18,1/17;0/11,1/28;0/190,1/189
1979.96;23;36;2;2;0/1870.31,1/1700.98;0/27.96,1/32.04;0/1979.96,1/1979.96;0/1979.96,1/1979.96;0/0,1/0;0/0,1/0;0/0,1/0;0/14,1/11;0/3,1/2;0/5,1/5;0/7,1/16;0/19,1/17;0/11,1/28;0/196,1/195
2039.96;23;36;2;2;0/1930.31,1/1760.98;0/28.04,1/32.13;0/2039.96,1/2039.96;0/2039.96,1/2039.96;0/0,1/0;0/0,1/0;0/0,1/0;0/13,1/7;0/3,1/2;0/5,1/5;0/7,1/16;0/19,1/17;0/11,1/28;0/202,1/201
2099.96;23;37;2;2;0/1990.31,1/1820.98;0/28.31,1/32.53;0/2099.96,1/2099.96;0/2099.96,1/2099.96;0/0,1/0;0/0,1/1;0/0,1/0;0/8,1/9;0/3,1/2;0/5,1/5;0/7,1/16;0/19,1/18;0/11,1/28;0/208,1/207
2159.96;23;38;2;2;0/2050.31,1/1880.98;0/28.71,1/32.89;0/2159.96,1/2159.96;0/2159.96,1/2159.96;0/2,1/12;0/0,1/0;0/8,1/16;0/6,1/12;0/3,1/2;0/5,1/5;0/7,1/16;0/20,1/18;0/11,1/28;0/214,1/213
2219.96;27;40;2;2;0/2073.02,1/1900.98;0/29.47,1/33.29;0/2219.96,1/2219.96;0/2219.96,1/2219.96;0/3,1/11;0/0,1/0;0/5,1/12;0/9,1/9;0/3,1/2;0/5,1/5;0/9,1/18;0/21,1/19;0/15,1/32;0/220,1/219
2279.96;30;41;2;2;0/2110.31,1/1940.98;0/29.87,1/33.73;0/2279.96,1/2279.96;0/2279.96,1/2279.96;0/2,1/9;0/0,1/0;0/3,1/10;0/11,1/12;0/3,1/2;0/5,1/5;0/10,1/20;0/22,1/19;0/17,1/34;0/226,1/225
2340;34;43;2;2;0/2159.11,1/1981.02;0/30.18,1/34.04;0/2340,1/2340;0/2340,1/2340;0/0,1/7;0/0,1/0;0/1,1/8;0/14,1/8;0/3,1/2;0/5,1/5;0/12,1/22;0/23,1/20;0/19,1/36;0/231,1/231
2400;36;45;2;2;0/2200.36,1/2021.02;0/30.53,1/34.44;0/2400,1/2400;0/2400,1/2400;0/0,1/5;0/0,1/0;0/0,1/6;0/14,1/6;0/3,1/2;0/5,1/5;0/12,1/24;0/24,1/21;0/20,1/38;0/237,1/237
2460;38;45;2;2;0/2260.36,1/2061.02;0/30.89,1/34.93;0/2460,1/2460;0/2460,1/2460;0/0,1/3;0/0,1/0;0/0,1/4;0/11,1/8;0/3,1/2;0/5,1/5;0/12,1/26;0/24,1/21;0/20,1/40;0/243,1/243
2520;40;46;2;2;0/2320.36,1/2101.02;0/31.29,1/35.38;0/2520,1/2520;0/2520,1/2520;0/0,1/1;0/0,1/0;0/0,1/2;0/9,1/10;0/3,1/2;0/5,1/5;0/12,1/28;0/24,1/22;0/20,1/42;0/249,1/249
2580;42;47;2;2;0/2380.36,1/2146.76;0/31.78,1/35.73;0/2580,1/2580;0/2580,1/2580;0/0,1/0;0/0,1/0;0/1,1/0;0/12,1/6;0/3,1/2;0/5,1/5;0/12,1/30;0/25,1/22;0/20,1/44;0/255,1/255
