time,bot_id,station_id,chosen_delay,queue_wait_at_station,eta_underestimate,station_idle_at_arrival,neighbor_count_at_decision,release_reason,missed_conversion_opportunity,starvation_proxy
11.17,Bot14,OutputStation2,0.000000,6.900000,0.190000,1.000000,0,immediate_release,0,0
11.37,Bot17,OutputStation4,0.000000,8.280000,3.990000,1.000000,0,immediate_release,0,0
13.37,Bot7,OutputStation5,0.000000,5.430000,0.230000,1.000000,0,immediate_release,0,0
13.37,Bot13,OutputStation5,0.000000,19.600000,25.800000,0.000000,0,immediate_release,1,0
14.67,Bot11,OutputStation1,0.000000,5.500000,1.020000,1.000000,0,immediate_release,0,0
15.42,Bot19,OutputStation3,0.000000,6.880000,0.260000,1.000000,0,immediate_release,0,0
18.71,Bot3,OutputStation6,0.000000,5.460000,0.270000,1.000000,0,immediate_release,0,0
18.76,Bot5,OutputStation0,0.000000,8.360000,7.140000,1.000000,0,immediate_release,0,0
20.63,Bot16,OutputStation7,0.000000,117.210000,112.230000,0.000000,0,immediate_release,1,0
21.22,Bot9,OutputStation8,0.000000,5.590000,0.840000,1.000000,0,immediate_release,0,0
29.33,Bot1,OutputStation8,0.000000,24.700000,0.000000,0.000000,0,immediate_release,1,0
30.64,Bot12,OutputStation7,0.000000,5.420000,0.420000,1.000000,1,immediate_release,0,0
32.02,Bot8,OutputStation6,0.000000,83.390000,27.650000,0.000000,0,immediate_release,1,0
136.23,Bot7,OutputStation0,0.000000,6.930000,0.000000,1.000000,0,immediate_release,0,0
146.78,Bot19,OutputStation1,0.000000,33.090000,28.980000,0.000000,0,immediate_release,1,0
153.01,Bot9,OutputStation2,0.000000,6.890000,0.000000,1.000000,0,immediate_release,0,0
192.12,Bot3,OutputStation3,0.000000,5.540000,16.450000,1.000000,0,immediate_release,0,0
199.63,Bot1,OutputStation1,0.000000,10.970000,0.000000,0.000000,0,immediate_release,1,0
213.71,Bot5,OutputStation4,0.000000,35.490000,21.120000,0.000000,0,immediate_release,1,0
237.41,Bot11,OutputStation0,0.000000,43.120000,32.900000,0.000000,0,immediate_release,1,0
267.09,Bot16,OutputStation5,0.000000,7.050000,2.140000,1.000000,0,immediate_release,0,0
292.76,Bot13,OutputStation6,0.000000,5.420000,2.500000,1.000000,0,immediate_release,0,0
293.91,Bot8,OutputStation2,0.000000,49.870000,1.110000,0.000000,0,immediate_release,1,0
294.82,Bot19,OutputStation1,0.000000,32.620000,0.000000,0.000000,0,immediate_release,1,0
339.56,Bot7,OutputStation1,43.680000,82.510000,67.820000,0.000000,0,hard_deadline,0,0
340.09,Bot17,OutputStation6,0.000000,112.650000,113.160000,0.000000,0,immediate_release,1,0
385.98,Bot1,OutputStation0,0.000000,12.550000,19.730000,0.000000,0,immediate_release,1,0
411.45,Bot9,OutputStation0,0.000000,84.250000,79.480000,0.000000,0,immediate_release,1,0
434.5,Bot5,OutputStation1,4.540000,98.270000,87.630000,0.000000,0,hard_deadline,0,0
452.99,Bot11,OutputStation3,0.000000,5.480000,4.140000,1.000000,0,immediate_release,0,0
471.37,Bot16,OutputStation2,0.000000,7.390000,0.000000,1.000000,0,immediate_release,0,0
524.02,Bot19,OutputStation3,0.000000,51.990000,46.140000,0.000000,0,immediate_release,1,0
539.13,Bot8,OutputStation4,0.000000,6.960000,0.060000,1.000000,0,immediate_release,0,0
560.59,Bot1,OutputStation0,0.000000,6.860000,0.000000,1.000000,0,immediate_release,0,0
564.27,Bot13,OutputStation4,0.000000,0.000000,0.000000,0.000000,0,immediate_release,0,0
