Policy,Bots,Time per decision (s),Total time (s),Decisions
M4G,6,0.2184,210.3,962
HGS-M5-λ,6,0.0061,6.0,979
HGS-M5,6,0.0034,3.2,939
M4G,10,0.2850,262.2,918
HGS-M5-λ,10,0.0061,5.8,959
HGS-M5,10,0.0035,3.2,932
