Policy,Reference,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
"HGS-M5, N=2",HGS-M5 (unlimited),45,−2.19***,−2.44***,+0.74,−38.40***,+63.77***,+62.60***,+27.22***,+22.27***,−21.16***,+36.21***
"HGS-M5, N=3",HGS-M5 (unlimited),45,+0.05,−0.13,−0.01,−7.97***,+8.73***,+8.74***,+2.64***,+2.02**,+0.83,−0.68
"HGS-M5, N=4",HGS-M5 (unlimited),45,+0.04,−0.07,+0.02,−0.02,+0.05,+0.02,+0.05,−0.12,+0.10,−0.61
"HGS-M5, 1 packing station",HGS-M5 (unlimited),45,−1.53***,−1.61***,+1.33**,−49.86***,+102.42***,+99.82***,+44.66***,+46.00***,−29.17***,+25.33***
"HGS-M5, 2 packing stations",HGS-M5 (unlimited),45,−0.23,−0.26,+0.81**,−13.33***,+16.45***,+15.53***,+7.64***,+6.76***,−5.29***,+3.84
"HGS-M5, 3 packing stations",HGS-M5 (unlimited),45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
