Policy,Reference,Bots,Bound,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
"HGS-M5, N=2",HGS-M5 (unlimited),45,CI low,−2.64,−2.89,−0.07,−41.08,+58.28,+56.61,+25.16,+19.97,−23.33,+28.66
"HGS-M5, N=2",HGS-M5 (unlimited),45,CI high,−1.73,−1.99,+1.54,−35.73,+69.27,+68.59,+29.29,+24.58,−18.99,+43.75
"HGS-M5, N=3",HGS-M5 (unlimited),45,CI low,−0.39,−0.53,−0.50,−10.73,+5.87,+5.62,+1.55,+0.82,−0.82,−7.89
"HGS-M5, N=3",HGS-M5 (unlimited),45,CI high,+0.49,+0.27,+0.49,−5.21,+11.59,+11.86,+3.73,+3.22,+2.47,+6.53
"HGS-M5, N=4",HGS-M5 (unlimited),45,CI low,−0.05,−0.30,−0.26,−0.62,−0.53,−0.59,−0.62,−0.49,−0.59,−2.28
"HGS-M5, N=4",HGS-M5 (unlimited),45,CI high,+0.13,+0.15,+0.31,+0.57,+0.63,+0.63,+0.71,+0.25,+0.80,+1.06
"HGS-M5, 1 packing station",HGS-M5 (unlimited),45,CI low,−2.22,−2.19,+0.65,−52.34,+95.57,+92.32,+42.12,+42.39,−31.91,+13.92
"HGS-M5, 1 packing station",HGS-M5 (unlimited),45,CI high,−0.84,−1.04,+2.00,−47.38,+109.26,+107.31,+47.21,+49.61,−26.42,+36.73
"HGS-M5, 2 packing stations",HGS-M5 (unlimited),45,CI low,−0.64,−0.85,+0.26,−15.81,+13.21,+12.30,+5.90,+4.94,−6.98,−2.97
"HGS-M5, 2 packing stations",HGS-M5 (unlimited),45,CI high,+0.19,+0.34,+1.36,−10.85,+19.70,+18.77,+9.39,+8.58,−3.60,+10.66
"HGS-M5, 3 packing stations",HGS-M5 (unlimited),45,CI low,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"HGS-M5, 3 packing stations",HGS-M5 (unlimited),45,CI high,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
