Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5 (unlimited),45,38.6,42.2,44.8,0.135,7.7,0.0019,0.25,0.041,10.7,0.44
"HGS-M5, N=2",45,42.2,30.9,26.0,0.223,27.1,0.0089,0.60,0.117,9.7,0.49
"HGS-M5, N=3",45,28.0,28.5,39.6,0.247,14.7,0.0042,0.23,0.055,8.2,0.32
"HGS-M5, N=4",45,39.8,44.0,45.0,0.130,9.0,0.0018,0.26,0.037,10.0,0.45
"HGS-M5, 1 packing station",45,65.2,47.2,38.9,0.205,34.5,0.0116,0.73,0.192,11.7,0.76
"HGS-M5, 2 packing stations",45,52.8,18.1,39.1,0.302,17.3,0.0057,0.44,0.108,8.9,0.61
"HGS-M5, 3 packing stations",45,38.6,42.2,44.8,0.135,7.7,0.0019,0.25,0.041,10.7,0.44
