Policy,Reference,Bots,Bound,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5 fixed λ=3,HGS-M5 (dynamic),6,CI low,−50.76,−49.91,−50.42,+2.51,−53.28,−9.43,−3.00,−0.60,−32.35,+1903.93
HGS-M5 fixed λ=3,HGS-M5 (dynamic),6,CI high,−25.10,−24.08,−24.72,+10.17,−29.08,−2.23,+13.54,+14.23,−12.19,+3856.14
HGS-M5 fixed λ=4,HGS-M5 (dynamic),6,CI low,−35.10,−34.41,−34.56,−0.95,−36.62,−7.21,−8.41,−8.23,−28.39,+388.98
HGS-M5 fixed λ=4,HGS-M5 (dynamic),6,CI high,−5.12,−5.09,−2.53,+8.41,−4.02,+0.66,+5.60,+3.27,−2.43,+2666.14
HGS-M5 fixed λ=5,HGS-M5 (dynamic),6,CI low,−29.61,−29.28,−29.24,+1.15,−32.15,−7.61,−8.70,−7.47,−27.89,−46.29
HGS-M5 fixed λ=5,HGS-M5 (dynamic),6,CI high,+0.60,+0.80,+1.64,+8.22,−2.22,−1.06,−0.31,−1.57,−0.38,+2250.25
HGS-M5 fixed λ=9,HGS-M5 (dynamic),6,CI low,−0.21,−0.42,+0.28,+7.73,−10.87,−11.52,−5.25,−6.25,−9.59,−14.13
HGS-M5 fixed λ=9,HGS-M5 (dynamic),6,CI high,+0.21,+0.64,+1.71,+12.81,−5.96,−7.06,−2.13,−3.46,−1.36,+15.37
HGS-M5 fixed λ=14,HGS-M5 (dynamic),6,CI low,−0.08,−0.21,+0.15,+7.63,−10.47,−10.92,−4.76,−5.84,−8.85,−29.38
HGS-M5 fixed λ=14,HGS-M5 (dynamic),6,CI high,+0.40,+0.75,+1.12,+12.14,−6.36,−7.01,−0.97,−2.07,+0.77,+5.38
HGS-M5 fixed λ=18,HGS-M5 (dynamic),6,CI low,−0.32,−0.67,+0.07,+7.29,−10.53,−10.98,−3.58,−4.41,−9.97,−25.10
HGS-M5 fixed λ=18,HGS-M5 (dynamic),6,CI high,+0.36,+0.65,+1.54,+12.23,−5.76,−6.70,+0.61,−1.68,+3.28,+24.09
HGS-M5 fixed λ=22,HGS-M5 (dynamic),6,CI low,−0.20,−0.23,−0.04,+9.18,−12.47,−12.94,−4.53,−5.40,−5.04,−36.73
HGS-M5 fixed λ=22,HGS-M5 (dynamic),6,CI high,+0.50,+0.70,+1.65,+14.73,−7.40,−8.31,−0.34,−1.96,+4.37,+14.89
HGS-M5 fixed λ=3,HGS-M5 (dynamic),10,CI low,−51.86,−51.07,−51.49,+4.12,−56.29,−10.52,−7.76,−8.35,−34.11,+2322.31
HGS-M5 fixed λ=3,HGS-M5 (dynamic),10,CI high,−17.22,−16.94,−16.70,+11.66,−20.39,−3.84,+8.45,+7.35,−8.93,+6995.45
HGS-M5 fixed λ=4,HGS-M5 (dynamic),10,CI low,−47.84,−46.92,−47.46,+3.86,−52.43,−11.74,−12.33,−12.97,−33.07,+1791.40
HGS-M5 fixed λ=4,HGS-M5 (dynamic),10,CI high,−13.28,−13.09,−11.98,+13.28,−16.83,−3.78,+2.64,+0.16,−12.87,+6453.87
HGS-M5 fixed λ=5,HGS-M5 (dynamic),10,CI low,−32.45,−32.28,−31.92,+6.88,−37.20,−10.82,−9.33,−10.08,−29.29,+20.06
HGS-M5 fixed λ=5,HGS-M5 (dynamic),10,CI high,−0.17,−0.03,+0.67,+11.75,−8.40,−6.26,+0.81,−0.77,−2.48,+4376.40
HGS-M5 fixed λ=9,HGS-M5 (dynamic),10,CI low,−3.82,−3.61,−3.28,+8.85,−12.77,−12.33,−5.56,−7.63,−15.04,−148.62
HGS-M5 fixed λ=9,HGS-M5 (dynamic),10,CI high,+1.13,+1.74,+2.43,+13.77,−8.30,−7.94,−1.53,−3.62,−5.54,+514.20
HGS-M5 fixed λ=14,HGS-M5 (dynamic),10,CI low,−0.16,−0.61,−0.69,+7.94,−9.30,−10.18,−4.04,−5.80,−11.24,+8.39
HGS-M5 fixed λ=14,HGS-M5 (dynamic),10,CI high,−0.08,+0.56,+1.68,+10.97,−7.10,−7.17,+0.15,−2.34,+2.92,+21.04
HGS-M5 fixed λ=18,HGS-M5 (dynamic),10,CI low,−0.21,−0.32,−0.24,+8.36,−11.42,−11.91,−3.93,−6.10,−13.03,+11.84
HGS-M5 fixed λ=18,HGS-M5 (dynamic),10,CI high,−0.06,+0.24,+1.36,+13.63,−7.23,−7.73,−0.02,−1.88,−3.19,+26.96
HGS-M5 fixed λ=22,HGS-M5 (dynamic),10,CI low,−0.19,−0.25,−0.42,+7.10,−9.22,−9.93,−2.72,−5.12,−10.66,+14.47
HGS-M5 fixed λ=22,HGS-M5 (dynamic),10,CI high,−0.08,+0.14,+1.71,+10.92,−5.98,−6.57,+1.84,−0.56,−0.36,+24.44
