Policy,Reference,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5 fixed λ=3,HGS-M5 (dynamic),6,−37.93***,−37.00***,−37.57***,+6.34**,−41.18***,−5.83**,+5.27,+6.82,−22.27***,+2880.03***
HGS-M5 fixed λ=4,HGS-M5 (dynamic),6,−20.11*,−19.75*,−18.54*,+3.73,−20.32*,−3.27,−1.41,−2.48,−15.41*,+1527.56*
HGS-M5 fixed λ=5,HGS-M5 (dynamic),6,−14.51,−14.24,−13.80,+4.68*,−17.19*,−4.33*,−4.50*,−4.52**,−14.14*,+1101.98
HGS-M5 fixed λ=9,HGS-M5 (dynamic),6,0.00,+0.11,+0.99*,+10.27***,−8.42***,−9.29***,−3.69***,−4.86***,−5.47*,+0.62
HGS-M5 fixed λ=14,HGS-M5 (dynamic),6,+0.16,+0.27,+0.63*,+9.88***,−8.42***,−8.96***,−2.86**,−3.95**,−4.04,−12.00
HGS-M5 fixed λ=18,HGS-M5 (dynamic),6,+0.02,−0.01,+0.80*,+9.76***,−8.15***,−8.84***,−1.48,−3.05***,−3.34,−0.50
HGS-M5 fixed λ=22,HGS-M5 (dynamic),6,+0.15,+0.24,+0.80,+11.95***,−9.94***,−10.63***,−2.44*,−3.68***,−0.33,−10.92
HGS-M5 fixed λ=3,HGS-M5 (dynamic),10,−34.54**,−34.01**,−34.09**,+7.89**,−38.34***,−7.18***,+0.34,−0.50,−21.52**,+4658.88**
HGS-M5 fixed λ=4,HGS-M5 (dynamic),10,−30.56**,−30.00**,−29.72**,+8.57**,−34.63**,−7.76**,−4.84,−6.40,−22.97***,+4122.63**
HGS-M5 fixed λ=5,HGS-M5 (dynamic),10,−16.31*,−16.15*,−15.63,+9.31***,−22.80**,−8.54***,−4.26,−5.42*,−15.89*,+2198.23*
HGS-M5 fixed λ=9,HGS-M5 (dynamic),10,−1.35,−0.93,−0.43,+11.31***,−10.54***,−10.13***,−3.55**,−5.62***,−10.29***,+182.79
HGS-M5 fixed λ=14,HGS-M5 (dynamic),10,−0.12***,−0.02,+0.49,+9.46***,−8.20***,−8.67***,−1.94,−4.07***,−4.16,+14.71***
HGS-M5 fixed λ=18,HGS-M5 (dynamic),10,−0.13**,−0.04,+0.56,+11.00***,−9.33***,−9.82***,−1.97*,−3.99**,−8.11**,+19.40***
HGS-M5 fixed λ=22,HGS-M5 (dynamic),10,−0.13***,−0.05,+0.65,+9.01***,−7.60***,−8.25***,−0.44,−2.84*,−5.51*,+19.46***
