"tag","turn_count_empty","turn_count_loaded","turn_energy_empty_kJ","turn_energy_loaded_kJ","turn_per_trip_empty","turn_per_trip_loaded","wait_time_empty_sec","wait_time_loaded_sec","wait_energy_empty_kJ","wait_energy_loaded_kJ","wait_ratio_mean_empty","wait_ratio_mean_loaded","wait_ratio_p95_empty","wait_ratio_p95_loaded"
"sequ-whcan","5248","16900","538.14009706963","2295.87736424119","2.0596546310832","4.12698412698413","2450.24529658136","10943.2124173567","220.522076692323","984.8891175621","0.0337530347816243","0.0374012524721715","0.143195472422278","0.164245652915419"
"sequ-whcan-p","5174","16743","530.086241693935","2276.3085568395","2.04505928853755","4.15871833084948","2460.27441595641","10335.7666701495","221.424697436077","930.219000313455","0.031852836545896","0.0369338380495514","0.136800783765826","0.161932889507146"
"sequ-whcav","4993","16354","514.430506489113","2219.11896024561","1.97118041847612","3.98392204628502","3283.99214281695","10552.4039173775","295.559292853526","949.716352563976","0.0405669411618684","0.0346976058458418","0.202196452327607","0.181498762917013"
"sequ-whcav-p","4912","16433","506.248832961721","2234.48282404707","1.93538219070134","3.99343863912515","3142.78235917146","10181.7902597957","282.850412325431","916.361123381613","0.0388236280086625","0.0351560168322561","0.194171372877947","0.181092506199619"
