"tag","wall_seconds","performance_realtime_last","performance_pp_time_last","orders","TP","PO","RD","OD","mech_energy_kJ","total_with_support_kJ","energy_per_order_mech_kJ","energy_per_order_support_kJ","E1_accel_kJ","E3_cruise_kJ","E4_rotation_kJ","E5_lift_kJ","support_kJ","wait_time_sec","pathplanning_timeouts","move_empty_kJ","turn_empty_kJ","move_loaded_kJ","turn_loaded_kJ","trip_empty","trip_loaded","support_to_mech","wait_to_mech"
"sequ-whcan","304.654","301.08","35.9","3248","1624","2.35532994923858","248553.754527587","76.5251707289369","21195.6291400807","59926.0865776582","6.52574788795587","18.4501498083923","3671.99916182367","13865.2388757725","2834.01746131082","824.373641173721","38730.4574375775","13393.457713938","0","4807.839225","538.14009706963","12729.3988125961","2295.87736424119","2548","4095","1.82728510588717","0.0568707437881592"
"sequ-whcan-p","564.879","562.21","328.16","3287","1643.5","2.42583025830258","243576.97868366","74.1031270713903","20810.7797897067","59538.6604854971","6.3312381471575","18.1133740448729","3633.92039267826","13555.5481516518","2806.39479853344","814.916446843172","38727.8806957905","12796.0410861059","0","4720.84335","530.086241693935","12468.6251943301","2276.3085568395","2530","4026","1.8609528853381","0.0553388056279901"
"sequ-whcav","460.856","457.36","200.33","3279","1639.5","2.28661087866109","246874.911661673","75.2896955357344","20964.0779895651","59698.8556979377","6.39343641035836","18.2064213778401","3414.47187762881","13994.9639037951","2733.54946673472","821.092741406431","38734.7777083727","13836.3960601945","143","4839.842475","514.430506489113","12569.5933064239","2219.11896024561","2533","4105","1.84767380314331","0.0594004489983904"
"sequ-whcav-p","928.258","925.49","573.23","3272","1636","2.34720229555237","247085.14474562","75.5150197877813","21056.2551435895","59795.2705999436","6.43528580183053","18.2748382029167","3399.16377019595","14085.7749442124","2740.73165700879","830.584772172344","38739.0154563541","13324.5726189672","122","4789.2411","506.248832961721","12695.6976144084","2234.48282404707","2538","4115","1.83978657136229","0.0569527452782642"
