"family","metric","baseline","priority","delta","pct"
"WHCAn","wall_seconds","304.654","564.879","260.225","85.4165709296448"
"WHCAn","orders","3248","3287","39","1.20073891625616"
"WHCAn","TP","1624","1643.5","19.5","1.20073891625616"
"WHCAn","PO","2.35532994923858","2.42583025830258","0.0705003090640002","2.99322432879483"
"WHCAn","RD","248553.754527587","243576.97868366","-4976.775843927","-2.00229356960875"
"WHCAn","OD","76.5251707289369","74.1031270713903","-2.4220436575466","-3.16502875390611"
"WHCAn","mech_energy_kJ","21195.6291400807","20810.7797897067","-384.849350373999","-1.8157014723675"
"WHCAn","total_with_support_kJ","59926.0865776582","59538.6604854971","-387.426092161098","-0.646506578831963"
"WHCAn","energy_per_order_mech_kJ","6.52574788795587","6.3312381471575","-0.194509740798369","-2.98065055742289"
"WHCAn","energy_per_order_support_kJ","18.4501498083923","18.1133740448729","-0.336775763519402","-1.82532807059493"
"WHCAn","E1_accel_kJ","3671.99916182367","3633.92039267826","-38.0787691454098","-1.03700375373992"
"WHCAn","E3_cruise_kJ","13865.2388757725","13555.5481516518","-309.690724120701","-2.23357654992761"
"WHCAn","E4_rotation_kJ","2834.01746131082","2806.39479853344","-27.6226627773804","-0.974682166023212"
"WHCAn","E5_lift_kJ","824.373641173721","814.916446843172","-9.45719433054899","-1.14719756409049"
"WHCAn","support_kJ","38730.4574375775","38727.8806957905","-2.57674178699381","-0.00665301149914582"
"WHCAn","wait_time_sec","13393.457713938","12796.0410861059","-597.416627832099","-4.46051080006318"
"WHCAn","pathplanning_timeouts","0","0","0",""
"WHCAn","performance_pp_time_last","35.9","328.16","292.26","814.094707520892"
"WHCAv","wall_seconds","460.856","928.258","467.402","101.420400298575"
"WHCAv","orders","3279","3272","-7","-0.213479719426654"
"WHCAv","TP","1639.5","1636","-3.5","-0.213479719426654"
"WHCAv","PO","2.28661087866109","2.34720229555237","0.0605914168912798","2.64983506624261"
"WHCAv","RD","246874.911661673","247085.14474562","210.233083947009","0.0851577353615909"
"WHCAv","OD","75.2896955357344","75.5150197877813","0.225324252046903","0.29927634909874"
"WHCAv","mech_energy_kJ","20964.0779895651","21056.2551435895","92.1771540244008","0.43969095168546"
"WHCAv","total_with_support_kJ","59698.8556979377","59795.2705999436","96.4149020058976","0.161502093932478"
"WHCAv","energy_per_order_mech_kJ","6.39343641035836","6.43528580183053","0.0418493914721703","0.654568041129927"
"WHCAv","energy_per_order_support_kJ","18.2064213778401","18.2748382029167","0.0684168250766","0.375784036064733"
"WHCAv","E1_accel_kJ","3414.47187762881","3399.16377019595","-15.3081074328602","-0.448330165878858"
"WHCAv","E3_cruise_kJ","13994.9639037951","14085.7749442124","90.8110404173003","0.648883705892764"
"WHCAv","E4_rotation_kJ","2733.54946673472","2740.73165700879","7.18219027406985","0.262742282935495"
"WHCAv","E5_lift_kJ","821.092741406431","830.584772172344","9.492030765913","1.15602419644513"
"WHCAv","support_kJ","38734.7777083727","38739.0154563541","4.23774798140221","0.0109404215852417"
"WHCAv","wait_time_sec","13836.3960601945","13324.5726189672","-511.8234412273","-3.69910950077346"
"WHCAv","pathplanning_timeouts","143","122","-21","-14.6853146853147"
"WHCAv","performance_pp_time_last","200.33","573.23","372.9","186.142864273948"
