"family","metric","baseline","priority","delta","pct"
"WHCAn","move_empty_kJ","4807.839","4720.843","-86.996","-1.809"
"WHCAn","turn_empty_kJ","538.14","530.086","-8.054","-1.497"
"WHCAn","move_loaded_kJ","12729.399","12468.625","-260.774","-2.049"
"WHCAn","turn_loaded_kJ","2295.877","2276.309","-19.569","-0.852"
"WHCAn","trip_empty","2548","2530","-18","-0.706"
"WHCAn","trip_loaded","4095","4026","-69","-1.685"
"WHCAn","wait_time_sec","13393.458","12796.041","-597.417","-4.461"
"WHCAn","E4_rotation_kJ","2834.017","2806.395","-27.623","-0.975"
"WHCAn","mech_energy_kJ","21195.629","20810.78","-384.849","-1.816"
"WHCAn","energy_per_order_mech_kJ","6.526","6.331","-0.195","-2.981"
"WHCAn","turn_share_empty_pct","10.066","10.095","0.029","pp"
"WHCAn","turn_share_loaded_pct","15.28","15.438","0.158","pp"
"WHCAn","turn_kJ_per_loaded_trip","0.5607","0.5654","0.0047","0.847"
"WHCAn","turn_kJ_per_empty_trip","0.2112","0.2095","-0.0017","-0.796"
"WHCAv","move_empty_kJ","4839.842","4789.241","-50.601","-1.046"
"WHCAv","turn_empty_kJ","514.431","506.249","-8.182","-1.59"
"WHCAv","move_loaded_kJ","12569.593","12695.698","126.104","1.003"
"WHCAv","turn_loaded_kJ","2219.119","2234.483","15.364","0.692"
"WHCAv","trip_empty","2533","2538","5","0.197"
"WHCAv","trip_loaded","4105","4115","10","0.244"
"WHCAv","wait_time_sec","13836.396","13324.573","-511.823","-3.699"
"WHCAv","E4_rotation_kJ","2733.549","2740.732","7.182","0.263"
"WHCAv","mech_energy_kJ","20964.078","21056.255","92.177","0.44"
"WHCAv","energy_per_order_mech_kJ","6.393","6.435","0.042","0.655"
"WHCAv","turn_share_empty_pct","9.608","9.56","-0.048","pp"
"WHCAv","turn_share_loaded_pct","15.005","14.966","-0.039","pp"
"WHCAv","turn_kJ_per_loaded_trip","0.5406","0.543","0.0024","0.448"
"WHCAv","turn_kJ_per_empty_trip","0.2031","0.1995","-0.0036","-1.784"
