"tag","exit_code","wall_seconds","log"
"sequ-whcav","0","460.982","analysis\sequ_whca_priority_large_7200_20260520\sequ-whcav.console.log"
"sequ-whcav-p","0","928.291","analysis\sequ_whca_priority_large_7200_20260520\sequ-whcav-p.console.log"
