decision,time,pendingOrders,stationsWithCap,podsInModel,dispatched,children,fastPath,units,decisionSec,lambda,mu,delta,rho,closedLines,valuedNotBoundLines,completedOrders
0,0,100,2,87,3,0,12,18,0.0825229,10,24,0.05,15,14,0,12
1,50.6222222222221,100,1,83,1,0,1,5,0.0019643,10,11.6666666666667,0.05,15,2,0,1
2,60.7111111111109,100,1,85,0,0,1,1,0.0009999,10,12.3076923076923,0.05,15,1,0,1
3,63.8666666666665,100,1,84,0,0,1,1,0.0010001,10,12.1428571428571,0.05,15,1,0,1
4,70.7555555555564,100,1,85,0,0,1,1,0,10,12,0.05,15,1,0,1
5,73.9111111111124,100,1,84,0,0,1,1,0.0010407,10,11.875,0.05,15,1,0,1
6,80.8000000000024,100,1,86,0,0,1,2,0.0010002,10,11.7647058823529,0.05,15,1,0,1
7,90.8444444444484,100,1,86,0,0,1,2,0.0010005,10,11.6666666666667,0.05,15,2,0,1
8,93.95555555556,100,1,86,1,0,1,1,0.0010093,10,12.1052631578947,0.05,15,1,0,1
9,100.888888888894,100,1,87,0,0,1,1,0.0009992,10,12,0.05,15,1,0,1
10,124.000000000009,100,1,87,0,0,1,2,0.0009999,10,11.9047619047619,0.05,15,2,0,1
11,134.044444444455,100,1,87,0,0,1,1,0,10,12.2727272727273,0.05,15,1,0,1
12,150.933333333347,100,1,87,0,0,1,2,0.0010004,10,12.1739130434783,0.05,15,1,0,1
13,154.088888888903,100,1,87,0,0,1,1,0.0009958,10,12.0833333333333,0.05,15,1,0,1
14,164.133333333349,100,1,87,0,0,1,2,0.0009995,10,12,0.05,15,2,0,1
15,174.177777777795,100,1,88,0,0,1,1,0.0009999,10,12.3076923076923,0.05,15,1,0,1
16,180.977777777796,100,1,87,1,0,1,2,0.0029993,10,12.2222222222222,0.05,15,1,0,1
17,194.222222222242,100,1,87,0,0,1,1,0.001,10,12.1428571428571,0.05,15,1,0,1
18,201.022222222243,100,1,88,0,0,1,2,0.0009993,10,12.0689655172414,0.05,15,1,0,1
19,211.066666666689,100,1,89,0,0,1,2,0.0010001,10,12,0.05,15,2,0,1
20,214.26666666669,100,1,88,1,0,1,5,0.0019996,10,12.258064516129,0.05,15,2,0,1
21,221.111111111135,100,1,88,0,0,1,1,0.0010002,10,12.5,0.05,15,1,0,1
22,224.311111111136,100,1,88,0,0,1,1,0.0009874,10,12.4242424242424,0.05,15,1,0,1
23,231.155555555581,100,1,88,0,0,1,3,0.0010006,10,12.3529411764706,0.05,15,2,0,1
24,234.355555555582,100,1,88,1,0,1,1,0.0019991,10,12.5714285714286,0.05,15,1,0,1
