#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/7;0/0,1/0;0/11,1/7;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;1;1;2;2;0/36.04,1/43.2;0/43.82,1/30.67;0/60,1/60;0/60,1/60;0/0,1/9;0/0,1/0;0/1,1/14;0/9,1/9;0/3,1/2;0/5,1/5;0/1,1/0;0/0,1/1;0/3,1/2;0/2,1/3
119.96;3;1;2;2;0/80.04,1/50.18;0/44,1/30.93;0/119.96,1/119.96;0/119.96,1/119.96;0/0,1/7;0/0,1/0;0/0,1/9;0/6,1/10;0/3,1/2;0/5,1/5;0/2,1/1;0/0,1/1;0/4,1/7;0/8,1/9
179.96;5;2;2;2;0/140.04,1/82.71;0/44.22,1/30.98;0/179.96,1/179.96;0/179.96,1/179.96;0/1,1/3;0/0,1/0;0/1,1/6;0/7,1/6;0/3,1/2;0/5,1/5;0/2,1/3;0/0,1/2;0/4,1/10;0/14,1/15
239.96;7;3;2;2;0/190.09,1/110.44;0/44.4,1/31.2;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/2;0/0,1/0;0/0,1/3;0/9,1/10;0/3,1/2;0/5,1/5;0/3,1/4;0/1,1/2;0/5,1/13;0/20,1/21
299.96;10;4;2;2;0/250.09,1/147.51;0/44.71,1/31.47;0/299.96,1/299.96;0/299.96,1/299.96;0/1,1/0;0/0,1/0;0/1,1/0;0/8,1/7;0/3,1/2;0/5,1/5;0/3,1/7;0/1,1/3;0/5,1/16;0/26,1/27
360;11;6;2;2;0/300.13,1/200.49;0/45.16,1/31.91;0/360,1/360;0/360,1/360;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/11;0/3,1/2;0/5,1/5;0/4,1/7;0/3,1/3;0/6,1/16;0/32,1/33
420;11;7;2;2;0/360.13,1/260.49;0/45.56,1/32.31;0/420,1/420;0/420,1/420;0/0,1/1;0/0,1/0;0/0,1/1;0/12,1/9;0/3,1/2;0/5,1/5;0/4,1/7;0/4,1/3;0/6,1/16;0/38,1/39
480;11;9;2;2;0/420.13,1/320.49;0/45.96,1/32.71;0/480,1/480;0/480,1/480;0/0,1/0;0/0,1/0;0/0,1/1;0/10,1/9;0/3,1/2;0/5,1/5;0/4,1/7;0/5,1/4;0/6,1/16;0/44,1/45
540;12;10;2;2;0/480.13,1/370.49;0/46.18,1/33.07;0/540,1/540;0/540,1/540;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/11;0/3,1/2;0/5,1/5;0/4,1/8;0/5,1/5;0/6,1/17;0/50,1/51
600;12;11;2;2;0/540.13,1/430.49;0/46.31,1/33.2;0/600,1/600;0/600,1/600;0/1,1/0;0/0,1/0;0/1,1/0;0/9,1/13;0/3,1/2;0/5,1/5;0/4,1/8;0/6,1/5;0/6,1/17;0/56,1/57
659.96;13;12;2;2;0/590.13,1/490.44;0/46.49,1/33.24;0/659.96,1/659.96;0/659.96,1/659.96;0/0,1/0;0/0,1/0;0/0,1/0;0/12,1/8;0/3,1/2;0/5,1/5;0/5,1/8;0/6,1/6;0/7,1/17;0/62,1/63
719.96;13;12;2;2;0/650.13,1/550.44;0/46.58,1/33.38;0/719.96,1/719.96;0/719.96,1/719.96;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/8;0/3,1/2;0/5,1/5;0/5,1/8;0/6,1/6;0/7,1/17;0/68,1/69
779.96;13;14;2;2;0/710.13,1/610.44;0/46.71,1/33.56;0/779.96,1/779.96;0/779.96,1/779.96;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/8;0/3,1/2;0/5,1/5;0/5,1/8;0/7,1/7;0/7,1/17;0/74,1/75
839.96;13;16;2;2;0/770.13,1/670.44;0/46.84,1/33.73;0/839.96,1/839.96;0/839.96,1/839.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/10;0/3,1/2;0/5,1/5;0/5,1/8;0/9,1/7;0/7,1/17;0/80,1/81
899.96;13;17;2;2;0/830.13,1/730.44;0/46.98,1/33.82;0/899.96,1/899.96;0/899.96,1/899.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/7;0/3,1/2;0/5,1/5;0/5,1/8;0/9,1/8;0/7,1/17;0/86,1/87
959.96;13;17;2;2;0/890.13,1/790.44;0/47.16,1/34;0/959.96,1/959.96;0/959.96,1/959.96;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/10;0/3,1/2;0/5,1/5;0/5,1/8;0/9,1/8;0/7,1/17;0/92,1/93
