2 h · 10 seeds · 12 Pstations · 6 Rstations · 1000 SKUs · 200 backlog · 1203 pods / 1352 cells · cap 500 · 70% stock
policy,bots,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
m5_45b,45b,8318.2,5396.9,3385.3,7.625,444.1,0.1312,20.45,3.601,395.2,3.79
m5_pk3_45b,45b,8313.4,5394.8,3383.5,7.628,443.7,0.1311,20.46,3.601,395.4,3.84
m5_pk1_45b,45b,7797.2,5061.5,3257.0,3.344,974.8,0.2993,30.12,5.510,301.3,9.81
m5_pk2_45b,45b,8312.2,5393.3,3425.1,6.191,553.5,0.1616,22.77,3.963,372.0,3.86

paired m5_pk1_45b vs m5_45b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−6.26,−6.21,−3.79,−56.15,+119.50,+128.19,+47.31,+53.01,−23.76,+158.98
p,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001
sig,***,***,***,***,***,***,***,***,***,***

paired m5_pk2_45b vs m5_45b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−0.07,−0.07,+1.18,−18.80,+24.63,+23.19,+11.36,+10.07,−5.87,+1.92
p,.585,.718,.003,< .001,< .001,< .001,< .001,< .001,< .001,.577
sig,,,**,***,***,***,***,***,***,

paired m5_pk3_45b vs m5_45b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−0.06,−0.04,−0.05,+0.04,−0.09,−0.04,+0.06,+0.01,+0.05,+1.43
p,.343,.343,.343,.343,.343,.343,.343,.343,.343,.343
sig,,,,,,,,,,

excel cross-check: {"status": "passed", "checks": 140, "rel_tol": 1e-09}
