idx;src_id;dest_id;path_nodes;path_len_m;expected_sec;actual_sec;abs_err_sec;rel_err_pct
0;711;76;29;28;28.9583333333333;28.6867604580795;0.27157287525382;0.937805612387294
1;417;12;22;21;20.2083333333333;23.7666666666667;3.55833333333333;17.6082474226804
2;771;76;21;20;24.25;35.2583333333333;11.0083333333333;45.3951890034364
3;925;92;39;38;35.625;37.2318542494924;1.60685424949237;4.51046806875052
4;791;28;31;30;32.4117604580795;37.1916666666667;4.77990620858714;14.7474439556263
5;494;76;14;13;15.5;45.5506493469684;30.0506493469684;193.875157077216
6;934;28;30;29;29.1666666666667;49.7972222222223;20.6305555555556;70.7333333333336
7;603;60;30;29;33.2450937914129;34.7339826803018;1.4888888888889;4.47852214895384
8;815;92;34;33;34.4166666666667;46.7611111111113;12.3444444444446;35.8676351896695
9;322;44;38;37;39.2083333333333;42.6472222222223;3.438888888889;8.77081119376579
10;715;76;33;32;31;41.5700937914129;10.5700937914129;34.0970767464931
11;471;92;40;39;35.8333333333333;63.6645382358573;27.831204902524;77.6684787977413
12;932;12;32;31;29;64.3534271247464;35.3534271247464;121.908369395677
13;500;28;48;47;41.7867604580795;44.2700937914131;2.48333333333358;5.94287115371114
14;461;44;54;53;45;56.1000000000002;11.1000000000002;24.666666666667
15;268;12;37;36;34.9166666666667;68.3083333333335;33.3916666666668;95.6324582338905
16;579;60;33;32;32.25;59.7089826803019;27.4589826803019;85.1441323420213
17;928;76;48;47;41;65.6540764717148;24.6540764717148;60.1318938334507
18;614;92;41;40;38.4534271247462;65.5583333333336;27.1049062085874;70.4876216121303
19;869;28;52;51;44.2916666666667;67.9367604580797;23.645093791413;53.3849718714876
20;912;44;40;39;33.7034271247462;79.6250000000001;45.9215728752539;136.251938728025
21;725;12;41;40;41.8333333333333;95.0235209161593;53.1901875828259;127.147858763727
22;692;60;49;48;43.7916666666667;82.8624098050482;39.0707431383815;89.2195847118131
23;488;92;59;58;50.4583333333333;76.8104617641429;26.3521284308095;52.2255229016869
24;389;28;31;30;33.9117604580795;37.3395382358574;3.42777777777792;10.1079322673773
25;891;60;54;53;47.7450937914129;83.2457431383815;35.5006493469686;74.3545493953005
26;515;76;35;34;28.875;43.0395382358575;14.1645382358575;49.0546778730996
27;811;44;36;35;29.5416666666667;103.351298693937;73.8096320272704;249.849248047178
28;910;92;24;23;25.625;43.2673160136351;17.6423160136351;68.8480624922345
29;803;28;50;49;42.9583333333333;94.1978715691908;51.2395382358575;119.277295602384
30;681;76;38;37;34.4950937914129;62.3602813742387;27.8651875828258;80.7801473198561
31;705;92;21;20;20.1666666666667;30.6944444444445;10.5277777777778;52.2038567493116
32;578;12;44;43;43.2034271247462;127.3;84.096572875254;194.652550670187
33;777;28;43;42;39.0784271247462;47.2540764717148;8.17564934696856;20.9211320631464
34;799;60;55;54;46.2916666666667;120.078427124746;73.7867604580798;159.395342123665
35;699;44;55;54;47.0833333333333;129.217683986365;82.1343506530316;174.444638555111
36;690;12;27;26;27.625;62.4576839863649;34.8326839863649;126.091163751547
37;490;28;19;18;22.2916666666667;42.1055555555556;19.8138888888889;88.8847352024925
