#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
959.98;57;157;3;6;0/622.93,1/681.31,2/652.15;0/57.35,1/112.39,2/94.65,3/110.32,4/65.34,5/72.27;0/959.98,1/959.98,2/959.98;0/959.98,1/959.98,2/959.98,3/959.98,4/959.98,5/959.98;0/0,1/0,2/2;0/16,1/26,2/15,3/22,4/19,5/16;0/0,1/0,2/2;0/31,1/38,2/32,3/36,4/40,5/35;0/0,1/0,2/7;0/6,1/6,2/7,3/6,4/6,5/7;0/20,1/17,2/20;0/21,1/28,2/26,3/32,4/22,5/28;0/34,1/28,2/31;0/91,1/86,2/88,3/86,4/91,5/90
1019.97;57;172;3;6;0/682.92,1/741.3,2/712.14;0/57.78,1/113.18,2/96.94,3/110.87,4/65.85,5/75.51;0/1019.97,1/1019.97,2/1019.97;0/1019.97,1/1019.97,2/1019.97,3/1019.97,4/1019.97,5/1019.97;0/0,1/0,2/1;0/14,1/26,2/15,3/23,4/19,5/17;0/0,1/0,2/2;0/29,1/43,2/32,3/40,4/34,5/39;0/0,1/0,2/7;0/6,1/6,2/7,3/6,4/6,5/7;0/20,1/17,2/20;0/24,1/31,2/29,3/35,4/22,5/31;0/34,1/28,2/31;0/97,1/92,2/94,3/92,4/97,5/96
1079.99;58;181;3;6;0/742.95,1/801.33,2/762.21;0/58.68,1/115.74,2/97.85,3/111.47,4/66.55,5/76.55;0/1079.99,1/1079.99,2/1079.99;0/1079.99,1/1079.99,2/1079.99,3/1079.99,4/1079.99,5/1079.99;0/0,1/0,2/1;0/18,1/26,2/13,3/22,4/20,5/17;0/0,1/0,2/1;0/35,1/40,2/26,3/34,4/40,5/40;0/0,1/0,2/7;0/6,1/6,2/7,3/6,4/6,5/7;0/20,1/17,2/21;0/24,1/33,2/31,3/35,4/25,5/33;0/34,1/28,2/32;0/103,1/98,2/100,3/98,4/103,5/102
1139.99;58;187;3;6;0/802.94,1/861.32,2/822.2;0/58.99,1/116.57,2/98.53,3/112.01,4/67.31,5/77.52;0/1139.99,1/1139.99,2/1139.99;0/1139.99,1/1139.99,2/1139.99,3/1139.99,4/1139.99,5/1139.99;0/0,1/0,2/1;0/16,1/24,2/12,3/17,4/21,5/18;0/0,1/0,2/1;0/29,1/37,2/27,3/30,4/38,5/38;0/0,1/0,2/7;0/6,1/6,2/7,3/6,4/6,5/7;0/20,1/17,2/21;0/25,1/34,2/32,3/37,4/26,5/33;0/34,1/28,2/32;0/109,1/104,2/106,3/104,4/109,5/108
1199.98;59;195;3;6;0/862.94,1/921.32,2/879.72;0/60.23,1/117.22,2/98.99,3/113.16,4/68.12,5/78.2;0/1199.98,1/1199.98,2/1199.98;0/1199.98,1/1199.98,2/1199.98,3/1199.98,4/1199.98,5/1199.98;0/0,1/0,2/1;0/18,1/20,2/11,3/16,4/20,5/18;0/0,1/0,2/1;0/27,1/31,2/25,3/29,4/36,5/36;0/0,1/0,2/7;0/6,1/6,2/7,3/6,4/6,5/7;0/20,1/17,2/22;0/26,1/35,2/34,3/39,4/27,5/34;0/34,1/28,2/33;0/115,1/110,2/111,3/110,4/115,5/114
1260;61;206;3;6;0/922.95,1/962.52,2/917.86;0/61,1/118.64,2/100.09,3/113.8,4/68.48,5/79.27;0/1260,1/1260,2/1260;0/1260,1/1260,2/1260,3/1260,4/1260,5/1260;0/10,1/2,2/3;0/22,1/22,2/15,3/18,4/20,5/17;0/12,1/8,2/11;0/33,1/43,2/32,3/34,4/30,5/30;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/20,1/18,2/23;0/28,1/37,2/36,3/41,4/28,5/36;0/34,1/30,2/35;0/121,1/116,2/117,3/116,4/121,5/120
1319.86;68;216;3;6;0/963.03,1/978.15,2/932.03;0/61.58,1/119.1,2/101,3/114.26,4/68.95,5/86.33;0/1319.86,1/1319.86,2/1319.86;0/1319.86,1/1319.86,2/1319.86,3/1319.86,4/1319.86,5/1319.86;0/8,1/0,2/1;0/20,1/22,2/14,3/19,4/22,5/19;0/10,1/3,2/6;0/36,1/37,2/31,3/35,4/30,5/34;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/21,1/21,2/26;0/30,1/38,2/37,3/43,4/30,5/38;0/36,1/35,2/40;0/127,1/122,2/123,3/122,4/126,5/125
1379.75;74;226;3;6;0/1001.23,1/1001.75,2/945.15;0/62.49,1/121.45,2/101.42,3/116.05,4/69.41,5/87.03;0/1379.75,1/1379.75,2/1379.75;0/1379.75,1/1379.75,2/1379.75,3/1379.75,4/1379.75,5/1379.75;0/7,1/0,2/0;0/21,1/19,2/16,3/22,4/21,5/21;0/8,1/0,2/2;0/34,1/37,2/35,3/35,4/40,5/39;0/5,1/5,2/5;0/5,1/5,2/5,3/5,4/5,5/5;0/23,1/23,2/28;0/32,1/40,2/38,3/44,4/32,5/40;0/39,1/38,2/44;0/133,1/127,2/129,3/128,4/132,5/131
1440;78;234;3;6;0/1036.29,1/1062,2/983.34;0/62.9,1/122.09,2/101.85,3/116.32,4/70.27,5/87.67;0/1440,1/1440,2/1440;0/1440,1/1440,2/1440,3/1440,4/1440,5/1440;0/1,1/0,2/0;0/19,1/18,2/13,3/20,4/21,5/19;0/7,1/0,2/0;0/33,1/38,2/38,3/29,4/38,5/41;0/7,1/0,2/0;0/6,1/6,2/7,3/6,4/6,5/7;0/25,1/23,2/30;0/32,1/42,2/39,3/46,4/34,5/41;0/41,1/38,2/46;0/139,1/133,2/135,3/134,4/138,5/137
1499.9;81;241;3;6;0/1053.74,1/1121.91,2/1043.25;0/63.59,1/122.66,2/102.84,3/117.3,4/70.64,5/88.14;0/1499.9,1/1499.9,2/1499.9;0/1499.9,1/1499.9,2/1499.9,3/1499.9,4/1499.9,5/1499.9;0/0,1/0,2/0;0/19,1/20,2/16,3/20,4/19,5/17;0/3,1/0,2/0;0/34,1/37,2/39,3/29,4/36,5/39;0/7,1/0,2/0;0/6,1/6,2/7,3/6,4/6,5/7;0/28,1/23,2/30;0/34,1/42,2/40,3/47,4/36,5/42;0/45,1/38,2/46;0/145,1/139,2/141,3/140,4/144,5/143
