Policy,Reference,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G-WS-NS₀,M4G-WS-NS,6,.905,.923,.873,.061,.004,.068,.021,.342,.926,.906
M4G-WS-NS₀,M4G-WS-NS,10,.800,.072,.579,.291,.432,.293,< .001,< .001,.909,.747
