Policy,Bots,Seed,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G-WS-NS,6,0,1250.0,812.0,596.0,3.406,175.0,0.2936,14.12,1.571,351.7,13.25
M4G-WS-NS,6,1,1240.0,800.0,561.0,3.243,173.0,0.3084,14.68,1.698,375.5,13.94
M4G-WS-NS,6,2,1271.0,846.0,594.0,3.264,182.0,0.3064,14.90,1.731,354.5,11.83
M4G-WS-NS,6,3,1257.0,819.0,582.0,3.270,178.0,0.3058,14.91,1.710,340.5,12.75
M4G-WS-NS,6,4,1258.0,822.0,588.0,3.379,174.0,0.2959,14.53,1.638,342.9,12.66
M4G-WS-NS,6,5,1257.0,815.0,581.0,3.339,174.0,0.2995,14.96,1.703,362.2,12.77
M4G-WS-NS,6,6,1289.0,841.0,591.0,3.358,176.0,0.2978,14.35,1.671,343.7,10.50
M4G-WS-NS,6,7,1266.0,829.0,596.0,3.406,175.0,0.2936,14.46,1.619,328.8,12.17
M4G-WS-NS,6,8,1209.0,797.0,563.0,3.128,180.0,0.3197,14.92,1.757,329.5,16.07
M4G-WS-NS,6,9,1287.0,827.0,591.0,3.247,182.0,0.3080,14.80,1.680,338.7,10.70
M4G-WS-NS₀,6,0,1228.0,796.0,584.0,3.518,166.0,0.2842,14.94,1.618,328.9,14.77
M4G-WS-NS₀,6,1,1272.0,816.0,569.0,3.347,170.0,0.2988,14.65,1.685,384.3,11.68
M4G-WS-NS₀,6,2,1285.0,860.0,609.0,3.402,179.0,0.2939,15.06,1.720,342.0,10.82
M4G-WS-NS₀,6,3,1269.0,826.0,585.0,3.401,172.0,0.2940,15.19,1.709,336.2,11.91
M4G-WS-NS₀,6,4,1287.0,839.0,597.0,3.471,172.0,0.2881,14.87,1.659,356.9,10.68
M4G-WS-NS₀,6,5,1254.0,811.0,578.0,3.303,175.0,0.3028,15.29,1.745,316.9,13.04
M4G-WS-NS₀,6,6,1215.0,786.0,562.0,3.211,175.0,0.3114,15.50,1.752,344.6,15.70
M4G-WS-NS₀,6,7,1284.0,852.0,609.0,3.561,171.0,0.2808,14.44,1.621,353.0,10.85
M4G-WS-NS₀,6,8,1272.0,838.0,596.0,3.527,169.0,0.2836,14.80,1.669,348.4,11.77
M4G-WS-NS₀,6,9,1234.0,793.0,564.0,3.260,173.0,0.3067,15.54,1.756,350.5,14.32
M4G-WS-NS,10,0,1411.0,909.0,655.0,3.180,206.0,0.3145,16.13,1.833,360.4,2.05
M4G-WS-NS,10,1,1415.0,910.0,630.0,3.281,192.0,0.3048,16.03,1.887,404.2,1.83
M4G-WS-NS,10,2,1422.0,945.0,652.0,3.228,202.0,0.3098,16.30,1.956,376.0,1.36
M4G-WS-NS,10,3,1423.0,929.0,647.0,3.141,206.0,0.3184,16.15,1.900,372.4,1.20
M4G-WS-NS,10,4,1412.0,924.0,652.0,2.991,218.0,0.3344,16.95,1.977,368.8,2.03
M4G-WS-NS,10,5,1426.0,920.0,648.0,3.208,202.0,0.3117,16.11,1.887,372.4,1.01
M4G-WS-NS,10,6,1427.0,928.0,646.0,3.076,210.0,0.3251,16.27,1.944,351.6,0.97
M4G-WS-NS,10,7,1418.0,931.0,659.0,3.362,196.0,0.2974,15.50,1.805,360.7,1.61
M4G-WS-NS,10,8,1416.0,925.0,644.0,3.157,204.0,0.3168,15.91,1.864,382.0,1.78
M4G-WS-NS,10,9,1422.0,905.0,634.0,3.186,199.0,0.3139,16.83,1.977,368.0,1.34
M4G-WS-NS₀,10,0,1403.0,902.0,645.0,3.086,209.0,0.3240,17.26,1.949,381.9,2.65
M4G-WS-NS₀,10,1,1428.0,921.0,639.0,3.277,195.0,0.3052,16.89,1.971,380.8,0.90
M4G-WS-NS₀,10,2,1415.0,951.0,656.0,3.184,206.0,0.3140,17.04,2.010,380.6,1.76
M4G-WS-NS₀,10,3,1429.0,941.0,651.0,3.356,194.0,0.2980,16.42,1.915,400.8,0.82
M4G-WS-NS₀,10,4,1417.0,930.0,649.0,3.135,207.0,0.3190,17.52,2.024,341.1,1.67
M4G-WS-NS₀,10,5,1428.0,929.0,648.0,3.240,200.0,0.3086,16.84,1.964,380.8,0.91
M4G-WS-NS₀,10,6,1417.0,915.0,634.0,3.251,195.0,0.3076,16.73,1.965,386.4,1.66
M4G-WS-NS₀,10,7,1428.0,940.0,666.0,3.364,198.0,0.2973,16.35,1.863,351.2,0.90
M4G-WS-NS₀,10,8,1421.0,943.0,655.0,3.180,206.0,0.3145,16.85,1.964,360.6,1.34
M4G-WS-NS₀,10,9,1413.0,913.0,638.0,3.112,205.0,0.3213,17.48,2.012,360.8,1.94
