Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G-WS-NS,6,23.2,15.9,12.8,0.089,3.4,0.0083,0.29,0.055,14.5,1.60
M4G-WS-NS₀,6,25.9,25.5,17.3,0.119,3.6,0.0104,0.36,0.051,18.0,1.81
M4G-WS-NS,10,5.6,12.1,9.0,0.103,7.3,0.0102,0.42,0.060,14.4,0.40
M4G-WS-NS₀,10,8.5,15.6,9.6,0.096,5.7,0.0092,0.40,0.048,18.3,0.59
