Policy,Bots,Seed,Order batching time per decision (s),Order batching time total (s),Decisions
M4G-WS-NS,6,0,0.1358,117.8,867
M4G-WS-NS,6,1,0.1658,138.8,837
M4G-WS-NS,6,2,0.1501,141.0,939
M4G-WS-NS,6,3,0.1379,128.0,928
M4G-WS-NS,6,4,0.1494,131.9,883
M4G-WS-NS,6,5,0.1575,144.3,916
M4G-WS-NS,6,6,0.1475,136.5,925
M4G-WS-NS,6,7,0.1170,106.4,910
M4G-WS-NS,6,8,0.1372,123.5,900
M4G-WS-NS,6,9,0.1085,101.1,932
M4G-WS-NS₀,6,0,0.0898,79.3,883
M4G-WS-NS₀,6,1,0.1127,97.0,861
M4G-WS-NS₀,6,2,0.1135,106.8,941
M4G-WS-NS₀,6,3,0.1011,89.9,889
M4G-WS-NS₀,6,4,0.0918,82.2,896
M4G-WS-NS₀,6,5,0.1123,101.2,901
M4G-WS-NS₀,6,6,0.1222,104.0,851
M4G-WS-NS₀,6,7,0.1023,94.4,923
M4G-WS-NS₀,6,8,0.1038,95.6,921
M4G-WS-NS₀,6,9,0.1045,92.0,880
M4G-WS-NS,10,0,0.1120,87.7,783
M4G-WS-NS,10,1,0.1080,82.5,764
M4G-WS-NS,10,2,0.1048,83.4,796
M4G-WS-NS,10,3,0.1036,83.4,805
M4G-WS-NS,10,4,0.0960,82.9,863
M4G-WS-NS,10,5,0.0776,62.5,805
M4G-WS-NS,10,6,0.0934,76.6,820
M4G-WS-NS,10,7,0.1131,86.5,765
M4G-WS-NS,10,8,0.1073,87.1,812
M4G-WS-NS,10,9,0.0943,76.2,808
M4G-WS-NS₀,10,0,0.0833,65.2,783
M4G-WS-NS₀,10,1,0.0876,65.5,748
M4G-WS-NS₀,10,2,0.0875,71.5,817
M4G-WS-NS₀,10,3,0.0885,64.5,729
M4G-WS-NS₀,10,4,0.0736,60.8,825
M4G-WS-NS₀,10,5,0.0856,67.4,787
M4G-WS-NS₀,10,6,0.0833,67.0,804
M4G-WS-NS₀,10,7,0.0860,65.2,759
M4G-WS-NS₀,10,8,0.0382,30.3,793
M4G-WS-NS₀,10,9,0.0460,36.3,790
