decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits,splitsDeferred,splitsCommitted
0,0,1,100,2,87,0,10,10,10,0.05,0.01,45,12,23,12,4,12,-198.82,0.4608041,0,15,0,12,0,0,0
1,32.4888888888888,1,100,1,81,2,6,10,10.8333333333333,0.05,0.01,12,1,6,0,0,3,-63.53,0.1455231,0,15,3,0,21,0,1
2,36.311111111111,1,98,1,81,2,6,10,11.5384615384615,0.05,0.01,21,2,8,1,0,3,-74.155,0.0825123,0,15,3,0,30,0,0
3,42.5777777777776,1,101,1,81,2,6,10,11.4285714285714,0.05,0.01,23,1,12,1,1,2,-59.9046153846154,0.1004913,0,15,2,0,18,0,0
4,46.3999999999998,1,98,1,81,2,6,10,11.3333333333333,0.05,0.01,19,1,7,1,0,2,-63.8771428571429,0.1183648,0,15,2,0,27,0,0
5,52.6666666666665,1,101,1,81,2,6,10,12,0.05,0.01,22,1,11,0,1,2,-47.7533333333333,0.110182,0,15,2,0,16,0,1
6,82.7555555555583,1,102,1,83,2,6,10,11.875,0.05,0.01,21,1,11,1,1,1,-44.01,0.1145163,0,15,1,0,14,0,0
7,86.4888888888922,1,99,1,83,1,6,10,11.7647058823529,0.05,0.01,11,1,5,1,0,2,-59.27,0.0945195,0,15,2,0,17,0,0
8,96.5333333333382,1,99,1,86,1,7,10,11.6666666666667,0.05,0.01,10,1,4,1,0,2,-58.0494117647059,0.1290257,0,15,2,0,15,0,0
9,102.800000000006,1,102,1,86,2,7,10,11.5789473684211,0.05,0.01,21,1,10,1,1,1,-43.9266666666667,0.1095153,0,15,1,0,13,0,0
10,106.577777777784,1,99,1,86,1,7,10,11.5,0.05,0.01,9,1,3,1,0,2,-56.7568421052632,0.1450629,0,15,2,0,13,0,0
11,116.62222222223,1,99,1,86,1,7,10,11.4285714285714,0.05,0.01,8,1,2,1,0,2,-55.595,0.1331136,0,15,2,0,11,0,0
12,122.844444444453,1,102,1,86,2,7,10,11.8181818181818,0.05,0.01,20,2,7,1,1,2,-34.8771428571429,0.120457,0,15,1,1,12,0,0
13,126.666666666676,1,99,1,85,1,6,10,12.2727272727273,0.05,0.01,7,1,1,0,0,2,-43.6109090909091,0.1474114,0,15,2,0,9,0,1
14,132.888888888899,1,103,1,85,3,6,10,12.2727272727273,0.05,0.01,18,2,7,0,0,2,-47.3154545454545,0.0789675,0,15,2,0,26,1,0
15,136.711111111122,1,103,2,85,4,6,10,12.7272727272727,0.05,0.01,21,3,7,0,0,4,-88.3354545454546,0.1964134,0,15,4,0,30,1,1
16,136.755555555567,1,104,1,85,3,6,10,12.7272727272727,0.05,0.01,18,2,7,0,0,2,-47.4745454545454,0.0679682,0,15,2,0,25,1,0
17,138.000000000011,1,104,1,85,3,6,10,12.7272727272727,0.05,0.01,18,2,7,0,0,2,-47.4745454545454,0.0744839,0,15,2,0,25,1,0
18,142.933333333345,1,104,1,85,3,6,10,13.4782608695652,0.05,0.01,18,3,7,1,0,5,-69.0954545454545,0.0633115,0,15,5,0,25,0,1
19,156.75555555557,1,103,1,85,1,6,10,13.9130434782609,0.05,0.01,4,1,1,0,0,2,-42.1939130434783,0.1303779,0,15,2,0,5,0,1
20,172.977777777795,1,106,1,86,2,7,10,13.75,0.05,0.01,15,1,6,1,0,2,-64.4113043478261,0.0619717,0,15,2,0,20,0,0
21,176.800000000017,1,105,1,86,1,7,10,14.1666666666667,0.05,0.01,2,1,0,0,0,2,-40.52,0.2530142,0,15,2,0,3,0,1
22,183.022222222241,1,107,1,86,2,7,10,14,0.05,0.01,13,1,5,1,0,2,-63.02,0.0885209,0,15,2,0,16,0,0
23,193.066666666687,1,107,1,86,2,7,10,14.4,0.05,0.01,12,1,4,0,0,2,-48.32,0.0685224,0,15,2,0,14,0,1
24,196.844444444465,1,108,1,86,1,7,10,14.2307692307692,0.05,0.01,1,1,1,1,0,1,-39.41,0.0805439,0,15,1,0,1,0,0
25,216.888888888913,1,108,1,87,1,7,10,14.0740740740741,0.05,0.01,20,1,9,1,1,1,-4.43307692307692,0.1420403,0,15,0,1,0,0,0
26,223.111111111136,1,108,1,86,2,6,10,13.9285714285714,0.05,0.01,13,1,4,1,0,1,-47.1951851851852,0.0735201,0,15,1,0,15,0,0
27,236.93333333336,1,108,1,87,2,6,10,13.9285714285714,0.05,0.01,19,1,8,1,0,3,-37.8335714285714,0.087494,0,15,3,0,25,1,0
28,243.155555555583,1,108,2,87,4,6,10,14.2857142857143,0.05,0.01,31,2,11,1,0,4,-70.4328571428571,0.1520358,0,15,4,0,39,1,1
29,243.200000000028,1,109,1,87,2,6,10,14.2857142857143,0.05,0.01,19,1,8,1,0,3,-38.3157142857143,0.0864265,0,15,3,0,25,1,0
