Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G-NS,6,45.5,33.4,31.0,0.160,7.2,0.0168,0.69,0.106,29.6,3.15
M4G-WS-NS,6,23.2,15.9,12.8,0.089,3.4,0.0083,0.29,0.055,14.5,1.60
M4G-NS,10,9.6,16.1,11.1,0.167,9.1,0.0161,0.51,0.068,29.7,0.67
M4G-WS-NS,10,5.6,12.1,9.0,0.103,7.3,0.0102,0.42,0.060,14.4,0.40
