Policy,Reference,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G-NS,M4G-WS-NS,6,−8.83***,−8.86***,−10.46***,−6.69***,−4.01*,+7.36***,+1.19,+4.05**,+25.56***,+60.86***
M4G-NS,M4G-WS-NS,10,−0.56*,−0.39,−1.89***,+0.84,−2.60,−0.69,−7.15***,−5.24***,+15.37***,+35.42
