Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M1G,6,26.0,22.3,17.0,0.075,2.9,0.0070,0.31,0.043,12.8,1.80
M4G,6,6.8,15.6,12.1,0.176,2.5,0.0063,0.34,0.035,49.6,0.47
M1G,10,15.8,16.8,12.5,0.090,5.3,0.0103,0.59,0.063,21.6,1.11
M4G,10,2.3,16.5,11.1,0.152,3.4,0.0058,0.27,0.029,40.3,0.16
