Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
6,+14.30***,+17.25***,+4.21**,+63.69***,−36.30***,−38.88***,−36.92***,−29.86***,+156.03***,−89.45***
10,+0.93*,+3.74***,−6.10***,+69.59***,−44.63***,−41.04***,−38.29***,−33.49***,+110.86***,−51.51*
