Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
6,< .001,< .001,.003,< .001,< .001,< .001,< .001,< .001,< .001,< .001
10,.032,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,.032
