Bots,Bound,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
6,CI low,+12.53,+14.72,+1.85,+58.98,−37.68,−41.44,−39.25,−32.27,+146.41,−100.40
6,CI high,+16.06,+19.78,+6.57,+68.40,−34.92,−36.32,−34.59,−27.44,+165.65,−78.50
10,CI low,+0.10,+2.49,−7.26,+66.60,−46.01,−42.88,−40.44,−35.44,+101.47,−97.40
10,CI high,+1.75,+4.99,−4.94,+72.58,−43.24,−39.20,−36.14,−31.54,+120.25,−5.62
